Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,93239,2018-01-12--2018-01-19,cz,1rfofaqEpACxVEHIZBJe6W
2,rockstar,Post Malone,76964,2018-01-12--2018-01-19,cz,7wGoVu4Dady5GV0Sv4UIsx
3,Wolves,Selena Gomez,68155,2018-01-12--2018-01-19,cz,7EmGUiUaOSGDnUUQUDrOXC
4,River (feat. Ed Sheeran),Eminem,66154,2018-01-12--2018-01-19,cz,5UEnHoDYpsxlfzWLZIc7LD
5,Him & I (with Halsey),G-Eazy,64345,2018-01-12--2018-01-19,cz,5k38wzpLb15YgncyWdTZE4
6,Never Be the Same,Camila Cabello,60048,2018-01-12--2018-01-19,cz,4eWQlBRaTjPPUlzacqEeoQ
7,Let You Down,NF,53858,2018-01-12--2018-01-19,cz,6mrKP2jyIQmM0rw6fQryjr
8,Spotlight,Marshmello,52191,2018-01-12--2018-01-19,cz,6VrCmhRBFnuGKmtNfk4jDs
9,More Than You Know,Axwell /\ Ingrosso,51362,2018-01-12--2018-01-19,cz,71bBFbfn2OBK5QwUJSLS44
10,Shape of You,Ed Sheeran,50949,2018-01-12--2018-01-19,cz,7qiZfU4dY1lWllzX7mPBI3
11,Thunder,Imagine Dragons,48097,2018-01-12--2018-01-19,cz,0tKcYR2II1VCQWT79i5NrW
12,IDGAF,Dua Lipa,48037,2018-01-12--2018-01-19,cz,76cy1WJvNGJTj78UqeA5zr
13,New Rules,Dua Lipa,47893,2018-01-12--2018-01-19,cz,2ekn2ttSfGqwhhate0LSR0
14,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,47338,2018-01-12--2018-01-19,cz,5AEtlRudpgdT5FtNiuly6Y
15,I Miss You (feat. Julia Michaels),Clean Bandit,47023,2018-01-12--2018-01-19,cz,2xmrfQpmS2iJExTlklLoAL
16,Feel It Still,Portugal. The Man,46140,2018-01-12--2018-01-19,cz,6QgjcU0zLnzq5OrUoSZ3OK
17,What Lovers Do (feat. SZA),Maroon 5,45978,2018-01-12--2018-01-19,cz,3hBBKuWJfxlIlnd9QFoC8k
18,Perfect,Ed Sheeran,45351,2018-01-12--2018-01-19,cz,0tgVpDi06FyKpA1z0VMD4v
19,All The Stars (with SZA),Kendrick Lamar,44829,2018-01-12--2018-01-19,cz,12SJpYZEdj4kzWZ8FPFg4Y
20,Dusk Till Dawn - Radio Edit,ZAYN,42536,2018-01-12--2018-01-19,cz,1j4kHkkpqZRBwE0A4CN4Yv
21,Stargazing,Kygo,42027,2018-01-12--2018-01-19,cz,0Zbbxnx4SGGHoIow4PpISP
22,My My My!,Troye Sivan,41017,2018-01-12--2018-01-19,cz,2Tq2R8sRftNEqdgJK5HadO
23,Silence,Marshmello,40693,2018-01-12--2018-01-19,cz,7vGuf3Y35N4wmASOKLUVVU
24,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,40593,2018-01-12--2018-01-19,cz,7iDa6hUg2VgEL1o1HjmfBn
25,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,40295,2018-01-12--2018-01-19,cz,0OlnLZY4cmQzT6ZGttvWBM
26,Finesse - Remix; feat. Cardi B,Bruno Mars,38903,2018-01-12--2018-01-19,cz,3Vo4wInECJQuz9BIBMOu8i
