Position,Track Name,Artist,Streams,date,region,spotify_id
1,Langsom,Gilli,938021,2018-01-12--2018-01-19,dk,5fQiM6oa6M00dBNNcS6pSc
2,Sidste Timer,Sivas,723447,2018-01-12--2018-01-19,dk,0gOloXVox0hwdtty5VsCfS
3,Ligesom Mig,KESI,589860,2018-01-12--2018-01-19,dk,14VTLEOzviOKVGAkA9uT2g
4,River (feat. Ed Sheeran),Eminem,540365,2018-01-12--2018-01-19,dk,5UEnHoDYpsxlfzWLZIc7LD
5,Tilfældigt,Basim,463450,2018-01-12--2018-01-19,dk,5jWdZO2cAWXtk2lysIE5Pu
6,rockstar,Post Malone,373011,2018-01-12--2018-01-19,dk,7wGoVu4Dady5GV0Sv4UIsx
7,Havana (feat. Young Thug),Camila Cabello,340401,2018-01-12--2018-01-19,dk,1rfofaqEpACxVEHIZBJe6W
8,Him & I (with Halsey),G-Eazy,310443,2018-01-12--2018-01-19,dk,5k38wzpLb15YgncyWdTZE4
9,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,305761,2018-01-12--2018-01-19,dk,1bhUWB0zJMIKr9yVPrkEuI
10,Let You Down,NF,301565,2018-01-12--2018-01-19,dk,6mrKP2jyIQmM0rw6fQryjr
11,Perfect,Ed Sheeran,291900,2018-01-12--2018-01-19,dk,0tgVpDi06FyKpA1z0VMD4v
12,Wolves,Selena Gomez,276698,2018-01-12--2018-01-19,dk,7EmGUiUaOSGDnUUQUDrOXC
13,Candy Paint,Post Malone,264538,2018-01-12--2018-01-19,dk,42CeaId2XNlxugDvyqHfDf
14,Carnalismo (feat. Gilli & Branco),NODE,263720,2018-01-12--2018-01-19,dk,2zo3xmyUOxvnZ4qy3BQFwa
15,Finesse - Remix; feat. Cardi B,Bruno Mars,263254,2018-01-12--2018-01-19,dk,3Vo4wInECJQuz9BIBMOu8i
16,"Stilen Lagt (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,259703,2018-01-12--2018-01-19,dk,6gNQyLZeyk4JMwpsNST9bv
17,I Miss You (feat. Julia Michaels),Clean Bandit,253248,2018-01-12--2018-01-19,dk,2xmrfQpmS2iJExTlklLoAL
18,Silence,Marshmello,246262,2018-01-12--2018-01-19,dk,7vGuf3Y35N4wmASOKLUVVU
19,Det Der,Jimilian,237792,2018-01-12--2018-01-19,dk,0oN3o8KLZZbmAk3a483uNl
20,Too Good At Goodbyes,Sam Smith,231071,2018-01-12--2018-01-19,dk,1mXVgsBdtIVeCLJnSnmtdV
21,Flawless,Mads Langer,230653,2018-01-12--2018-01-19,dk,00xE0XQaGE9ScphTFr0PJM
22,What Lovers Do (feat. SZA),Maroon 5,222861,2018-01-12--2018-01-19,dk,3hBBKuWJfxlIlnd9QFoC8k
23,Samme Sprog,Omar,217429,2018-01-12--2018-01-19,dk,3PFOXyzuUFtpp4EOsWkaGd
24,Good Together,Scarlet Pleasure,216630,2018-01-12--2018-01-19,dk,4iZrD0uy5IxST6eKg3uJHr
25,Min Vej (feat. Gio),RH,210740,2018-01-12--2018-01-19,dk,2uiGrCMaaYsXRVfvcHlMgx
