Position,Track Name,Artist,Streams,date,region,spotify_id
1,La Modelo,Lean Trap,85590,2018-01-12--2018-01-19,do,76DNqvSyzL9VCkhlnByqLf
2,Sensualidad,Bad Bunny,74542,2018-01-12--2018-01-19,do,5hcisvFMidkMJlElTO9Qmw
3,Quiero Repetir,Ozuna,65796,2018-01-12--2018-01-19,do,0MIcPSq9n2z5H8TAfEstri
4,Criminal,Natti Natasha,59767,2018-01-12--2018-01-19,do,6Za3190Sbw39BBC77WSS1C
5,Chambea,Bad Bunny,54418,2018-01-12--2018-01-19,do,6ElmxV9B2mSNscEjP27M7i
6,Downtown,Anitta,52801,2018-01-12--2018-01-19,do,3Ga6eKrUFf12ouh9Yw3v2D
7,Limonada Coco - Remix,Musicologo The Libro,51567,2018-01-12--2018-01-19,do,1itehVOMz2qYoxf4kKksfd
8,Se Preparó,Ozuna,51467,2018-01-12--2018-01-19,do,1m69ELEgE6k5ZWsap40ozt
9,Corazón,Maluma,51174,2018-01-12--2018-01-19,do,4lESS6vuruP6a79KWRaQou
10,Vuelve,Daddy Yankee,50392,2018-01-12--2018-01-19,do,0lJCqIx5BhZtf6QtYI2fbv
11,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,49794,2018-01-12--2018-01-19,do,2vvdTrdryjsl8DmPIMDWZU
12,Échame La Culpa,Luis Fonsi,45547,2018-01-12--2018-01-19,do,1zsG4eaZmkA1dvjDDsAGLK
13,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,45472,2018-01-12--2018-01-19,do,33bnxcjePIkcmNjEFTJX0l
14,Síguelo Bailando,Ozuna,44983,2018-01-12--2018-01-19,do,5Y9fnynLlIvqtM710MHzfz
15,Teachan,Musicologo The Libro,44917,2018-01-12--2018-01-19,do,4phP7BK5Pkgkhxk2Ipfjaz
16,Mayores,Becky G,40562,2018-01-12--2018-01-19,do,7JNh1cfm0eXjqFVOzKLyau
17,Amantes de una Noche,Natti Natasha,40347,2018-01-12--2018-01-19,do,2iCOdoyDmWG3hWkbtH1KB2
18,Suave,El Alfa,37688,2018-01-12--2018-01-19,do,6NtlO37F4rjD1Z11jnV1rJ
