Position,Track Name,Artist,Streams,date,region,spotify_id
1,Jättiläinen,Pyhimys,546408,2018-01-12--2018-01-19,fi,0ECAT7Yu90YumhfMP1F4eC
2,Popkorni,JVG,499590,2018-01-12--2018-01-19,fi,7mGdJWJETc696zijUeZ2FD
3,Solmussa (feat. BEHM),Pikku G,419323,2018-01-12--2018-01-19,fi,2rHVaNBkAWylDbgh9l47n5
4,River (feat. Ed Sheeran),Eminem,399190,2018-01-12--2018-01-19,fi,5UEnHoDYpsxlfzWLZIc7LD
5,Him & I (with Halsey),G-Eazy,368635,2018-01-12--2018-01-19,fi,5k38wzpLb15YgncyWdTZE4
6,Monaco,Aste,352250,2018-01-12--2018-01-19,fi,6Z4UPnU2Kwvws4CYN0kZbw
7,rockstar,Post Malone,327762,2018-01-12--2018-01-19,fi,7wGoVu4Dady5GV0Sv4UIsx
8,Kusipää,Roope Salminen & Koirat,291794,2018-01-12--2018-01-19,fi,2zylykwUI5qXf4lnh0FFeJ
9,Pimeyteen,Mikael Gabriel,289681,2018-01-12--2018-01-19,fi,7rhej63k3GAokc05uB7hNf
10,Hombre (feat. Vesala),JVG,264901,2018-01-12--2018-01-19,fi,6h4EXoiVFJehGrK9Xl8Zeo
11,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,260794,2018-01-12--2018-01-19,fi,0OlnLZY4cmQzT6ZGttvWBM
12,Nössö,Petri Nygård,254147,2018-01-12--2018-01-19,fi,0gySKxqIOHTVD3YObTsJug
13,Havana (feat. Young Thug),Camila Cabello,229092,2018-01-12--2018-01-19,fi,1rfofaqEpACxVEHIZBJe6W
14,Enkelit,Cheek,221220,2018-01-12--2018-01-19,fi,6hAKGURpSwL2tvmfjnkWGr
15,"Kynnet, Kynnet",Pyhimys,220788,2018-01-12--2018-01-19,fi,5HFUJIjkg7DgP3EuWtZ1rA
16,Let You Down,NF,219809,2018-01-12--2018-01-19,fi,6mrKP2jyIQmM0rw6fQryjr
17,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],SANNI,208756,2018-01-12--2018-01-19,fi,1g5ekWqRgWCxG2vX14EFzn
18,Wolves,Selena Gomez,208047,2018-01-12--2018-01-19,fi,7EmGUiUaOSGDnUUQUDrOXC
19,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,204409,2018-01-12--2018-01-19,fi,5hM6sP0Gh1jD57drszNueC
20,Finesse - Remix; feat. Cardi B,Bruno Mars,203172,2018-01-12--2018-01-19,fi,3Vo4wInECJQuz9BIBMOu8i
21,No Limit,G-Eazy,200443,2018-01-12--2018-01-19,fi,2DQ1ITjI0YoLFzuADN1ZBW
22,Päällekkäin,Ida Paul & Kalle Lindroth,197704,2018-01-12--2018-01-19,fi,5zT0kpzFSaonTEXxmgk4Q2
23,Manteli,Teflon Brothers,190911,2018-01-12--2018-01-19,fi,7A3vVmr5obwXQbFz4Zs8sv
24,Tip Toe (feat. French Montana),Jason Derulo,190343,2018-01-12--2018-01-19,fi,2z4pcBLQXF2BXKFvd0BuB6
25,Tempo,BESS,190243,2018-01-12--2018-01-19,fi,1m6OKxDyKgvIrln6e8c72Y
26,All Falls Down (feat. Juliander),Alan Walker,189372,2018-01-12--2018-01-19,fi,5yFSF6qQA1rcLsQRnBsZgb
27,Anywhere,Rita Ora,186888,2018-01-12--2018-01-19,fi,7EI6Iki24tBHAMxtb4xQN2
28,Kaadutaan,Nikke Ankara,182197,2018-01-12--2018-01-19,fi,7nxmy3LKlWvVNTjo7vKSi1
29,Échame La Culpa,Luis Fonsi,168833,2018-01-12--2018-01-19,fi,1zsG4eaZmkA1dvjDDsAGLK
30,Tornado,Evelina,168347,2018-01-12--2018-01-19,fi,3seNictp7GWitSNKlujwnY
31,Perfect,Ed Sheeran,162898,2018-01-12--2018-01-19,fi,0tgVpDi06FyKpA1z0VMD4v
32,Ota varovasti,Vesta,162009,2018-01-12--2018-01-19,fi,7omuMsdMUVkUhW8Wsevn01
33,Sinitarraa,WIL,161745,2018-01-12--2018-01-19,fi,3dmiAe7g9fFxrPwFkB2C7w
34,Dusk Till Dawn - Radio Edit,ZAYN,161026,2018-01-12--2018-01-19,fi,1j4kHkkpqZRBwE0A4CN4Yv
35,All The Stars (with SZA),Kendrick Lamar,160917,2018-01-12--2018-01-19,fi,12SJpYZEdj4kzWZ8FPFg4Y
36,Sydän Jota Rakastan,Juha Tapio,159133,2018-01-12--2018-01-19,fi,1MlZkXxft5DO0CqHpXOWpR
37,New Rules,Dua Lipa,156874,2018-01-12--2018-01-19,fi,2ekn2ttSfGqwhhate0LSR0
38,Never Be the Same,Camila Cabello,156434,2018-01-12--2018-01-19,fi,4eWQlBRaTjPPUlzacqEeoQ
39,Älä jätä roikkuu,JVG,155226,2018-01-12--2018-01-19,fi,7m7vqt0dQ3HXHSzLPMlFg3
40,Glitteri,Ellinoora,154844,2018-01-12--2018-01-19,fi,5cN3TZfA73ZtcOVBYg6A6h
41,Dreamer,Axwell /\ Ingrosso,150059,2018-01-12--2018-01-19,fi,0RTzJVkunbGwuRjXDFHnjf
42,Samase (feat. Mikael Gabriel),Suvi Teräsniska,148177,2018-01-12--2018-01-19,fi,6xqH9NGcWJfmM4bmxIfGk3
43,Silence,Marshmello,146583,2018-01-12--2018-01-19,fi,7vGuf3Y35N4wmASOKLUVVU
44,Congratulations,Post Malone,145454,2018-01-12--2018-01-19,fi,3a1lNhkSLSkpJE4MSHpDu9
45,Tää On Se Maa,Pasi ja Anssi,145254,2018-01-12--2018-01-19,fi,3v3K7xgKQahAml0BGjdIfY
46,Kruunu tikittää (feat. TIPPA),JVG,142618,2018-01-12--2018-01-19,fi,4ZxTm3KI4jDy7gNhbp8avh
47,Tää Ei Oo Ohi,Nelli Matula,140981,2018-01-12--2018-01-19,fi,3WmQpiuRhPzkpqTi207IXA
48,Shape of You,Ed Sheeran,136661,2018-01-12--2018-01-19,fi,7qiZfU4dY1lWllzX7mPBI3
49,Bartier Cardi (feat. 21 Savage),Cardi B,136465,2018-01-12--2018-01-19,fi,75FDPwaULRdYDn4StFN2rT
50,Gucci Gang,Lil Pump,130061,2018-01-12--2018-01-19,fi,43ZyHQITOjhciSUUNPVRHc
51,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,126235,2018-01-12--2018-01-19,fi,7iDa6hUg2VgEL1o1HjmfBn
52,My My My!,Troye Sivan,124438,2018-01-12--2018-01-19,fi,2Tq2R8sRftNEqdgJK5HadO
53,Spotlight,Marshmello,123422,2018-01-12--2018-01-19,fi,6VrCmhRBFnuGKmtNfk4jDs
54,I Miss You (feat. Julia Michaels),Clean Bandit,106485,2018-01-12--2018-01-19,fi,2xmrfQpmS2iJExTlklLoAL
55,Tuntematon,Haloo Helsinki!,105777,2018-01-12--2018-01-19,fi,54ulOTUIZA4suH69uQCwdZ
56,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,100291,2018-01-12--2018-01-19,fi,1bhUWB0zJMIKr9yVPrkEuI
57,Walls,Ruben,100279,2018-01-12--2018-01-19,fi,2E5oh2pPuvcx0WCQa6s7T2
58,IDGAF,Dua Lipa,97816,2018-01-12--2018-01-19,fi,76cy1WJvNGJTj78UqeA5zr
59,Stargazing,Kygo,97621,2018-01-12--2018-01-19,fi,0Zbbxnx4SGGHoIow4PpISP
60,Me Tehtiin Tää,Robin,94170,2018-01-12--2018-01-19,fi,2U6jbGUfii0LmjTsUpL2nG
61,Sä Et Oo Sä,Ollie,93968,2018-01-12--2018-01-19,fi,1tXF7sfiKLuHp6BW4q52zJ
62,Antaudun,Reino Nordin,93874,2018-01-12--2018-01-19,fi,4waYSI6TTW0guhTJc4gWzq
63,Tahdon,Janna,93720,2018-01-12--2018-01-19,fi,7oK6p6vKJ8xhEIKSulwS18
64,Capital Letters,Hailee Steinfeld,92499,2018-01-12--2018-01-19,fi,3towKHKVOXCCcL1fHv6xFO
65,Halogeenit,Ideaali & Jay Who?,91697,2018-01-12--2018-01-19,fi,4yRA01zjKBClEmMzNikb4N
66,XO Tour Llif3,Lil Uzi Vert,89943,2018-01-12--2018-01-19,fi,7GX5flRQZVHRAGd6B4TmDO
67,Surulapsi (Vain elämää kausi 7),Cheek,89939,2018-01-12--2018-01-19,fi,5pSSjM7U4ZIxcjdDLarOVI
68,Kynttilät,Aleksanteri Hakaniemi,86569,2018-01-12--2018-01-19,fi,0lF4f6Difjc6Z3prGHqbJM
69,I Fall Apart,Post Malone,86561,2018-01-12--2018-01-19,fi,75ZvA4QfFiZvzhj2xkaWAh
70,Soo Soo,ABREU,85939,2018-01-12--2018-01-19,fi,2XrgV14S5k0Jocp07xfTtj
71,Maailman Laidalla,Mikael Gabriel,85396,2018-01-12--2018-01-19,fi,1hYSyi6LY9LkdYH0EjoFCO
72,Sinä ansaitset kultaa (Vain elämää kausi 7),Cheek,84835,2018-01-12--2018-01-19,fi,1pnYHu0479JaG3ESOTs0ZU
73,Feel It Still,Portugal. The Man,84301,2018-01-12--2018-01-19,fi,6QgjcU0zLnzq5OrUoSZ3OK
74,Matti & Teppo,JVG,84280,2018-01-12--2018-01-19,fi,4h9oBIwZ5he6rgXI2mgPEJ
75,Man's Not Hot,Big Shaq,83980,2018-01-12--2018-01-19,fi,2nUJvBO87SkxCViQsLc9Zr
76,She Loves Control,Camila Cabello,83027,2018-01-12--2018-01-19,fi,5HwnezK198pJCEj1l2Adjy
77,Nelostie,Brädi,80670,2018-01-12--2018-01-19,fi,3WhLtbSR3nzJt9RW4MkmI6
78,What Lovers Do (feat. SZA),Maroon 5,80032,2018-01-12--2018-01-19,fi,3hBBKuWJfxlIlnd9QFoC8k
79,More Than You Know,Axwell /\ Ingrosso,79776,2018-01-12--2018-01-19,fi,71bBFbfn2OBK5QwUJSLS44
80,Juna,Spekti,79572,2018-01-12--2018-01-19,fi,5fB7KNzDNtTLWAa6D2zcBJ
81,Makia,OG Ulla-Maija,79325,2018-01-12--2018-01-19,fi,2xRRSWrjBy8tFJaEHMAMQS
82,1-800-273-8255,Logic,75642,2018-01-12--2018-01-19,fi,5tz69p7tJuGPeMGwNTxYuV
83,Candy Paint,Post Malone,75583,2018-01-12--2018-01-19,fi,42CeaId2XNlxugDvyqHfDf
84,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,74648,2018-01-12--2018-01-19,fi,5AEtlRudpgdT5FtNiuly6Y
85,How Long,Charlie Puth,74571,2018-01-12--2018-01-19,fi,32DGGj6KlNuBr6WaqRxpxi
86,The Spectre,Alan Walker,74555,2018-01-12--2018-01-19,fi,2DGa7iaidT5s0qnINlwMjJ
87,Esson baariin,Poju,74510,2018-01-12--2018-01-19,fi,3AVOlegKLZkDe3GSnM8XpF
88,Ric Flair Drip (& Metro Boomin),Offset,74426,2018-01-12--2018-01-19,fi,7sO5G9EABYOXQKNPNiE9NR
89,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,74413,2018-01-12--2018-01-19,fi,0OI7AFifLSoGzpb8bdBLLV
90,Unforgettable,French Montana,73863,2018-01-12--2018-01-19,fi,3B54sVLJ402zGa6Xm4YGNe
91,Tragedia,Antti Tuisku,73069,2018-01-12--2018-01-19,fi,7K74Z7Di9GOuI2fEqMYhPZ
92,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,72790,2018-01-12--2018-01-19,fi,2khkbmL11VFqKGMrcGIJB3
93,Keinu (Vain elämää kausi 7),Jenni Vartiainen,72333,2018-01-12--2018-01-19,fi,5RLL3hPFVU3wfib1YijpvE
94,Timantit on ikuisia (Vain elämää kausi 7),SANNI,72101,2018-01-12--2018-01-19,fi,10TGDps8gvUC2meiqne5Ju
95,Aamukuuteen (feat. Erin),Antti Tuisku,72008,2018-01-12--2018-01-19,fi,2gIOVl7sKIJ3WeHVsTy1jd
96,Syvään Päähän,Anniina,71873,2018-01-12--2018-01-19,fi,7hRDxqbfLrUCbcCxJSCkRn
97,Kylmii Väreitä,Evelina,71783,2018-01-12--2018-01-19,fi,7MddwdpQ7sh3Pi1xHUSr4K
98,Pro,Kube,70857,2018-01-12--2018-01-19,fi,22naGUM3moyqwNJjnL1nl5
99,Too Good At Goodbyes,Sam Smith,70683,2018-01-12--2018-01-19,fi,1mXVgsBdtIVeCLJnSnmtdV
100,Change the World,Fox Blanco,70286,2018-01-12--2018-01-19,fi,0xpDj4FiSoIVsNR9uJHHuF
101,EYO (feat. Nelli Matula),Profeetat,70237,2018-01-12--2018-01-19,fi,6oSBi2k15RJphcjQZzwhO0
102,Karjala Takas,Portion Boys,69749,2018-01-12--2018-01-19,fi,1PZNjZOmm3ZmaWkqvmJpaY
103,Menee Hyvin,Mäkki,69735,2018-01-12--2018-01-19,fi,3lOLFSOGj5EdodmeHPU1Ys
104,Thunder,Imagine Dragons,69619,2018-01-12--2018-01-19,fi,0tKcYR2II1VCQWT79i5NrW
105,Swäg (feat. JVG),Antti Tuisku,69276,2018-01-12--2018-01-19,fi,7iaxKCLCuJznUeNx7VZzAU
106,Taivas ei oo rajana,Mikko Harju,68965,2018-01-12--2018-01-19,fi,0UMaKcS7dY70v8uupjIdaq
107,Rahan takii,Antti Tuisku,68887,2018-01-12--2018-01-19,fi,1NB2U3ix3mCQ3LLojIt1P7
108,Pirun ikävä (feat. Anna Puu),Topi Saha,68664,2018-01-12--2018-01-19,fi,1juPQIH0GuTLGYuvSeDYqd
109,Meidän biisi,Arttu Wiskari,68508,2018-01-12--2018-01-19,fi,3nSiEJPNSH86D7JTFsyyly
110,Hanuri (feat. Boyat),Antti Tuisku,68180,2018-01-12--2018-01-19,fi,4vDRNDPO1CUxD3sjuQIBSt
111,Tanssi se ulos (feat. Ellinoora),Roope Salminen & Koirat,67721,2018-01-12--2018-01-19,fi,1jFYy4KngiDNpG5yw6cOQA
112,Symphony (feat. Zara Larsson),Clean Bandit,66637,2018-01-12--2018-01-19,fi,1x5sYLZiu9r5E43kMlt9f8
113,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,66426,2018-01-12--2018-01-19,fi,2vvdTrdryjsl8DmPIMDWZU
114,Despacito - Remix,Luis Fonsi,66350,2018-01-12--2018-01-19,fi,5CtI0qwDJkDQGwXD1H1cLb
