Position,Track Name,Artist,Streams,date,region,spotify_id
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,110825,2018-01-12--2018-01-19,gt,33bnxcjePIkcmNjEFTJX0l
2,Sensualidad,Bad Bunny,86056,2018-01-12--2018-01-19,gt,5hcisvFMidkMJlElTO9Qmw
3,Criminal,Natti Natasha,77593,2018-01-12--2018-01-19,gt,6Za3190Sbw39BBC77WSS1C
4,Corazón,Maluma,72040,2018-01-12--2018-01-19,gt,4lESS6vuruP6a79KWRaQou
5,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,70249,2018-01-12--2018-01-19,gt,2vvdTrdryjsl8DmPIMDWZU
6,Bella,Wolfine,68331,2018-01-12--2018-01-19,gt,4R55IUi2x7S5ek2SpebOiE
7,Se Preparó,Ozuna,66355,2018-01-12--2018-01-19,gt,1m69ELEgE6k5ZWsap40ozt
8,Quiero Repetir,Ozuna,66096,2018-01-12--2018-01-19,gt,0MIcPSq9n2z5H8TAfEstri
9,Échame La Culpa,Luis Fonsi,65993,2018-01-12--2018-01-19,gt,1zsG4eaZmkA1dvjDDsAGLK
10,Downtown,Anitta,65102,2018-01-12--2018-01-19,gt,3Ga6eKrUFf12ouh9Yw3v2D
11,Que Va,Alex Sensation,59541,2018-01-12--2018-01-19,gt,7ofxPmTNMj2GP07g1VZa0O
12,Suena El Dembow,Joey Montana,51194,2018-01-12--2018-01-19,gt,5TysCiZtv1HnSWcTcUFusI
13,Mayores,Becky G,50710,2018-01-12--2018-01-19,gt,7JNh1cfm0eXjqFVOzKLyau
14,Vuelve,Daddy Yankee,50017,2018-01-12--2018-01-19,gt,0lJCqIx5BhZtf6QtYI2fbv
15,Me Rehúso,Danny Ocean,48338,2018-01-12--2018-01-19,gt,6De0lHrwBfPfrhorm9q1Xl
16,Báilame - Remix,Nacho,48211,2018-01-12--2018-01-19,gt,3VClLWqNn80Llv0PJOsKgr
17,Dembow,Danny Ocean,47174,2018-01-12--2018-01-19,gt,2EzRdhuoPyNJDlep7lnNf2
18,SUTRA,Sebastian Yatra,46535,2018-01-12--2018-01-19,gt,5TmZYdHW6HJ9gt7Aokuql5
19,Robarte un Beso,Carlos Vives,45997,2018-01-12--2018-01-19,gt,0JcNysfWVWaMS7R6vzGB2k
20,Bella y Sensual,Romeo Santos,45167,2018-01-12--2018-01-19,gt,0ERbK7qVqveCaBWIiYCrl3
21,Déjate Llevar,Juan Magán,43890,2018-01-12--2018-01-19,gt,3xWEI23MLJrD0dpDcDUTW6
22,Esperándote,Manuel Turizo,43619,2018-01-12--2018-01-19,gt,1nfyE13arjOuO54HH0zmqj
23,Escápate Conmigo (feat. Ozuna),Wisin,42996,2018-01-12--2018-01-19,gt,1KSqYYJFyfTecXFk9M0prc
24,Explícale (feat. Bad Bunny),Yandel,40658,2018-01-12--2018-01-19,gt,1LszjjoVwDDZcWUQbzeDLG
25,Síguelo Bailando,Ozuna,38751,2018-01-12--2018-01-19,gt,5Y9fnynLlIvqtM710MHzfz
26,Perro Fiel (feat. Nicky Jam),Shakira,38516,2018-01-12--2018-01-19,gt,70lnL3QaSOIIyMa2X9aVRL
27,Havana (feat. Young Thug),Camila Cabello,35751,2018-01-12--2018-01-19,gt,1rfofaqEpACxVEHIZBJe6W
28,Ahora Dice,Chris Jedi,34803,2018-01-12--2018-01-19,gt,22eADXu8DfOAUEDw4vU8qy
29,Una Lady Como Tú,Manuel Turizo,34117,2018-01-12--2018-01-19,gt,7MHN1aCFtLXjownGhvEQlF
30,rockstar,Post Malone,34105,2018-01-12--2018-01-19,gt,7wGoVu4Dady5GV0Sv4UIsx
31,Chambea,Bad Bunny,32615,2018-01-12--2018-01-19,gt,6ElmxV9B2mSNscEjP27M7i
32,Besame,Valentino,32496,2018-01-12--2018-01-19,gt,7Ckhk1XW5NV2k4jpqtQNlz
33,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,31654,2018-01-12--2018-01-19,gt,5q2JbCNi4FcnglgPfxcV65
34,Como Antes (feat. Wisin),Yandel,31644,2018-01-12--2018-01-19,gt,5YzA563GXTuwQaRq24z1k5
35,3 A.M.,Jesse & Joy,31596,2018-01-12--2018-01-19,gt,0yyZN5ASdrYu0XYWFzfxUu
36,Mamita,CNCO,31428,2018-01-12--2018-01-19,gt,5ojXuKXBYq0apcNucYSDXq
37,Bonita,J Balvin,31231,2018-01-12--2018-01-19,gt,693iqPOQvhI7PobtR8CC8v
38,Bum Bum Tam Tam,MC Fioti,30854,2018-01-12--2018-01-19,gt,4zWO4gvuFtw6EJZC5FFGlr
39,Havana - Remix,Camila Cabello,30485,2018-01-12--2018-01-19,gt,3whrwq4DtvucphBPUogRuJ
40,Loco Enamorado,Abraham Mateo,30213,2018-01-12--2018-01-19,gt,4N1c5rmWOzRmB9SMacr5wB
41,El Farsante,Ozuna,29589,2018-01-12--2018-01-19,gt,5EId1m4DNwTf3at31w8bPJ
42,Felices los 4,Maluma,28954,2018-01-12--2018-01-19,gt,0qYTZCo5Bwh1nsUFGZP3zn
43,#Natural,Paty Cantú,28940,2018-01-12--2018-01-19,gt,3cRJo0hXMcrXa7oLfAUU4d
44,Never Be the Same,Camila Cabello,28213,2018-01-12--2018-01-19,gt,4eWQlBRaTjPPUlzacqEeoQ
45,GPS (feat. French Montana),Maluma,28193,2018-01-12--2018-01-19,gt,3t6j6WNv2OSn6qm5Vxynub
46,Tú Foto,Ozuna,28088,2018-01-12--2018-01-19,gt,5zSOVwaY3sVjnmLhuEfsuf
47,New Rules,Dua Lipa,27909,2018-01-12--2018-01-19,gt,2ekn2ttSfGqwhhate0LSR0
48,Mi Gente,J Balvin,27549,2018-01-12--2018-01-19,gt,2rb5MvYT7ZIxbKW5hfcHx8
49,Wolves,Selena Gomez,25991,2018-01-12--2018-01-19,gt,7EmGUiUaOSGDnUUQUDrOXC
50,Besos En Guerra,Morat,24973,2018-01-12--2018-01-19,gt,1d0c62VFYauOOgxZ2eFUxx
51,Amantes de una Noche,Natti Natasha,24722,2018-01-12--2018-01-19,gt,2iCOdoyDmWG3hWkbtH1KB2
52,Shape of You,Ed Sheeran,23923,2018-01-12--2018-01-19,gt,7qiZfU4dY1lWllzX7mPBI3
53,La Modelo,Lean Trap,23803,2018-01-12--2018-01-19,gt,76DNqvSyzL9VCkhlnByqLf
54,What Lovers Do (feat. SZA),Maroon 5,23272,2018-01-12--2018-01-19,gt,3hBBKuWJfxlIlnd9QFoC8k
55,Todo Comienza en la Disco,Wisin,22351,2018-01-12--2018-01-19,gt,3a2aBKuvgP1qHo3BqU3lGh
56,El Granjero,Arcangel,22090,2018-01-12--2018-01-19,gt,7k3SjypJ8lF9WWu8Op0We0
57,Perfect,Ed Sheeran,22016,2018-01-12--2018-01-19,gt,0tgVpDi06FyKpA1z0VMD4v
58,Si Tú La Ves (feat. Wisin),Nicky Jam,21729,2018-01-12--2018-01-19,gt,4yN6xPLopmTLvc27pO9LIE
59,Besándote,Piso 21,21524,2018-01-12--2018-01-19,gt,13X0XdLMOdtbXVtAj2ox4h
60,La fórmula (feat. Chris Jeday),De La Ghetto,21323,2018-01-12--2018-01-19,gt,4XCQtUoRSh22Ep18ULmDnT
61,Otra vez (feat. J Balvin),Zion & Lennox,21174,2018-01-12--2018-01-19,gt,3QwBODjSEzelZyVjxPOHdq
62,Mi Mala,Mau y Ricky,20618,2018-01-12--2018-01-19,gt,4XP6qLtHI0n9UjIPTsuqe8
63,El Color de Tus Ojos,Banda MS de Sergio Lizárraga,19606,2018-01-12--2018-01-19,gt,1l77YWrGUp3qX3NS1rz7lq
64,Hey DJ,CNCO,19286,2018-01-12--2018-01-19,gt,209gZgcfLq2aUuu51vOWBl
65,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,19027,2018-01-12--2018-01-19,gt,0H7cz1bR7w9PulJL7Na774
66,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,18761,2018-01-12--2018-01-19,gt,2FrnTVSHjgnEylKGdHRUK1
67,Adiós Amor,Christian Nodal,18320,2018-01-12--2018-01-19,gt,63bmZnBN1CiJ9sA4qTEe8y
68,Too Good At Goodbyes,Sam Smith,17985,2018-01-12--2018-01-19,gt,1mXVgsBdtIVeCLJnSnmtdV
69,Cásate Conmigo,Silvestre Dangond,17822,2018-01-12--2018-01-19,gt,6f4UPdDBQONKJBRqwZGjaJ
70,Bebe (feat. Anuel AA),Ozuna,17463,2018-01-12--2018-01-19,gt,6SIrNxmmdbv1KUbFBu1PaN
71,Bonita - Remix,J Balvin,17227,2018-01-12--2018-01-19,gt,400nZFg9JEXd9DTBJf1PE3
72,Me llamas (feat. Maluma) - Remix,Piso 21,16947,2018-01-12--2018-01-19,gt,5hEM0JchdVzQ5PwvSfITeX
73,Krippy Kush,Farruko,16788,2018-01-12--2018-01-19,gt,7FfpP3YZ6fOWMdxkIAtud9
74,IDGAF,Dua Lipa,16772,2018-01-12--2018-01-19,gt,76cy1WJvNGJTj78UqeA5zr
75,La Rompe Corazones,Daddy Yankee,16438,2018-01-12--2018-01-19,gt,4okba5wu9mMLXx79DXLKi3
76,Real Friends,Camila Cabello,16431,2018-01-12--2018-01-19,gt,3iq9nhbI8fcnNamxMft1uv
77,Gucci Gang,Lil Pump,16125,2018-01-12--2018-01-19,gt,43ZyHQITOjhciSUUNPVRHc
78,Scooby Doo Pa Pa,Dj Kass,15693,2018-01-12--2018-01-19,gt,1xndOD8CreR5ctkOv5G1LN
79,Amantes,Greeicy,15618,2018-01-12--2018-01-19,gt,3IyPnNX142pvWx6D5CiimD
80,Dusk Till Dawn - Radio Edit,ZAYN,15261,2018-01-12--2018-01-19,gt,1j4kHkkpqZRBwE0A4CN4Yv
81,Ahora Me Llama,KAROL G,15002,2018-01-12--2018-01-19,gt,0alSPoUfrGb0RdVVG4Lf3n
82,Háblame Bajito,Abraham Mateo,14897,2018-01-12--2018-01-19,gt,1s46xFwjfRUkRlPlX3PwPk
83,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,14844,2018-01-12--2018-01-19,gt,5AEtlRudpgdT5FtNiuly6Y
84,Probablemente,Christian Nodal,14578,2018-01-12--2018-01-19,gt,4prmUBle7TtAeeUgCnsc3Z
