Position,Track Name,Artist,Streams,date,region,spotify_id
1,Him & I (with Halsey),G-Eazy,21015,2018-01-12--2018-01-19,lt,5k38wzpLb15YgncyWdTZE4
2,All The Stars (with SZA),Kendrick Lamar,20777,2018-01-12--2018-01-19,lt,12SJpYZEdj4kzWZ8FPFg4Y
3,Havana (feat. Young Thug),Camila Cabello,20344,2018-01-12--2018-01-19,lt,1rfofaqEpACxVEHIZBJe6W
4,rockstar,Post Malone,19567,2018-01-12--2018-01-19,lt,7wGoVu4Dady5GV0Sv4UIsx
5,Never Be the Same,Camila Cabello,18853,2018-01-12--2018-01-19,lt,4eWQlBRaTjPPUlzacqEeoQ
6,Finesse - Remix; feat. Cardi B,Bruno Mars,18393,2018-01-12--2018-01-19,lt,3Vo4wInECJQuz9BIBMOu8i
7,Wolves,Selena Gomez,17269,2018-01-12--2018-01-19,lt,7EmGUiUaOSGDnUUQUDrOXC
8,River (feat. Ed Sheeran),Eminem,17146,2018-01-12--2018-01-19,lt,5UEnHoDYpsxlfzWLZIc7LD
9,My My My!,Troye Sivan,16464,2018-01-12--2018-01-19,lt,2Tq2R8sRftNEqdgJK5HadO
10,IDGAF,Dua Lipa,15333,2018-01-12--2018-01-19,lt,76cy1WJvNGJTj78UqeA5zr
11,Filthy,Justin Timberlake,14228,2018-01-12--2018-01-19,lt,1L3NV7VrCiuE8C5QlhdeQL
12,I Miss You (feat. Julia Michaels),Clean Bandit,14049,2018-01-12--2018-01-19,lt,2xmrfQpmS2iJExTlklLoAL
13,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,13607,2018-01-12--2018-01-19,lt,5AEtlRudpgdT5FtNiuly6Y
14,Anywhere,Rita Ora,13513,2018-01-12--2018-01-19,lt,7EI6Iki24tBHAMxtb4xQN2
15,Let You Down,NF,13304,2018-01-12--2018-01-19,lt,6mrKP2jyIQmM0rw6fQryjr
16,Real Friends,Camila Cabello,12647,2018-01-12--2018-01-19,lt,3iq9nhbI8fcnNamxMft1uv
17,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,12515,2018-01-12--2018-01-19,lt,5hM6sP0Gh1jD57drszNueC
18,Feel It Still,Portugal. The Man,12490,2018-01-12--2018-01-19,lt,6QgjcU0zLnzq5OrUoSZ3OK
19,I Fall Apart,Post Malone,12299,2018-01-12--2018-01-19,lt,75ZvA4QfFiZvzhj2xkaWAh
20,What Lovers Do (feat. SZA),Maroon 5,11988,2018-01-12--2018-01-19,lt,3hBBKuWJfxlIlnd9QFoC8k
21,No Limit,G-Eazy,11678,2018-01-12--2018-01-19,lt,2DQ1ITjI0YoLFzuADN1ZBW
22,Nieko Verta,Donny Montell,11562,2018-01-12--2018-01-19,lt,1Lh1TLpLXKBaz0Yp62d6aU
23,New Rules,Dua Lipa,11500,2018-01-12--2018-01-19,lt,2ekn2ttSfGqwhhate0LSR0
24,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,11136,2018-01-12--2018-01-19,lt,0OlnLZY4cmQzT6ZGttvWBM
25,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,10762,2018-01-12--2018-01-19,lt,7iDa6hUg2VgEL1o1HjmfBn
26,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,10727,2018-01-12--2018-01-19,lt,1bhUWB0zJMIKr9yVPrkEuI
27,Dusk Till Dawn - Radio Edit,ZAYN,10648,2018-01-12--2018-01-19,lt,1j4kHkkpqZRBwE0A4CN4Yv
28,Silence,Marshmello,10335,2018-01-12--2018-01-19,lt,7vGuf3Y35N4wmASOKLUVVU
29,Stargazing,Kygo,9648,2018-01-12--2018-01-19,lt,0Zbbxnx4SGGHoIow4PpISP
30,Bartier Cardi (feat. 21 Savage),Cardi B,9528,2018-01-12--2018-01-19,lt,75FDPwaULRdYDn4StFN2rT
31,Échame La Culpa,Luis Fonsi,9236,2018-01-12--2018-01-19,lt,1zsG4eaZmkA1dvjDDsAGLK
32,Tell Me You Love Me,Demi Lovato,8972,2018-01-12--2018-01-19,lt,5Htb1uFQ1KrkFXlefS8oGj
33,Codeine Dreaming (feat. Lil Wayne),Kodak Black,8950,2018-01-12--2018-01-19,lt,4DTpngLjoHj5gFxEZFeD3J
34,All Falls Down (feat. Juliander),Alan Walker,8762,2018-01-12--2018-01-19,lt,5yFSF6qQA1rcLsQRnBsZgb
35,LOVE. FEAT. ZACARI.,Kendrick Lamar,8759,2018-01-12--2018-01-19,lt,6PGoSes0D9eUDeeAafB2As
36,Perfect,Ed Sheeran,8109,2018-01-12--2018-01-19,lt,0tgVpDi06FyKpA1z0VMD4v
