Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sensualidad,Bad Bunny,20701,2018-01-12--2018-01-19,ni,5hcisvFMidkMJlElTO9Qmw
2,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,19122,2018-01-12--2018-01-19,ni,33bnxcjePIkcmNjEFTJX0l
3,Quiero Repetir,Ozuna,18961,2018-01-12--2018-01-19,ni,0MIcPSq9n2z5H8TAfEstri
4,Criminal,Natti Natasha,17446,2018-01-12--2018-01-19,ni,6Za3190Sbw39BBC77WSS1C
5,Échame La Culpa,Luis Fonsi,15920,2018-01-12--2018-01-19,ni,1zsG4eaZmkA1dvjDDsAGLK
6,Downtown,Anitta,15195,2018-01-12--2018-01-19,ni,3Ga6eKrUFf12ouh9Yw3v2D
7,Se Preparó,Ozuna,14254,2018-01-12--2018-01-19,ni,1m69ELEgE6k5ZWsap40ozt
8,Corazón,Maluma,14129,2018-01-12--2018-01-19,ni,4lESS6vuruP6a79KWRaQou
9,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,13300,2018-01-12--2018-01-19,ni,2vvdTrdryjsl8DmPIMDWZU
10,Que Va,Alex Sensation,13211,2018-01-12--2018-01-19,ni,7ofxPmTNMj2GP07g1VZa0O
11,Chambea,Bad Bunny,12586,2018-01-12--2018-01-19,ni,6ElmxV9B2mSNscEjP27M7i
12,Vuelve,Daddy Yankee,12235,2018-01-12--2018-01-19,ni,0lJCqIx5BhZtf6QtYI2fbv
13,Mayores,Becky G,11512,2018-01-12--2018-01-19,ni,7JNh1cfm0eXjqFVOzKLyau
14,Havana (feat. Young Thug),Camila Cabello,11509,2018-01-12--2018-01-19,ni,1rfofaqEpACxVEHIZBJe6W
15,Báilame - Remix,Nacho,11507,2018-01-12--2018-01-19,ni,3VClLWqNn80Llv0PJOsKgr
16,Me Rehúso,Danny Ocean,11173,2018-01-12--2018-01-19,ni,6De0lHrwBfPfrhorm9q1Xl
17,Robarte un Beso,Carlos Vives,11002,2018-01-12--2018-01-19,ni,0JcNysfWVWaMS7R6vzGB2k
18,Perfect,Ed Sheeran,9934,2018-01-12--2018-01-19,ni,0tgVpDi06FyKpA1z0VMD4v
19,Suena El Dembow,Joey Montana,9556,2018-01-12--2018-01-19,ni,5TysCiZtv1HnSWcTcUFusI
20,New Rules,Dua Lipa,9498,2018-01-12--2018-01-19,ni,2ekn2ttSfGqwhhate0LSR0
21,Perro Fiel (feat. Nicky Jam),Shakira,9308,2018-01-12--2018-01-19,ni,70lnL3QaSOIIyMa2X9aVRL
22,Shape of You,Ed Sheeran,8861,2018-01-12--2018-01-19,ni,7qiZfU4dY1lWllzX7mPBI3
23,Escápate Conmigo (feat. Ozuna),Wisin,8786,2018-01-12--2018-01-19,ni,1KSqYYJFyfTecXFk9M0prc
24,rockstar,Post Malone,8651,2018-01-12--2018-01-19,ni,7wGoVu4Dady5GV0Sv4UIsx
25,Ahora Dice,Chris Jedi,8247,2018-01-12--2018-01-19,ni,22eADXu8DfOAUEDw4vU8qy
26,Bum Bum Tam Tam,MC Fioti,8184,2018-01-12--2018-01-19,ni,4zWO4gvuFtw6EJZC5FFGlr
27,Bella y Sensual,Romeo Santos,8158,2018-01-12--2018-01-19,ni,0ERbK7qVqveCaBWIiYCrl3
28,Adiós Amor,Christian Nodal,8078,2018-01-12--2018-01-19,ni,63bmZnBN1CiJ9sA4qTEe8y
29,Mi Gente,J Balvin,7902,2018-01-12--2018-01-19,ni,2rb5MvYT7ZIxbKW5hfcHx8
30,Cásate Conmigo,Silvestre Dangond,7710,2018-01-12--2018-01-19,ni,6f4UPdDBQONKJBRqwZGjaJ
31,Bonita,J Balvin,7680,2018-01-12--2018-01-19,ni,693iqPOQvhI7PobtR8CC8v
32,Havana - Remix,Camila Cabello,7617,2018-01-12--2018-01-19,ni,3whrwq4DtvucphBPUogRuJ
33,El Farsante,Ozuna,7567,2018-01-12--2018-01-19,ni,5EId1m4DNwTf3at31w8bPJ
34,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,7490,2018-01-12--2018-01-19,ni,5q2JbCNi4FcnglgPfxcV65
35,Olha a Explosão,MC Kevinho,7470,2018-01-12--2018-01-19,ni,6m2LNopVJKsvBB9l7Z1rwn
36,Never Be the Same,Camila Cabello,7414,2018-01-12--2018-01-19,ni,4eWQlBRaTjPPUlzacqEeoQ
37,Una Lady Como Tú,Manuel Turizo,7370,2018-01-12--2018-01-19,ni,7MHN1aCFtLXjownGhvEQlF
38,Dembow,Danny Ocean,7321,2018-01-12--2018-01-19,ni,2EzRdhuoPyNJDlep7lnNf2
39,Explícale (feat. Bad Bunny),Yandel,7044,2018-01-12--2018-01-19,ni,1LszjjoVwDDZcWUQbzeDLG
40,Scooby Doo Pa Pa,Dj Kass,6913,2018-01-12--2018-01-19,ni,1xndOD8CreR5ctkOv5G1LN
41,Wolves,Selena Gomez,6438,2018-01-12--2018-01-19,ni,7EmGUiUaOSGDnUUQUDrOXC
42,Felices los 4,Maluma,6156,2018-01-12--2018-01-19,ni,0qYTZCo5Bwh1nsUFGZP3zn
43,What Lovers Do (feat. SZA),Maroon 5,6055,2018-01-12--2018-01-19,ni,3hBBKuWJfxlIlnd9QFoC8k
44,Amantes de una Noche,Natti Natasha,5936,2018-01-12--2018-01-19,ni,2iCOdoyDmWG3hWkbtH1KB2
45,3 A.M.,Jesse & Joy,5870,2018-01-12--2018-01-19,ni,0yyZN5ASdrYu0XYWFzfxUu
46,Otra vez (feat. J Balvin),Zion & Lennox,5736,2018-01-12--2018-01-19,ni,3QwBODjSEzelZyVjxPOHdq
47,Síguelo Bailando,Ozuna,5603,2018-01-12--2018-01-19,ni,5Y9fnynLlIvqtM710MHzfz
48,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,5596,2018-01-12--2018-01-19,ni,2FrnTVSHjgnEylKGdHRUK1
49,Déjate Llevar,Juan Magán,5569,2018-01-12--2018-01-19,ni,3xWEI23MLJrD0dpDcDUTW6
50,Tú Foto,Ozuna,5518,2018-01-12--2018-01-19,ni,5zSOVwaY3sVjnmLhuEfsuf
51,Ahora Me Llama,KAROL G,5462,2018-01-12--2018-01-19,ni,0alSPoUfrGb0RdVVG4Lf3n
52,SUTRA,Sebastian Yatra,5458,2018-01-12--2018-01-19,ni,5TmZYdHW6HJ9gt7Aokuql5
53,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,5411,2018-01-12--2018-01-19,ni,1bhUWB0zJMIKr9yVPrkEuI
54,Bella,Wolfine,5345,2018-01-12--2018-01-19,ni,4R55IUi2x7S5ek2SpebOiE
55,La Modelo,Lean Trap,5296,2018-01-12--2018-01-19,ni,76DNqvSyzL9VCkhlnByqLf
56,IDGAF,Dua Lipa,5265,2018-01-12--2018-01-19,ni,76cy1WJvNGJTj78UqeA5zr
57,Too Good At Goodbyes,Sam Smith,5238,2018-01-12--2018-01-19,ni,1mXVgsBdtIVeCLJnSnmtdV
58,Si Tú La Ves (feat. Wisin),Nicky Jam,5210,2018-01-12--2018-01-19,ni,4yN6xPLopmTLvc27pO9LIE
59,No Lie,Sean Paul,5115,2018-01-12--2018-01-19,ni,3cFsmM51N5zMAuu1nNY4Tw
60,Thinking out Loud,Ed Sheeran,5048,2018-01-12--2018-01-19,ni,1Slwb6dOYkBlWal1PGtnNg
61,Loco Enamorado,Abraham Mateo,5038,2018-01-12--2018-01-19,ni,4N1c5rmWOzRmB9SMacr5wB
62,Unforgettable,French Montana,4987,2018-01-12--2018-01-19,ni,3B54sVLJ402zGa6Xm4YGNe
63,"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)",Bad Bunny,4962,2018-01-12--2018-01-19,ni,0QQNA8bZqefrGfsShzlZkb
64,Gucci Gang,Lil Pump,4857,2018-01-12--2018-01-19,ni,43ZyHQITOjhciSUUNPVRHc
65,Soy Peor,Bad Bunny,4829,2018-01-12--2018-01-19,ni,5MT96Zz0ymUJNm8obKZQr0
66,Thunder,Imagine Dragons,4792,2018-01-12--2018-01-19,ni,0tKcYR2II1VCQWT79i5NrW
67,Krippy Kush,Farruko,4759,2018-01-12--2018-01-19,ni,7FfpP3YZ6fOWMdxkIAtud9
68,El Granjero,Arcangel,4642,2018-01-12--2018-01-19,ni,7k3SjypJ8lF9WWu8Op0We0
69,Hey DJ,CNCO,4487,2018-01-12--2018-01-19,ni,209gZgcfLq2aUuu51vOWBl
70,Solo,Amenazzy,4449,2018-01-12--2018-01-19,ni,2rrJfOphzn4uQCK9X0x6R6
71,GPS (feat. French Montana),Maluma,4431,2018-01-12--2018-01-19,ni,3t6j6WNv2OSn6qm5Vxynub
72,Closer,The Chainsmokers,4392,2018-01-12--2018-01-19,ni,7BKLCZ1jbUBVqRi2FVlTVw
73,Esperándote,Manuel Turizo,4354,2018-01-12--2018-01-19,ni,1nfyE13arjOuO54HH0zmqj
74,Something Just Like This,The Chainsmokers,4313,2018-01-12--2018-01-19,ni,6RUKPb4LETWmmr3iAEQktW
75,#Natural,Paty Cantú,4285,2018-01-12--2018-01-19,ni,3cRJo0hXMcrXa7oLfAUU4d
