Position,Track Name,Artist,Streams,date,region,spotify_id
1,JA!,Bizzey,2135982,2018-01-12--2018-01-19,nl,5es8kaTPXX5ikcBchdHbtV
2,Blijf Bij Mij,Ronnie Flex,1676925,2018-01-12--2018-01-19,nl,7EyvmcYx7WzeBi2cY9RmIi
3,Skittle Stacking,Josylvio,1607632,2018-01-12--2018-01-19,nl,59w0fAZRp7Oa3qcWMPvfNt
4,"4/5 - From “Patser""",Ronnie Flex,1527263,2018-01-12--2018-01-19,nl,7cAxokBbnclXF6skY38Nd9
5,Havana (feat. Young Thug),Camila Cabello,1136420,2018-01-12--2018-01-19,nl,1rfofaqEpACxVEHIZBJe6W
6,Officieel,Broederliefde,1130385,2018-01-12--2018-01-19,nl,3e0gMtgOOLGPFLzPWR7xzb
7,River (feat. Ed Sheeran),Eminem,1068806,2018-01-12--2018-01-19,nl,5UEnHoDYpsxlfzWLZIc7LD
8,Coño,Puri,1010230,2018-01-12--2018-01-19,nl,7tXCV0UwFwBxqum6i25you
9,Finesse - Remix; feat. Cardi B,Bruno Mars,934593,2018-01-12--2018-01-19,nl,3Vo4wInECJQuz9BIBMOu8i
10,rockstar,Post Malone,863856,2018-01-12--2018-01-19,nl,7wGoVu4Dady5GV0Sv4UIsx
11,I Miss You (feat. Julia Michaels),Clean Bandit,853713,2018-01-12--2018-01-19,nl,2xmrfQpmS2iJExTlklLoAL
12,Wolves,Selena Gomez,841054,2018-01-12--2018-01-19,nl,7EmGUiUaOSGDnUUQUDrOXC
13,Zoutelande,BLØF,828143,2018-01-12--2018-01-19,nl,1rQfM1l1gcZF1tKJtLYRnm
14,Vervloekt,Frenna,817171,2018-01-12--2018-01-19,nl,5VjqFNoLNl0xvG50diCuwx
15,Him & I (with Halsey),G-Eazy,787650,2018-01-12--2018-01-19,nl,5k38wzpLb15YgncyWdTZE4
16,In Amsterdam,Sevn Alias,749936,2018-01-12--2018-01-19,nl,4QXLXEcGPl18ghSz4cSEzP
17,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,749452,2018-01-12--2018-01-19,nl,0OlnLZY4cmQzT6ZGttvWBM
18,Perfect,Ed Sheeran,743208,2018-01-12--2018-01-19,nl,0tgVpDi06FyKpA1z0VMD4v
19,Nikes,Jacin Trill,728082,2018-01-12--2018-01-19,nl,2q7YXqDuLVbmNqfDYbvBF0
20,All Falls Down (feat. Juliander),Alan Walker,704903,2018-01-12--2018-01-19,nl,5yFSF6qQA1rcLsQRnBsZgb
21,Stargazing,Kygo,678236,2018-01-12--2018-01-19,nl,0Zbbxnx4SGGHoIow4PpISP
22,Homesick,Dua Lipa,668746,2018-01-12--2018-01-19,nl,5E5MqaS6eOsbaJibl3YeMZ
23,New Rules,Dua Lipa,642925,2018-01-12--2018-01-19,nl,2ekn2ttSfGqwhhate0LSR0
24,Never Be the Same,Camila Cabello,640510,2018-01-12--2018-01-19,nl,4eWQlBRaTjPPUlzacqEeoQ
25,Anywhere,Rita Ora,633449,2018-01-12--2018-01-19,nl,7EI6Iki24tBHAMxtb4xQN2
26,Merry,Nafthaly Ramona,621175,2018-01-12--2018-01-19,nl,3hHHaTr65mG7bpApRW5CZQ
27,Too Good At Goodbyes,Sam Smith,614395,2018-01-12--2018-01-19,nl,1mXVgsBdtIVeCLJnSnmtdV
28,Échame La Culpa,Luis Fonsi,607434,2018-01-12--2018-01-19,nl,1zsG4eaZmkA1dvjDDsAGLK
29,Patsergedrag,Sevn Alias,593422,2018-01-12--2018-01-19,nl,4tNpAeDH7S7cJGEo28Ogi4
30,What Lovers Do (feat. SZA),Maroon 5,584660,2018-01-12--2018-01-19,nl,3hBBKuWJfxlIlnd9QFoC8k
31,Silence,Marshmello,583199,2018-01-12--2018-01-19,nl,7vGuf3Y35N4wmASOKLUVVU
32,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,570033,2018-01-12--2018-01-19,nl,5AEtlRudpgdT5FtNiuly6Y
33,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,567346,2018-01-12--2018-01-19,nl,1bhUWB0zJMIKr9yVPrkEuI
34,Dusk Till Dawn - Radio Edit,ZAYN,556095,2018-01-12--2018-01-19,nl,1j4kHkkpqZRBwE0A4CN4Yv
35,Goud,Lijpe & Ismo,555794,2018-01-12--2018-01-19,nl,5j3yOkI8H1T7FhpTwHfztr
36,Feel It Still,Portugal. The Man,527420,2018-01-12--2018-01-19,nl,6QgjcU0zLnzq5OrUoSZ3OK
37,Op Me Monnie,Frenna,506670,2018-01-12--2018-01-19,nl,5kvzEqShooIhg1D3KMBa7U
38,Let You Down,NF,502818,2018-01-12--2018-01-19,nl,6mrKP2jyIQmM0rw6fQryjr
39,16 Million,Frenna,486217,2018-01-12--2018-01-19,nl,3AkhtRarPRwQ2lAzvnH64n
40,Shape of You,Ed Sheeran,481087,2018-01-12--2018-01-19,nl,7qiZfU4dY1lWllzX7mPBI3
41,How Long,Charlie Puth,468155,2018-01-12--2018-01-19,nl,32DGGj6KlNuBr6WaqRxpxi
42,Ride Or Die,Josylvio,461494,2018-01-12--2018-01-19,nl,7sMPXHS84uuTGeb21IgXnU
43,Architect,Jonna Fraser,460467,2018-01-12--2018-01-19,nl,3UPsdBBqs9vnVF0fYTGA8n
44,Hop Hop Hop,Lil Kleine,459960,2018-01-12--2018-01-19,nl,2WM1QOmbn4TP0ZFcNOsj2x
45,Buurt Heet (feat. Mula B),Lijpe,456213,2018-01-12--2018-01-19,nl,7J55j5I6XOMB2aG52hrvtg
46,Whatever It Takes,Imagine Dragons,453894,2018-01-12--2018-01-19,nl,4IWAyPf1KMq7JCyGeCjTeH
47,Reggaetón Lento (Remix),CNCO,430402,2018-01-12--2018-01-19,nl,5PB8zB1MOZASboLquvinMF
48,Balmain (feat. Idaly & Boef),JoeyAK,418301,2018-01-12--2018-01-19,nl,543fUGxve06ncOLtWRSxoO
49,Net Iets Meer,Lil Kleine,411400,2018-01-12--2018-01-19,nl,2SdXCB4OPo6J6Yc7V249pS
50,Lovely Body,SFB,399273,2018-01-12--2018-01-19,nl,65ExBcuMthmxRVnPVvWCe3
51,All The Stars (with SZA),Kendrick Lamar,386375,2018-01-12--2018-01-19,nl,12SJpYZEdj4kzWZ8FPFg4Y
52,What About Us,P!nk,351281,2018-01-12--2018-01-19,nl,0Qh38w01QRXK6KHIv0e3hb
53,Krantenwijk,Lil Kleine,345058,2018-01-12--2018-01-19,nl,1X8py2jInjgIQ9Y9roDQZC
54,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,342726,2018-01-12--2018-01-19,nl,7iDa6hUg2VgEL1o1HjmfBn
55,Loterij,Lil Kleine,337246,2018-01-12--2018-01-19,nl,260azNxQzQIloG7OpjQtTC
56,Rewrite The Stars,Zac Efron,325961,2018-01-12--2018-01-19,nl,630sXRhIcfwr2e4RdNtjKN
57,Without You (feat. Sandro Cavazza),Avicii,323364,2018-01-12--2018-01-19,nl,6WbADFqMvR8N5u0BvtsWQE
58,Traag,Bizzey,322627,2018-01-12--2018-01-19,nl,7shAADk9RbPvnwCSkjctFJ
59,Gucci Gang,Lil Pump,320105,2018-01-12--2018-01-19,nl,43ZyHQITOjhciSUUNPVRHc
60,#JM,Broederliefde,319664,2018-01-12--2018-01-19,nl,43pg0oNIUwWBCFGZSkomaE
61,Tranquille,Soufiane Eddyani,318818,2018-01-12--2018-01-19,nl,4wszsRzYmEcVCcCmbYHynZ
62,No Limit,G-Eazy,318766,2018-01-12--2018-01-19,nl,2DQ1ITjI0YoLFzuADN1ZBW
63,Dreamer,Axwell /\ Ingrosso,312567,2018-01-12--2018-01-19,nl,0RTzJVkunbGwuRjXDFHnjf
64,IDGAF,Dua Lipa,309263,2018-01-12--2018-01-19,nl,76cy1WJvNGJTj78UqeA5zr
65,Stop Met Typen,Equalz,308521,2018-01-12--2018-01-19,nl,2fBHmGi4cnKynlXd7P6GZD
