Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,179041,2018-01-12--2018-01-19,pt,1rfofaqEpACxVEHIZBJe6W
2,rockstar,Post Malone,176247,2018-01-12--2018-01-19,pt,7wGoVu4Dady5GV0Sv4UIsx
3,Échame La Culpa,Luis Fonsi,161403,2018-01-12--2018-01-19,pt,1zsG4eaZmkA1dvjDDsAGLK
4,Never Be the Same,Camila Cabello,153629,2018-01-12--2018-01-19,pt,4eWQlBRaTjPPUlzacqEeoQ
5,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,134273,2018-01-12--2018-01-19,pt,6u0EAxf1OJTLS7CvInuNd7
6,River (feat. Ed Sheeran),Eminem,132526,2018-01-12--2018-01-19,pt,5UEnHoDYpsxlfzWLZIc7LD
7,Só Vim Dizer Yau,Piruka,126280,2018-01-12--2018-01-19,pt,3WmKdTY0wtkDRd5mAsAB5i
8,Downtown,Anitta,125272,2018-01-12--2018-01-19,pt,3Ga6eKrUFf12ouh9Yw3v2D
9,Water (feat. Slow J) - Single Version,Richie Campbell,121725,2018-01-12--2018-01-19,pt,58dElABzeDBwfhttWGf6n1
10,Wolves,Selena Gomez,120595,2018-01-12--2018-01-19,pt,7EmGUiUaOSGDnUUQUDrOXC
11,Him & I (with Halsey),G-Eazy,120209,2018-01-12--2018-01-19,pt,5k38wzpLb15YgncyWdTZE4
12,New Rules,Dua Lipa,114572,2018-01-12--2018-01-19,pt,2ekn2ttSfGqwhhate0LSR0
13,Silence,Marshmello,111832,2018-01-12--2018-01-19,pt,7vGuf3Y35N4wmASOKLUVVU
14,Salto Alto,Piruka,111741,2018-01-12--2018-01-19,pt,3sIXzuNgN9HrC7amkEQWiP
15,Finesse - Remix; feat. Cardi B,Bruno Mars,110160,2018-01-12--2018-01-19,pt,3Vo4wInECJQuz9BIBMOu8i
16,I Fall Apart,Post Malone,100383,2018-01-12--2018-01-19,pt,75ZvA4QfFiZvzhj2xkaWAh
