Position,Track Name,Artist,Streams,date,region,spotify_id
1,Rewrite The Stars,Zac Efron,428704,2018-01-12--2018-01-19,sg,630sXRhIcfwr2e4RdNtjKN
2,Havana (feat. Young Thug),Camila Cabello,340133,2018-01-12--2018-01-19,sg,1rfofaqEpACxVEHIZBJe6W
3,Wolves,Selena Gomez,290193,2018-01-12--2018-01-19,sg,7EmGUiUaOSGDnUUQUDrOXC
4,Never Be the Same,Camila Cabello,282637,2018-01-12--2018-01-19,sg,4eWQlBRaTjPPUlzacqEeoQ
5,This Is Me,Keala Settle,281391,2018-01-12--2018-01-19,sg,2xGjteMU3E1tkEPVFBO08U
6,Perfect,Ed Sheeran,233830,2018-01-12--2018-01-19,sg,0tgVpDi06FyKpA1z0VMD4v
7,What Lovers Do (feat. SZA),Maroon 5,219724,2018-01-12--2018-01-19,sg,3hBBKuWJfxlIlnd9QFoC8k
8,Finesse - Remix; feat. Cardi B,Bruno Mars,216866,2018-01-12--2018-01-19,sg,3Vo4wInECJQuz9BIBMOu8i
9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,212454,2018-01-12--2018-01-19,sg,5AEtlRudpgdT5FtNiuly6Y
10,All Falls Down (feat. Juliander),Alan Walker,208999,2018-01-12--2018-01-19,sg,5yFSF6qQA1rcLsQRnBsZgb
11,River (feat. Ed Sheeran),Eminem,208899,2018-01-12--2018-01-19,sg,5UEnHoDYpsxlfzWLZIc7LD
12,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,202482,2018-01-12--2018-01-19,sg,0OlnLZY4cmQzT6ZGttvWBM
13,Too Good At Goodbyes,Sam Smith,198304,2018-01-12--2018-01-19,sg,1mXVgsBdtIVeCLJnSnmtdV
14,The Greatest Show,Hugh Jackman,197739,2018-01-12--2018-01-19,sg,43ay9lQZ5rfNcOOHhRF2cM
15,Never Enough,Loren Allred,188596,2018-01-12--2018-01-19,sg,0Gl5s8IhMmQE5YQwM8Qx1J
16,New Rules,Dua Lipa,186986,2018-01-12--2018-01-19,sg,2ekn2ttSfGqwhhate0LSR0
17,A Million Dreams,Ziv Zaifman,183799,2018-01-12--2018-01-19,sg,0RoA7ObU6phWpqhlC9zH4Z
18,Him & I (with Halsey),G-Eazy,179539,2018-01-12--2018-01-19,sg,5k38wzpLb15YgncyWdTZE4
19,How Long,Charlie Puth,178093,2018-01-12--2018-01-19,sg,32DGGj6KlNuBr6WaqRxpxi
20,I Miss You (feat. Julia Michaels),Clean Bandit,172129,2018-01-12--2018-01-19,sg,2xmrfQpmS2iJExTlklLoAL
21,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,171505,2018-01-12--2018-01-19,sg,1bhUWB0zJMIKr9yVPrkEuI
22,Let You Down,NF,164894,2018-01-12--2018-01-19,sg,6mrKP2jyIQmM0rw6fQryjr
23,Anywhere,Rita Ora,159597,2018-01-12--2018-01-19,sg,7EI6Iki24tBHAMxtb4xQN2
24,Dusk Till Dawn - Radio Edit,ZAYN,156744,2018-01-12--2018-01-19,sg,1j4kHkkpqZRBwE0A4CN4Yv
25,All The Stars (with SZA),Kendrick Lamar,154161,2018-01-12--2018-01-19,sg,12SJpYZEdj4kzWZ8FPFg4Y
