Position,Track Name,Artist,Streams,date,region,spotify_id
1,Lost in the Fire,Gesaffelstein,31348,2019-01-11--2019-01-18,bg,7wFybC8jBH3zE139OpCtpG
2,Without Me,Halsey,21734,2019-01-11--2019-01-18,bg,5p7ujcrUXASCNwRaWNHR1C
3,Wow.,Post Malone,18388,2019-01-11--2019-01-18,bg,6MWtB6iiXyIwun0YzU6DFP
4,SICKO MODE,Travis Scott,14734,2019-01-11--2019-01-18,bg,2xLMifQCjDGFmkHkpNLD9h
5,Going Bad (feat. Drake),Meek Mill,13298,2019-01-11--2019-01-18,bg,2IRZnDFmlqMuOrYOLnZZyc
6,"thank u, next",Ariana Grande,12722,2019-01-11--2019-01-18,bg,2rPE9A1vEgShuZxxzR2tZH
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12638,2019-01-11--2019-01-18,bg,3KkXRkHbMCARz0aVfEt68P
8,Shallow,Lady Gaga,12579,2019-01-11--2019-01-18,bg,2VxeLyX666F8uXCJ0dZF8B
9,ZEZE (feat. Travis Scott & Offset),Kodak Black,12548,2019-01-11--2019-01-18,bg,0FZ4Dmg8jJJAPJnvBIzD9z
10,Dancing With A Stranger (with Normani),Sam Smith,12413,2019-01-11--2019-01-18,bg,6Qs4SXO9dwPj5GKvVOv8Ki
11,Sweet but Psycho,Ava Max,12055,2019-01-11--2019-01-18,bg,25sgk305KZfyuqVBQIahim
12,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,11105,2019-01-11--2019-01-18,bg,2LskIZrCeLxRvCiGP8gxlh
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,10928,2019-01-11--2019-01-18,bg,4w8niZpiMy6qz1mntFA5uM
14,Mo Bamba,Sheck Wes,10072,2019-01-11--2019-01-18,bg,1xzBco0xcoJEDXktl7Jxrr
15,High Hopes,Panic! At The Disco,9974,2019-01-11--2019-01-18,bg,1rqqCSm0Qe4I9rUvWncaom
16,rockstar (feat. 21 Savage),Post Malone,9560,2019-01-11--2019-01-18,bg,0e7ipj03S05BNilyu5bRzt
17,Butterfly Doors,Lil Pump,9422,2019-01-11--2019-01-18,bg,4NdXQlDTzxbOMkzJGWFtz3
18,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,9146,2019-01-11--2019-01-18,bg,27rdGxbavYJeBphck5MZAF
19,Eastside (with Halsey & Khalid),benny blanco,8960,2019-01-11--2019-01-18,bg,7FGq80cy8juXBCD2nrqdWU
20,Better Now,Post Malone,8870,2019-01-11--2019-01-18,bg,7dt6x5M1jzdTEt8oCbisTK
21,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,8761,2019-01-11--2019-01-18,bg,5JEx7HbmvHQQswJCsoo9rA
22,Look Back at It,A Boogie Wit da Hoodie,8717,2019-01-11--2019-01-18,bg,3Ol2xnObFdKV9pmRD2t9x8
23,Say My Name,David Guetta,8387,2019-01-11--2019-01-18,bg,0YammaEkYSeo9vQYZ1OwS6
24,Nonstop,Drake,8350,2019-01-11--2019-01-18,bg,0TlLq3lA83rQOYtrqBqSct
25,SAD!,XXXTENTACION,8316,2019-01-11--2019-01-18,bg,3ee8Jmje8o58CHK66QrVC2
26,Bohemian Rhapsody - Remastered 2011,Queen,8301,2019-01-11--2019-01-18,bg,7tFiyTwD0nx5a1eklYtX2J
27,Kiss and Make Up,Dua Lipa,8191,2019-01-11--2019-01-18,bg,13hvHEstJ4sNbzdroPrPI3
28,Taste (feat. Offset),Tyga,8122,2019-01-11--2019-01-18,bg,5IaHrVsrferBYDm0bDyABy
29,No Stylist (feat. Drake),French Montana,7918,2019-01-11--2019-01-18,bg,04MLEeAMuV9IlHEsD8vF6A
30,monster,21 Savage,7577,2019-01-11--2019-01-18,bg,2FUNBaa5DwItJtYEBgAblU
31,Drip Too Hard (Lil Baby & Gunna),Lil Baby,7563,2019-01-11--2019-01-18,bg,78QR3Wp35dqAhFEc2qAGjE
32,Saturday Nights,Khalid,7465,2019-01-11--2019-01-18,bg,5kfNriitmkNE8mUbZ7gbq8
33,a lot,21 Savage,7247,2019-01-11--2019-01-18,bg,2t8yVaLvJ0RenpXUIAC52d
34,when the party's over,Billie Eilish,7164,2019-01-11--2019-01-18,bg,14JzyD6FlBD5z0wV5P07YI
35,I Like It,Cardi B,7062,2019-01-11--2019-01-18,bg,58q2HKrzhC3ozto2nDdN4z
36,In My Mind,Dynoro,7026,2019-01-11--2019-01-18,bg,0E9ZjEAyAwOXZ7wJC0PD33
37,Let You Love Me,Rita Ora,7006,2019-01-11--2019-01-18,bg,5Fla3zyOCcIRqrDoKLU0DP
38,Money,Cardi B,6900,2019-01-11--2019-01-18,bg,2GGMabyHXnJmjY6CXhhB2e
39,Leave Me Alone,Flipp Dinero,6838,2019-01-11--2019-01-18,bg,14mHfNsSHN0FbLftyjrV9g
40,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,6802,2019-01-11--2019-01-18,bg,7ycWLEP1GsNjVvcjawXz3z
41,Promises (with Sam Smith),Calvin Harris,6727,2019-01-11--2019-01-18,bg,5N5k9nd479b1xpDZ4usjrg
42,Wake Up in the Sky,Gucci Mane,6713,2019-01-11--2019-01-18,bg,2G1tXoGBaEMJ7FKGnkf6ud
43,Happier,Marshmello,6691,2019-01-11--2019-01-18,bg,2dpaYNEQHiRxtZbfNsse99
44,lovely,Billie Eilish,6667,2019-01-11--2019-01-18,bg,1NJcg626wLln4pGHpiV7mf
45,Hope,The Chainsmokers,6655,2019-01-11--2019-01-18,bg,4BiiOzZCrXEzHRLYcYFiD5
46,Moonlight,XXXTENTACION,6653,2019-01-11--2019-01-18,bg,0JP9xo3adEtGSdUEISiszL
47,YOSEMITE,Travis Scott,6499,2019-01-11--2019-01-18,bg,7lAK3oHbfEnvUQWosrMMpR
48,whoa (mind in awe),XXXTENTACION,6368,2019-01-11--2019-01-18,bg,7pdF27mSDuPWhppnHAmWHa
49,no tears left to cry,Ariana Grande,6335,2019-01-11--2019-01-18,bg,2qT1uLXPVPzGgFOx4jtEuo
50,KUDE BESHE,V:RGO,6306,2019-01-11--2019-01-18,bg,2q3JnwftU19wSFgQl2lH4U
51,Детство,Rauf & Faik,6287,2019-01-11--2019-01-18,bg,284ABgw7KmrZj81h4kIc3l
52,TRAP CARD,V:RGO,6268,2019-01-11--2019-01-18,bg,1z5au5xZCU75jVvSrcGWiC
53,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,6255,2019-01-11--2019-01-18,bg,0jAfdqv18goRTUxm3ilRjb
54,imagine,Ariana Grande,6197,2019-01-11--2019-01-18,bg,0todbbT9g5uQGbeFCiBf2F
55,God is a woman,Ariana Grande,6125,2019-01-11--2019-01-18,bg,5OCJzvD7sykQEKHH7qAC3C
56,MIA (feat. Drake),Bad Bunny,6015,2019-01-11--2019-01-18,bg,116H0KvKr2Zl4RPuVBruDO
57,MOLLY,V:RGO,5936,2019-01-11--2019-01-18,bg,4DirxGjaoJxZiCRJ6JEUP6
58,Giant (with Rag'n'Bone Man),Calvin Harris,5857,2019-01-11--2019-01-18,bg,5itOtNx0WxtJmi1TQ3RuRd
59,Venom - Music From The Motion Picture,Eminem,5853,2019-01-11--2019-01-18,bg,2SL6oP2YAEQbqsrkOzRGO4
60,Crushed Up,Future,5844,2019-01-11--2019-01-18,bg,7AYuSG1LoaaFVKjOxsB6Vh
61,Another One Bites The Dust - Remastered 2011,Queen,5789,2019-01-11--2019-01-18,bg,5vdp5UmvTsnMEMESIF2Ym7
62,Believer,Imagine Dragons,5765,2019-01-11--2019-01-18,bg,0pqnGHJpmpxLKifKRmU6WP
63,Girls Like You (feat. Cardi B),Maroon 5,5681,2019-01-11--2019-01-18,bg,7fa9MBXhVfQ8P8Df9OEbD8
64,Lucid Dreams,Juice WRLD,5680,2019-01-11--2019-01-18,bg,285pBltuF7vW8TeWk8hdRR
65,FEFE,6ix9ine,5674,2019-01-11--2019-01-18,bg,4QIyEq7TcTdAcxjI2AFlAK
66,"Fire On Fire - From ""Watership Down""",Sam Smith,5658,2019-01-11--2019-01-18,bg,5rFj8OzffT0iggSjcBaeND
67,BEEF,V:RGO,5636,2019-01-11--2019-01-18,bg,3S8mjrgSHA5u9D9JA9SSXT
68,Lucky You (feat. Joyner Lucas),Eminem,5625,2019-01-11--2019-01-18,bg,60SdxE8apGAxMiRrpbmLY0
69,Woman Like Me (feat. Nicki Minaj),Little Mix,5616,2019-01-11--2019-01-18,bg,222B3aljXx6fFwKmFjuBED
70,Solo (feat. Demi Lovato),Clean Bandit,5595,2019-01-11--2019-01-18,bg,3NuK5xMlSlB6K2Qp16zf3h
71,Youngblood,5 Seconds of Summer,5569,2019-01-11--2019-01-18,bg,2iUXsYOEPhVqEBwsqP70rE
72,BOMBAY,V:RGO,5545,2019-01-11--2019-01-18,bg,2vUKVppOyLaEAl6YIgEOuw
73,Чужди усмивки,ToTo H,5517,2019-01-11--2019-01-18,bg,7a4QHep3kxvGT9ZcP0z0G5
74,God's Plan,Drake,5492,2019-01-11--2019-01-18,bg,6DCZcSspjsKoFjzjrWoCdn
75,MAMULI,V:RGO,5467,2019-01-11--2019-01-18,bg,1Zc2jzO7cx1GJ4cWzQjZrk
76,Tamam Tamam,Summer Cem,5439,2019-01-11--2019-01-18,bg,2eRq2jwsZtb0uGH4qUsvT1
77,Djadja,Aya Nakamura,5434,2019-01-11--2019-01-18,bg,7sKDftgGirHWTVFMtJoDoh
78,Ruin My Life,Zara Larsson,5429,2019-01-11--2019-01-18,bg,5tAa8Uaqr4VvA3693mbIhU
79,Natural,Imagine Dragons,5363,2019-01-11--2019-01-18,bg,2FY7b99s15jUprqC0M5NCT
80,Въртележката,Yanitsa,5317,2019-01-11--2019-01-18,bg,4DZjXYBd21KDCGW8g1eLqI
81,Look Alive (feat. Drake),BlocBoy JB,5275,2019-01-11--2019-01-18,bg,4qKcDkK6siZ7Jp1Jb4m0aL
82,Thunder,Imagine Dragons,5180,2019-01-11--2019-01-18,bg,1zB4vmk8tFRmM9UULNzbLB
83,Beautiful (feat. Camila Cabello),Bazzi,5150,2019-01-11--2019-01-18,bg,4VUwkH455At9kENOfzTqmF
84,In My Feelings,Drake,5110,2019-01-11--2019-01-18,bg,2G7V7zsVDxg1yRsu7Ew9RJ
85,HUMBLE.,Kendrick Lamar,5093,2019-01-11--2019-01-18,bg,7KXjTSCq5nL1LoYtL7XAwS
86,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,5080,2019-01-11--2019-01-18,bg,7tGEAA1f8MydT7eVbbO9Zy
87,LESHA,V:RGO,5077,2019-01-11--2019-01-18,bg,52bDnelkzFwn9KvQfMY7Zx
88,idontwannabeyouanymore,Billie Eilish,5068,2019-01-11--2019-01-18,bg,40T5GIqQ1CegGm2PTEl8Bu
89,Be Alright,Dean Lewis,5058,2019-01-11--2019-01-18,bg,3EPXxR3ImUwfayaurPi3cm
90,Let Me Down Slowly,Alec Benjamin,5037,2019-01-11--2019-01-18,bg,2qxmye6gAegTMjLKEBoR3d
91,Space Cadet (feat. Gunna),Metro Boomin,4983,2019-01-11--2019-01-18,bg,1fewSx2d5KIZ04wsooEBOz
92,Trampoline,SHAED,4969,2019-01-11--2019-01-18,bg,0lsRatBUs9HNIZAmoGABzk
93,I Love It (& Lil Pump),Kanye West,4948,2019-01-11--2019-01-18,bg,4S8d14HvHb70ImctNgVzQQ
94,I'm a Mess,Bebe Rexha,4921,2019-01-11--2019-01-18,bg,04ZTP5KsCypmtCmQg5tH9R
95,'Till I Collapse,Eminem,4872,2019-01-11--2019-01-18,bg,4xkOaSrkexMciUUogZKVTS
96,IDGAF,Dua Lipa,4870,2019-01-11--2019-01-18,bg,76cy1WJvNGJTj78UqeA5zr
97,One Kiss (with Dua Lipa),Calvin Harris,4834,2019-01-11--2019-01-18,bg,7ef4DlsgrMEH11cDZd32M6
98,Yako mi e,Djena,4833,2019-01-11--2019-01-18,bg,4y2VZfya4IXHFD39a8frYl
99,Bad Liar,Imagine Dragons,4832,2019-01-11--2019-01-18,bg,2RSHsoi04658QL5xgQVov3
100,Don't Stop Me Now - Remastered 2011,Queen,4830,2019-01-11--2019-01-18,bg,5T8EDUDqKcs6OSOwEsfqG7
