Position,Track Name,Artist,Streams,date,region,spotify_id
1,Wow.,Post Malone,1780762,2019-01-11--2019-01-18,ca,6MWtB6iiXyIwun0YzU6DFP
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1749717,2019-01-11--2019-01-18,ca,3KkXRkHbMCARz0aVfEt68P
3,Going Bad (feat. Drake),Meek Mill,1321915,2019-01-11--2019-01-18,ca,2IRZnDFmlqMuOrYOLnZZyc
4,Lost in the Fire,Gesaffelstein,1278705,2019-01-11--2019-01-18,ca,7wFybC8jBH3zE139OpCtpG
5,Without Me,Halsey,1148645,2019-01-11--2019-01-18,ca,5p7ujcrUXASCNwRaWNHR1C
6,SICKO MODE,Travis Scott,1134340,2019-01-11--2019-01-18,ca,2xLMifQCjDGFmkHkpNLD9h
7,"thank u, next",Ariana Grande,1030230,2019-01-11--2019-01-18,ca,2rPE9A1vEgShuZxxzR2tZH
8,Dancing With A Stranger (with Normani),Sam Smith,978502,2019-01-11--2019-01-18,ca,6Qs4SXO9dwPj5GKvVOv8Ki
9,ZEZE (feat. Travis Scott & Offset),Kodak Black,977437,2019-01-11--2019-01-18,ca,0FZ4Dmg8jJJAPJnvBIzD9z
10,Drip Too Hard (Lil Baby & Gunna),Lil Baby,956473,2019-01-11--2019-01-18,ca,78QR3Wp35dqAhFEc2qAGjE
11,Look Back at It,A Boogie Wit da Hoodie,913664,2019-01-11--2019-01-18,ca,3Ol2xnObFdKV9pmRD2t9x8
12,Mo Bamba,Sheck Wes,893725,2019-01-11--2019-01-18,ca,1xzBco0xcoJEDXktl7Jxrr
13,High Hopes,Panic! At The Disco,887504,2019-01-11--2019-01-18,ca,1rqqCSm0Qe4I9rUvWncaom
14,Happier,Marshmello,771317,2019-01-11--2019-01-18,ca,2dpaYNEQHiRxtZbfNsse99
15,Saturday Nights,Khalid,756376,2019-01-11--2019-01-18,ca,5kfNriitmkNE8mUbZ7gbq8
16,Leave Me Alone,Flipp Dinero,736086,2019-01-11--2019-01-18,ca,14mHfNsSHN0FbLftyjrV9g
17,Eastside (with Halsey & Khalid),benny blanco,734773,2019-01-11--2019-01-18,ca,7FGq80cy8juXBCD2nrqdWU
18,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,662037,2019-01-11--2019-01-18,ca,0jAfdqv18goRTUxm3ilRjb
19,Better,Khalid,658247,2019-01-11--2019-01-18,ca,6zeeWid2sgw4lap2jV61PZ
20,Better Now,Post Malone,657540,2019-01-11--2019-01-18,ca,7dt6x5M1jzdTEt8oCbisTK
21,Shallow,Lady Gaga,639176,2019-01-11--2019-01-18,ca,2VxeLyX666F8uXCJ0dZF8B
22,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,621936,2019-01-11--2019-01-18,ca,2LskIZrCeLxRvCiGP8gxlh
23,KIKA,6ix9ine,612604,2019-01-11--2019-01-18,ca,6Gy7rXB6Ku5vIWC7WGWsl3
24,Nonstop,Drake,601591,2019-01-11--2019-01-18,ca,0TlLq3lA83rQOYtrqBqSct
25,monster,21 Savage,589685,2019-01-11--2019-01-18,ca,2FUNBaa5DwItJtYEBgAblU
26,No Stylist (feat. Drake),French Montana,582624,2019-01-11--2019-01-18,ca,04MLEeAMuV9IlHEsD8vF6A
27,Lucid Dreams,Juice WRLD,577234,2019-01-11--2019-01-18,ca,285pBltuF7vW8TeWk8hdRR
28,Giant (with Rag'n'Bone Man),Calvin Harris,572346,2019-01-11--2019-01-18,ca,5itOtNx0WxtJmi1TQ3RuRd
29,Taste (feat. Offset),Tyga,559980,2019-01-11--2019-01-18,ca,5IaHrVsrferBYDm0bDyABy
30,Youngblood,5 Seconds of Summer,559423,2019-01-11--2019-01-18,ca,2iUXsYOEPhVqEBwsqP70rE
31,Sweet but Psycho,Ava Max,543428,2019-01-11--2019-01-18,ca,25sgk305KZfyuqVBQIahim
32,when the party's over,Billie Eilish,543091,2019-01-11--2019-01-18,ca,14JzyD6FlBD5z0wV5P07YI
33,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,542794,2019-01-11--2019-01-18,ca,1wJRveJZLSb1rjhnUHQiv6
34,MIA (feat. Drake),Bad Bunny,536818,2019-01-11--2019-01-18,ca,116H0KvKr2Zl4RPuVBruDO
35,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,532782,2019-01-11--2019-01-18,ca,5JEx7HbmvHQQswJCsoo9rA
36,SAD!,XXXTENTACION,519078,2019-01-11--2019-01-18,ca,3ee8Jmje8o58CHK66QrVC2
37,Wake Up in the Sky,Gucci Mane,510318,2019-01-11--2019-01-18,ca,2G1tXoGBaEMJ7FKGnkf6ud
38,Butterfly Doors,Lil Pump,500745,2019-01-11--2019-01-18,ca,4NdXQlDTzxbOMkzJGWFtz3
39,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,493607,2019-01-11--2019-01-18,ca,4w8niZpiMy6qz1mntFA5uM
40,a lot,21 Savage,488118,2019-01-11--2019-01-18,ca,2t8yVaLvJ0RenpXUIAC52d
41,Crushed Up,Future,483134,2019-01-11--2019-01-18,ca,7AYuSG1LoaaFVKjOxsB6Vh
42,Money,Cardi B,464731,2019-01-11--2019-01-18,ca,2GGMabyHXnJmjY6CXhhB2e
43,rockstar (feat. 21 Savage),Post Malone,463112,2019-01-11--2019-01-18,ca,0e7ipj03S05BNilyu5bRzt
44,Space Cadet (feat. Gunna),Metro Boomin,460354,2019-01-11--2019-01-18,ca,1fewSx2d5KIZ04wsooEBOz
45,Splashin,Rich The Kid,458884,2019-01-11--2019-01-18,ca,79OEIr4J4FHV0O3KrhaXRb
46,Hope,The Chainsmokers,456263,2019-01-11--2019-01-18,ca,4BiiOzZCrXEzHRLYcYFiD5
47,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,453226,2019-01-11--2019-01-18,ca,27rdGxbavYJeBphck5MZAF
48,imagine,Ariana Grande,450610,2019-01-11--2019-01-18,ca,0todbbT9g5uQGbeFCiBf2F
49,Noticed,Lil Mosey,445112,2019-01-11--2019-01-18,ca,6JQvHMSaR8flFsN53ypOfP
50,Armed And Dangerous,Juice WRLD,436923,2019-01-11--2019-01-18,ca,5wujBwqG7INdStqGd4tRMX
51,Girls Like You (feat. Cardi B),Maroon 5,435032,2019-01-11--2019-01-18,ca,7fa9MBXhVfQ8P8Df9OEbD8
52,Body (feat. brando),Loud Luxury,430992,2019-01-11--2019-01-18,ca,7K7MUBCnzgBAvMVW2RTWNs
53,I Like It,Cardi B,426557,2019-01-11--2019-01-18,ca,58q2HKrzhC3ozto2nDdN4z
54,whoa (mind in awe),XXXTENTACION,424847,2019-01-11--2019-01-18,ca,7pdF27mSDuPWhppnHAmWHa
55,lovely,Billie Eilish,422338,2019-01-11--2019-01-18,ca,1NJcg626wLln4pGHpiV7mf
56,Moonlight,XXXTENTACION,415502,2019-01-11--2019-01-18,ca,0JP9xo3adEtGSdUEISiszL
57,Be Alright,Dean Lewis,408986,2019-01-11--2019-01-18,ca,3EPXxR3ImUwfayaurPi3cm
58,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,405349,2019-01-11--2019-01-18,ca,1KVczjazCcCCgM3gXXUl47
59,YOSEMITE,Travis Scott,402807,2019-01-11--2019-01-18,ca,7lAK3oHbfEnvUQWosrMMpR
60,Psycho (feat. Ty Dolla $ign),Post Malone,398460,2019-01-11--2019-01-18,ca,3swc6WTsr7rl9DqQKQA55C
61,God's Plan,Drake,389109,2019-01-11--2019-01-18,ca,6DCZcSspjsKoFjzjrWoCdn
62,Look Alive (feat. Drake),BlocBoy JB,388742,2019-01-11--2019-01-18,ca,4qKcDkK6siZ7Jp1Jb4m0aL
63,Beautiful (feat. Camila Cabello),Bazzi,386484,2019-01-11--2019-01-18,ca,4VUwkH455At9kENOfzTqmF
64,BAD!,XXXTENTACION,382619,2019-01-11--2019-01-18,ca,22An65gG31JLf9n18qjdhZ
65,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,380831,2019-01-11--2019-01-18,ca,4e4fqjx0Izh4svvTef1z7e
66,In My Feelings,Drake,379386,2019-01-11--2019-01-18,ca,2G7V7zsVDxg1yRsu7Ew9RJ
67,I Like Me Better,Lauv,377596,2019-01-11--2019-01-18,ca,2P91MQbaiQOfbiz9VqhqKQ
68,FEFE,6ix9ine,374453,2019-01-11--2019-01-18,ca,4QIyEq7TcTdAcxjI2AFlAK
69,This Feeling,The Chainsmokers,368356,2019-01-11--2019-01-18,ca,4NBTZtAt1F13VvlSKe6KTl
70,Fine China,Future,357019,2019-01-11--2019-01-18,ca,5274I4mUMnYczyeXkGDWZN
71,I Love It (& Lil Pump),Kanye West,354539,2019-01-11--2019-01-18,ca,4S8d14HvHb70ImctNgVzQQ
