Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,2332037,2019-01-11--2019-01-18,cl,5iwz1NiezX7WWjnCgY5TH4
2,Amanece,Anuel AA,2172564,2019-01-11--2019-01-18,cl,1LiN0Z98FkR1t0m8KmLcAH
3,No Te Enamores,Paloma Mami,2115782,2019-01-11--2019-01-18,cl,0EJu1RBtxzldMG2peczuPv
4,Adan y Eva,Paulo Londra,1969563,2019-01-11--2019-01-18,cl,6FyRXC8tJUh863JCkyWqtk
5,Not Steady,Paloma Mami,1569900,2019-01-11--2019-01-18,cl,42ArfZUgGo3k5btIHp08it
6,MIA (feat. Drake),Bad Bunny,1492072,2019-01-11--2019-01-18,cl,116H0KvKr2Zl4RPuVBruDO
7,Adictiva,Daddy Yankee,1472561,2019-01-11--2019-01-18,cl,6MJUCumnQsQEKbCy28tbCP
8,Imposible,Luis Fonsi,1224277,2019-01-11--2019-01-18,cl,3ao3OVxHlb3C08vAaApUlm
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1169112,2019-01-11--2019-01-18,cl,4w8niZpiMy6qz1mntFA5uM
10,Cuando Te Besé,Becky G,1108427,2019-01-11--2019-01-18,cl,2XXMDz7SPZ4mSFN1PXfHUy
11,Desconocidos,Mau y Ricky,1062668,2019-01-11--2019-01-18,cl,0s5DNDV6LAKn2u2Ufa3VjQ
12,Bubalu,Becky G,976764,2019-01-11--2019-01-18,cl,7dNwJbsT0sg1le5kVugGJb
13,Ella Quiere Beber - Remix,Anuel AA,927955,2019-01-11--2019-01-18,cl,2cYnZNzFRFK0H7vSNxPsUq
14,Culpables,KAROL G,901474,2019-01-11--2019-01-18,cl,6q8Lb50EtqNeeJXXe8mMAH
15,Hipócrita,Anuel AA,900984,2019-01-11--2019-01-18,cl,6XBjCetHKdO5L9cwMDVffw
16,Vaina Loca,Ozuna,897617,2019-01-11--2019-01-18,cl,48zFZh27QU5qsrBjn4C2FA
17,Sigue Bailandome,Yannc,878138,2019-01-11--2019-01-18,cl,0GmiGIxXDNrePrHBpijYDp
18,BEBE,6ix9ine,864589,2019-01-11--2019-01-18,cl,4KkUjFkcQvGvWekl8RATDn
