Position,Track Name,Artist,Streams,date,region,spotify_id
1,DODI,Shindy,6349154,2019-01-11--2019-01-18,de,63THFs9ovzO3WQsz4lzh0H
2,Benzema,Capital Bra,3884393,2019-01-11--2019-01-18,de,7KPGeiXWDsGEvFK62wzU8E
3,#niemalsantäuschen,Farid Bang,3030456,2019-01-11--2019-01-18,de,0hzcLCW6F1F0jauTFAhOQP
4,Sweet but Psycho,Ava Max,3010352,2019-01-11--2019-01-18,de,25sgk305KZfyuqVBQIahim
5,JAJA,Fero47,2941140,2019-01-11--2019-01-18,de,5z3vuYzS9UF6rD6TmBEdUf
6,HaifischNikez Allstars,LX,2815214,2019-01-11--2019-01-18,de,0kLA41xkWzzYzMIEGFuDkP
7,Baller los,MERO,2361874,2019-01-11--2019-01-18,de,1IPRghUN3LFPNbCTsfBJx9
8,Tausend Tattoos,Sido,2093507,2019-01-11--2019-01-18,de,2PAYSgrVOBz8RJqp9B7QLu
9,Shem Shem & Sex,Nimo,2083458,2019-01-11--2019-01-18,de,6ujq8IjOGkbJrp09qarW1E
10,High Hopes,Panic! At The Disco,2042077,2019-01-11--2019-01-18,de,1rqqCSm0Qe4I9rUvWncaom
11,Lelele,Azet,1976697,2019-01-11--2019-01-18,de,31Zs71Yb7YoPlFx2p1uKRX
12,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,1843618,2019-01-11--2019-01-18,de,4Nip6oiJU24LqcUEi7u19S
13,Without Me,Halsey,1827243,2019-01-11--2019-01-18,de,5p7ujcrUXASCNwRaWNHR1C
14,Zoey,Nimo,1664945,2019-01-11--2019-01-18,de,0dGSOCj6hdV5Nr0V8FjONc
15,500 PS,Bonez MC,1661233,2019-01-11--2019-01-18,de,4UOXo3xWnxYdTf3sFyRaUG
16,Wow.,Post Malone,1614050,2019-01-11--2019-01-18,de,6MWtB6iiXyIwun0YzU6DFP
17,Speechless (feat. Erika Sirola),Robin Schulz,1546272,2019-01-11--2019-01-18,de,1rCcsYnmqbMYdkG7kS9GC5
18,Be Alright,Dean Lewis,1481874,2019-01-11--2019-01-18,de,3EPXxR3ImUwfayaurPi3cm
19,Lambo Diablo GT (feat. Nimo & Juju) - Remix,Capo,1464081,2019-01-11--2019-01-18,de,3TMW1GOB1lsmvf8er2dE8g
20,"Crack, Koks, Piece Unternehmen",Nash,1425160,2019-01-11--2019-01-18,de,7Kl0tRgiMu5USwbZM5274a
21,In My Mind,Dynoro,1319893,2019-01-11--2019-01-18,de,0E9ZjEAyAwOXZ7wJC0PD33
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1303850,2019-01-11--2019-01-18,de,4w8niZpiMy6qz1mntFA5uM
23,Meer,Luciano,1265700,2019-01-11--2019-01-18,de,1LcvTvRfWrQjrF6aymfugd
24,Feuer,Capital Bra,1265088,2019-01-11--2019-01-18,de,3yuMTMJQ2gkvLhMVZLrcRV
25,Cataleya,Samra,1258759,2019-01-11--2019-01-18,de,3MrTi2XjvQCZm8V1P1ryuR
26,Ich liebe es (feat. XATAR & SAMY),Capital Bra,1257941,2019-01-11--2019-01-18,de,71XGMPKmWtVxO7bGcGZhbn
27,Fading,Alle Farben,1257782,2019-01-11--2019-01-18,de,2RP8Svo0pMwZXnVcmOffDw
28,Farben,Kontra K,1237574,2019-01-11--2019-01-18,de,6hFmSZIw5gmn9mK4hfqozy
29,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1201333,2019-01-11--2019-01-18,de,2LskIZrCeLxRvCiGP8gxlh
30,MILLIONDOLLAR$MILE,Loredana,1193023,2019-01-11--2019-01-18,de,4nBcGqwztDJ29cyHVJtXsB
31,Let You Love Me,Rita Ora,1182823,2019-01-11--2019-01-18,de,5Fla3zyOCcIRqrDoKLU0DP
32,Happier,Marshmello,1178057,2019-01-11--2019-01-18,de,2dpaYNEQHiRxtZbfNsse99
33,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1174756,2019-01-11--2019-01-18,de,3KkXRkHbMCARz0aVfEt68P
34,Dior 2001,RIN,1129850,2019-01-11--2019-01-18,de,2eNSyVH3sNPiAj9WpRYK73
35,"thank u, next",Ariana Grande,1094910,2019-01-11--2019-01-18,de,2rPE9A1vEgShuZxxzR2tZH
