Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,21863,2019-01-11--2019-01-18,ee,3KkXRkHbMCARz0aVfEt68P
2,tmt,Nublu,21581,2019-01-11--2019-01-18,ee,3BBC0z90LcToCjPIN0vuHp
3,Without Me,Halsey,21391,2019-01-11--2019-01-18,ee,5p7ujcrUXASCNwRaWNHR1C
4,Wow.,Post Malone,20569,2019-01-11--2019-01-18,ee,6MWtB6iiXyIwun0YzU6DFP
5,High Hopes,Panic! At The Disco,17981,2019-01-11--2019-01-18,ee,1rqqCSm0Qe4I9rUvWncaom
6,Sweet but Psycho,Ava Max,17762,2019-01-11--2019-01-18,ee,25sgk305KZfyuqVBQIahim
7,Shallow,Lady Gaga,17759,2019-01-11--2019-01-18,ee,2VxeLyX666F8uXCJ0dZF8B
8,Dancing With A Stranger (with Normani),Sam Smith,16388,2019-01-11--2019-01-18,ee,6Qs4SXO9dwPj5GKvVOv8Ki
9,Lost in the Fire,Gesaffelstein,16264,2019-01-11--2019-01-18,ee,7wFybC8jBH3zE139OpCtpG
10,"thank u, next",Ariana Grande,15583,2019-01-11--2019-01-18,ee,2rPE9A1vEgShuZxxzR2tZH
11,öölaps!,Nublu,15017,2019-01-11--2019-01-18,ee,70qZhu8T6VHpeugYFZCnVk
12,when the party's over,Billie Eilish,13923,2019-01-11--2019-01-18,ee,14JzyD6FlBD5z0wV5P07YI
13,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,13670,2019-01-11--2019-01-18,ee,5JEx7HbmvHQQswJCsoo9rA
14,Mina Ka,Nublu,13197,2019-01-11--2019-01-18,ee,4WTIwGBQobHLNo320RhOWW
15,Eastside (with Halsey & Khalid),benny blanco,12721,2019-01-11--2019-01-18,ee,7FGq80cy8juXBCD2nrqdWU
16,Be Alright,Dean Lewis,12496,2019-01-11--2019-01-18,ee,3EPXxR3ImUwfayaurPi3cm
17,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,12205,2019-01-11--2019-01-18,ee,27rdGxbavYJeBphck5MZAF
18,ZEZE (feat. Travis Scott & Offset),Kodak Black,12069,2019-01-11--2019-01-18,ee,0FZ4Dmg8jJJAPJnvBIzD9z
19,SICKO MODE,Travis Scott,11880,2019-01-11--2019-01-18,ee,2xLMifQCjDGFmkHkpNLD9h
20,Mo Bamba,Sheck Wes,11848,2019-01-11--2019-01-18,ee,1xzBco0xcoJEDXktl7Jxrr
21,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,11224,2019-01-11--2019-01-18,ee,2LskIZrCeLxRvCiGP8gxlh
22,Better Now,Post Malone,10572,2019-01-11--2019-01-18,ee,7dt6x5M1jzdTEt8oCbisTK
23,Tagasi Me,Elina Born,10378,2019-01-11--2019-01-18,ee,3FSKFG95l4GGTCsdRqOjCL
24,Saturday Nights,Khalid,10323,2019-01-11--2019-01-18,ee,5kfNriitmkNE8mUbZ7gbq8
25,Lucid Dreams,Juice WRLD,10166,2019-01-11--2019-01-18,ee,285pBltuF7vW8TeWk8hdRR
26,SAD!,XXXTENTACION,10160,2019-01-11--2019-01-18,ee,3ee8Jmje8o58CHK66QrVC2
27,Giant (with Rag'n'Bone Man),Calvin Harris,9967,2019-01-11--2019-01-18,ee,5itOtNx0WxtJmi1TQ3RuRd
28,Bohemian Rhapsody - Remastered 2011,Queen,9760,2019-01-11--2019-01-18,ee,7tFiyTwD0nx5a1eklYtX2J
29,I Got Love,MiyaGi & Endspiel,9556,2019-01-11--2019-01-18,ee,5rwsJbBNa8SfPW4oFA1GjP
30,Mõtetes,Pluuto,9495,2019-01-11--2019-01-18,ee,3syMpkCHtT1bxuBFU63L2I
31,lovely,Billie Eilish,9492,2019-01-11--2019-01-18,ee,1NJcg626wLln4pGHpiV7mf
32,Hope,The Chainsmokers,9491,2019-01-11--2019-01-18,ee,4BiiOzZCrXEzHRLYcYFiD5
33,Promises (with Sam Smith),Calvin Harris,9480,2019-01-11--2019-01-18,ee,5N5k9nd479b1xpDZ4usjrg
