Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sweet but Psycho,Ava Max,3133682,2019-01-11--2019-01-18,gb,25sgk305KZfyuqVBQIahim
2,Wow.,Post Malone,2539105,2019-01-11--2019-01-18,gb,6MWtB6iiXyIwun0YzU6DFP
3,"thank u, next",Ariana Grande,2405280,2019-01-11--2019-01-18,gb,2rPE9A1vEgShuZxxzR2tZH
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2334687,2019-01-11--2019-01-18,gb,3KkXRkHbMCARz0aVfEt68P
5,Without Me,Halsey,2316889,2019-01-11--2019-01-18,gb,5p7ujcrUXASCNwRaWNHR1C
6,Dancing With A Stranger (with Normani),Sam Smith,2122191,2019-01-11--2019-01-18,gb,6Qs4SXO9dwPj5GKvVOv8Ki
7,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1735689,2019-01-11--2019-01-18,gb,27rdGxbavYJeBphck5MZAF
8,Giant (with Rag'n'Bone Man),Calvin Harris,1683581,2019-01-11--2019-01-18,gb,5itOtNx0WxtJmi1TQ3RuRd
9,SICKO MODE,Travis Scott,1602218,2019-01-11--2019-01-18,gb,2xLMifQCjDGFmkHkpNLD9h
10,Lost in the Fire,Gesaffelstein,1558808,2019-01-11--2019-01-18,gb,7wFybC8jBH3zE139OpCtpG
11,Play,Jax Jones,1457079,2019-01-11--2019-01-18,gb,29R1IMTTbDDA3VNlk6UEW5
12,ZEZE (feat. Travis Scott & Offset),Kodak Black,1427686,2019-01-11--2019-01-18,gb,0FZ4Dmg8jJJAPJnvBIzD9z
13,Eastside (with Halsey & Khalid),benny blanco,1373243,2019-01-11--2019-01-18,gb,7FGq80cy8juXBCD2nrqdWU
14,Going Bad (feat. Drake),Meek Mill,1372463,2019-01-11--2019-01-18,gb,2IRZnDFmlqMuOrYOLnZZyc
15,Ruin My Life,Zara Larsson,1364532,2019-01-11--2019-01-18,gb,5tAa8Uaqr4VvA3693mbIhU
16,18HUNNA (feat. Dave),Headie One,1333145,2019-01-11--2019-01-18,gb,0G1GIn5gGoe5iLHvVC5FM0
17,Shotgun,George Ezra,1274781,2019-01-11--2019-01-18,gb,4ofwffwvvnbSkrMSCKQDaC
18,Options,NSG,1243024,2019-01-11--2019-01-18,gb,2cytBOLpwFRX7J9URCrFIe
19,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1216294,2019-01-11--2019-01-18,gb,5JEx7HbmvHQQswJCsoo9rA
20,Shallow,Lady Gaga,1205927,2019-01-11--2019-01-18,gb,2VxeLyX666F8uXCJ0dZF8B
21,High Hopes,Panic! At The Disco,1157884,2019-01-11--2019-01-18,gb,1rqqCSm0Qe4I9rUvWncaom
22,Promises (with Sam Smith),Calvin Harris,1150988,2019-01-11--2019-01-18,gb,5N5k9nd479b1xpDZ4usjrg
23,Happier,Marshmello,1146379,2019-01-11--2019-01-18,gb,2dpaYNEQHiRxtZbfNsse99
24,Funky Friday,Dave,1145424,2019-01-11--2019-01-18,gb,01IQ4aQgOf0Kkq3a273hmO
25,when the party's over,Billie Eilish,1115185,2019-01-11--2019-01-18,gb,14JzyD6FlBD5z0wV5P07YI
26,Longshot,Catfish and the Bottlemen,1089883,2019-01-11--2019-01-18,gb,1Yi8XPnCPoimWwqxwm3uz9
27,Mo Bamba,Sheck Wes,1068658,2019-01-11--2019-01-18,gb,1xzBco0xcoJEDXktl7Jxrr
28,Saturday Nights,Khalid,1048256,2019-01-11--2019-01-18,gb,5kfNriitmkNE8mUbZ7gbq8
