Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,108975,2019-01-11--2019-01-18,hk,3KkXRkHbMCARz0aVfEt68P
2,"thank u, next",Ariana Grande,96726,2019-01-11--2019-01-18,hk,2rPE9A1vEgShuZxxzR2tZH
3,Without Me,Halsey,85724,2019-01-11--2019-01-18,hk,5p7ujcrUXASCNwRaWNHR1C
4,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,85072,2019-01-11--2019-01-18,hk,1SO5RyYJZUAI0aHkAkrF2p
5,百年樹木,Hins Cheung,82904,2019-01-11--2019-01-18,hk,5ql4tlxS3GtADNsSRi2GnW
6,Wow.,Post Malone,81132,2019-01-11--2019-01-18,hk,6MWtB6iiXyIwun0YzU6DFP
7,Dancing With A Stranger (with Normani),Sam Smith,77011,2019-01-11--2019-01-18,hk,6Qs4SXO9dwPj5GKvVOv8Ki
8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,66125,2019-01-11--2019-01-18,hk,3ayrHkyorPEpeOBvZ76SwG
9,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,62051,2019-01-11--2019-01-18,hk,5JEx7HbmvHQQswJCsoo9rA
10,Sweet but Psycho,Ava Max,61612,2019-01-11--2019-01-18,hk,25sgk305KZfyuqVBQIahim
11,Saturday Nights,Khalid,61269,2019-01-11--2019-01-18,hk,5kfNriitmkNE8mUbZ7gbq8
12,Shallow,Lady Gaga,60960,2019-01-11--2019-01-18,hk,2VxeLyX666F8uXCJ0dZF8B
13,SOLO,JENNIE,59868,2019-01-11--2019-01-18,hk,2wVDWtLKXunswWecARNILj
14,(一個男人) 一個女人 和浴室,Louis Koo,59728,2019-01-11--2019-01-18,hk,5NvsRbIoMFMqBAVFHn1f3X
15,龍舌蘭,Eason Chan,57750,2019-01-11--2019-01-18,hk,2yJuzhRAp75De9QFcR0qXl
16,認真如初,Jason Chan,49549,2019-01-11--2019-01-18,hk,2rdcqS9cMomMCHqtX3v7hM
17,春秋,Hins Cheung,49193,2019-01-11--2019-01-18,hk,2WVbMoHdWCspdiEa7OnG1D
18,High Hopes,Panic! At The Disco,49049,2019-01-11--2019-01-18,hk,1rqqCSm0Qe4I9rUvWncaom
19,imagine,Ariana Grande,48145,2019-01-11--2019-01-18,hk,0todbbT9g5uQGbeFCiBf2F
20,Hope,The Chainsmokers,46563,2019-01-11--2019-01-18,hk,4BiiOzZCrXEzHRLYcYFiD5
21,裝睡的情人,Hins Cheung,46061,2019-01-11--2019-01-18,hk,5hdFOCoXHRbGEGF6A0IylT
22,Lost in the Fire,Gesaffelstein,45980,2019-01-11--2019-01-18,hk,7wFybC8jBH3zE139OpCtpG
23,"Fire On Fire - From ""Watership Down""",Sam Smith,45835,2019-01-11--2019-01-18,hk,5rFj8OzffT0iggSjcBaeND
24,未來見,RubberBand,45799,2019-01-11--2019-01-18,hk,5OPqZ5dEqrdPGatJgnZ8xG
25,Always Remember Us This Way,Lady Gaga,45142,2019-01-11--2019-01-18,hk,2rbDhOo9Fh61Bbu23T2qCk
26,漸漸,Eason Chan,45017,2019-01-11--2019-01-18,hk,1o5PE9VNUd8EJtcYLA3QxP
27,心之科學,Joey Yung,44613,2019-01-11--2019-01-18,hk,1gVMd7oYGo6Whlgg7pAa7M
28,我們萬歲,Eason Chan,43493,2019-01-11--2019-01-18,hk,36zXp2vEis00HRdX3pYEMr
29,勇悍・17,Juno Mak,43466,2019-01-11--2019-01-18,hk,58nDLotEOqoDorTkvz4tJf
30,Bad Liar,Imagine Dragons,42008,2019-01-11--2019-01-18,hk,2RSHsoi04658QL5xgQVov3
31,Girls Like You (feat. Cardi B),Maroon 5,41367,2019-01-11--2019-01-18,hk,7fa9MBXhVfQ8P8Df9OEbD8
32,一個女人和浴室,Kay Tse,41330,2019-01-11--2019-01-18,hk,4IxKTRZn3KQxj3dwwqbyGi
33,Going Bad (feat. Drake),Meek Mill,40767,2019-01-11--2019-01-18,hk,2IRZnDFmlqMuOrYOLnZZyc
34,永遠飛行模式,Dear Jane,40307,2019-01-11--2019-01-18,hk,5EIzOqZAhzahqfECAm68sY
35,櫻花樹下,Hins Cheung,39669,2019-01-11--2019-01-18,hk,2FgDWCqMCIAATvqr9ozeYm
36,Eastside (with Halsey & Khalid),benny blanco,38985,2019-01-11--2019-01-18,hk,7FGq80cy8juXBCD2nrqdWU
37,Happier,Marshmello,38492,2019-01-11--2019-01-18,hk,2dpaYNEQHiRxtZbfNsse99
38,Look Back at It,A Boogie Wit da Hoodie,38332,2019-01-11--2019-01-18,hk,3Ol2xnObFdKV9pmRD2t9x8
39,Shape of You,Ed Sheeran,37803,2019-01-11--2019-01-18,hk,7qiZfU4dY1lWllzX7mPBI3
40,Perfect,Ed Sheeran,37705,2019-01-11--2019-01-18,hk,0tgVpDi06FyKpA1z0VMD4v
41,在月台上等你,Janice Vidal,37304,2019-01-11--2019-01-18,hk,4apKcYGPasaBCwmEVvGB0k
42,說散就散,JC 陳詠桐,36988,2019-01-11--2019-01-18,hk,3CE1HoJJ0FVKo7JHsWIuvC
43,Trampoline,SHAED,36341,2019-01-11--2019-01-18,hk,0lsRatBUs9HNIZAmoGABzk
44,等你下課,Jay Chou,35723,2019-01-11--2019-01-18,hk,76WthWB0v0KXUHZoAclMVV
45,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,35120,2019-01-11--2019-01-18,hk,6mQLN3zRtAp6ovjusyYKrV
46,別𠱁我,JC 陳詠桐,35100,2019-01-11--2019-01-18,hk,6VeoA1vxx9dueepuakIbMr
47,Havana (feat. Young Thug),Camila Cabello,34740,2019-01-11--2019-01-18,hk,1rfofaqEpACxVEHIZBJe6W
48,Kiss and Make Up,Dua Lipa,34623,2019-01-11--2019-01-18,hk,13hvHEstJ4sNbzdroPrPI3
49,告白氣球,Jay Chou,34012,2019-01-11--2019-01-18,hk,1ivCIgrYZyE0BvItL4Z8lk
50,亂世情侶,Leo Ku,33980,2019-01-11--2019-01-18,hk,0n9AcvtAVZIhEfnZsBbELp
51,This Feeling,The Chainsmokers,33661,2019-01-11--2019-01-18,hk,4NBTZtAt1F13VvlSKe6KTl
52,SICKO MODE,Travis Scott,33498,2019-01-11--2019-01-18,hk,2xLMifQCjDGFmkHkpNLD9h
53,怎麼了,Eric Chou,33190,2019-01-11--2019-01-18,hk,2IAumRplFr0Ns09kKgt2je
54,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,32558,2019-01-11--2019-01-18,hk,27rdGxbavYJeBphck5MZAF
55,"但願人長久 - 劇集 ""跳躍生命線"" 插曲",HANA,31776,2019-01-11--2019-01-18,hk,1aJOV8dO0bxMZ7x7EGp3fX
56,Ruin My Life,Zara Larsson,31696,2019-01-11--2019-01-18,hk,5tAa8Uaqr4VvA3693mbIhU
57,when the party's over,Billie Eilish,31619,2019-01-11--2019-01-18,hk,14JzyD6FlBD5z0wV5P07YI
58,Beautiful (feat. Camila Cabello),Bazzi,31575,2019-01-11--2019-01-18,hk,4VUwkH455At9kENOfzTqmF
59,Be Alright,Dean Lewis,31455,2019-01-11--2019-01-18,hk,3EPXxR3ImUwfayaurPi3cm
60,Better,Khalid,31417,2019-01-11--2019-01-18,hk,6zeeWid2sgw4lap2jV61PZ
61,睡皇后,G.E.M.,31179,2019-01-11--2019-01-18,hk,3f7D4hlFcvAWCPilTOGJEy
62,Something Just Like This,The Chainsmokers,30685,2019-01-11--2019-01-18,hk,6RUKPb4LETWmmr3iAEQktW
63,後來的我們,Mayday,30305,2019-01-11--2019-01-18,hk,13AruKdh8wJhWx6i5dV8X1
64,缺,Hins Cheung,30153,2019-01-11--2019-01-18,hk,528HFTQqdaMOf31jDTgkGt
65,Giant (with Rag'n'Bone Man),Calvin Harris,30027,2019-01-11--2019-01-18,hk,5itOtNx0WxtJmi1TQ3RuRd
66,Darkside,Alan Walker,29893,2019-01-11--2019-01-18,hk,6SRWhUJcD2YKahCwHavz3X
67,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,29529,2019-01-11--2019-01-18,hk,2LskIZrCeLxRvCiGP8gxlh
68,Better Now,Post Malone,29509,2019-01-11--2019-01-18,hk,7dt6x5M1jzdTEt8oCbisTK
69,你瞞我瞞,Jason Chan,29162,2019-01-11--2019-01-18,hk,1eId3TVzGrwv73YAWAVQMX
70,天才兒童1985,Hins Cheung,28789,2019-01-11--2019-01-18,hk,0DhCquVtVtkXtImx1LoYSr
71,千年如一日,Sammi Cheng,28471,2019-01-11--2019-01-18,hk,7mkgfcip1n2inHYT0zCj03
72,2002,Anne-Marie,28373,2019-01-11--2019-01-18,hk,2BgEsaKNfHUdlh97KmvFyo
73,Gotta Go,CHUNG HA,28232,2019-01-11--2019-01-18,hk,0xq4ZTcmwBfkPGo4RRKmMe
