Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,77116,2019-01-11--2019-01-18,hn,5iwz1NiezX7WWjnCgY5TH4
2,Adan y Eva,Paulo Londra,57265,2019-01-11--2019-01-18,hn,6FyRXC8tJUh863JCkyWqtk
3,MIA (feat. Drake),Bad Bunny,54939,2019-01-11--2019-01-18,hn,116H0KvKr2Zl4RPuVBruDO
4,Solo de Mi,Bad Bunny,46715,2019-01-11--2019-01-18,hn,4uP3pUP18ennmz0tb3GphR
5,Ella Quiere Beber - Remix,Anuel AA,43896,2019-01-11--2019-01-18,hn,2cYnZNzFRFK0H7vSNxPsUq
6,Bubalu,Becky G,42942,2019-01-11--2019-01-18,hn,7dNwJbsT0sg1le5kVugGJb
7,Amanece,Anuel AA,42214,2019-01-11--2019-01-18,hn,1LiN0Z98FkR1t0m8KmLcAH
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,40173,2019-01-11--2019-01-18,hn,4w8niZpiMy6qz1mntFA5uM
9,Adictiva,Daddy Yankee,39383,2019-01-11--2019-01-18,hn,6MJUCumnQsQEKbCy28tbCP
10,Desconocidos,Mau y Ricky,35572,2019-01-11--2019-01-18,hn,0s5DNDV6LAKn2u2Ufa3VjQ
11,Ni Gucci Ni Prada,Kenny Man,33021,2019-01-11--2019-01-18,hn,32lexhcz93AinKK0qLTZaZ
12,Culpables,KAROL G,32256,2019-01-11--2019-01-18,hn,6q8Lb50EtqNeeJXXe8mMAH
13,NI BIEN NI MAL,Bad Bunny,31022,2019-01-11--2019-01-18,hn,278kSqsZIiYp8p3QjYAqa8
14,Cuando Te Besé,Becky G,29634,2019-01-11--2019-01-18,hn,2XXMDz7SPZ4mSFN1PXfHUy
15,Vaina Loca,Ozuna,29431,2019-01-11--2019-01-18,hn,48zFZh27QU5qsrBjn4C2FA
16,Otra Noche en Miami,Bad Bunny,25827,2019-01-11--2019-01-18,hn,4vCAzANUWDE24URV6wQ4ra
17,Quiere Beber,Anuel AA,24465,2019-01-11--2019-01-18,hn,3rPAD722s5FFNnwjC91t7Z
18,Reggaeton,J Balvin,23966,2019-01-11--2019-01-18,hn,2D3z17LBMJ2HEHeBFFjTLi
19,Créeme,KAROL G,23683,2019-01-11--2019-01-18,hn,1mT47pKLXUwPYGwB91GcNz
20,Mocca,Lalo Ebratt,23284,2019-01-11--2019-01-18,hn,0NKoPGc72yUKTIneVhFfg1
21,Imposible,Luis Fonsi,23269,2019-01-11--2019-01-18,hn,3ao3OVxHlb3C08vAaApUlm
22,Asesina - Remix,Brytiago,23230,2019-01-11--2019-01-18,hn,59PYgzOiOjGDzjDT5N5oOX
23,Secreto,Anuel AA,22597,2019-01-11--2019-01-18,hn,5W83ErFkO3aKAIS1WMi6u0
24,Si Estuviésemos Juntos,Bad Bunny,21786,2019-01-11--2019-01-18,hn,35wvL50xvKpCHEJPxLOLPI
25,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,21569,2019-01-11--2019-01-18,hn,3KkXRkHbMCARz0aVfEt68P
26,Te Vi,Piso 21,21504,2019-01-11--2019-01-18,hn,059bcIhyc2SBwm6sw2AZzd
27,"thank u, next",Ariana Grande,21348,2019-01-11--2019-01-18,hn,2rPE9A1vEgShuZxxzR2tZH
28,Hipócrita,Anuel AA,21220,2019-01-11--2019-01-18,hn,6XBjCetHKdO5L9cwMDVffw
29,Ya No Tiene Novio,Sebastian Yatra,21177,2019-01-11--2019-01-18,hn,7uQmJ1jgNzBpATSoWKSPFu
30,BEBE,6ix9ine,20695,2019-01-11--2019-01-18,hn,4KkUjFkcQvGvWekl8RATDn
31,Baila Baila Baila,Ozuna,20304,2019-01-11--2019-01-18,hn,7uH27oIt4a6cIFCA8ZPcyG
32,Te Boté - Remix,Nio Garcia,19645,2019-01-11--2019-01-18,hn,3V8UKqhEK5zBkBb6d6ub8i
33,Mala Mía,Maluma,19422,2019-01-11--2019-01-18,hn,62o8KoI44JfN7aYxgTnPvh
34,Estamos Bien,Bad Bunny,19217,2019-01-11--2019-01-18,hn,2OWVCFTolecLiGZPquvWvT
35,No Es Justo,J Balvin,19086,2019-01-11--2019-01-18,hn,5qFeMRz4TvetPmzjre9Dq7
36,La player (Bandolera),Zion & Lennox,19031,2019-01-11--2019-01-18,hn,0VKkyBKCXyR99navhVRqcP
37,PPP,Kevin Roldan,19025,2019-01-11--2019-01-18,hn,1DcxnVNFAyVl2sDQ646pXS
38,Amigos Con Derechos,Reik,18490,2019-01-11--2019-01-18,hn,2zDj4WjbNDmrRL6Z4YjjCA
39,Caro,Bad Bunny,17987,2019-01-11--2019-01-18,hn,6it15CsDlkqB7N4lF0C1qM
40,Sola,Manuel Turizo,17079,2019-01-11--2019-01-18,hn,675w3ACw5xZR3ODhUJlEVN
41,Subete,Lary Over,16938,2019-01-11--2019-01-18,hn,6CWMm2mJOrKyDH4W1X5d06
42,Puntos Suspensivos,Piso 21,16730,2019-01-11--2019-01-18,hn,04cd1MHVq1D8v1nuTZoCdv
43,Ibiza,Ozuna,16572,2019-01-11--2019-01-18,hn,1h9P5WJwyvK8OB7O2YiXgp
44,A Solas - Remix,Lunay,16316,2019-01-11--2019-01-18,hn,3T5QSIgoaPIh07SwixRDp7
