Position,Track Name,Artist,Streams,date,region,spotify_id
1,Wow.,Post Malone,69934,2019-01-11--2019-01-18,hu,6MWtB6iiXyIwun0YzU6DFP
2,Sweet but Psycho,Ava Max,65805,2019-01-11--2019-01-18,hu,25sgk305KZfyuqVBQIahim
3,Without Me,Halsey,65640,2019-01-11--2019-01-18,hu,5p7ujcrUXASCNwRaWNHR1C
4,High Hopes,Panic! At The Disco,64951,2019-01-11--2019-01-18,hu,1rqqCSm0Qe4I9rUvWncaom
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,55298,2019-01-11--2019-01-18,hu,3KkXRkHbMCARz0aVfEt68P
6,Shallow,Lady Gaga,53369,2019-01-11--2019-01-18,hu,2VxeLyX666F8uXCJ0dZF8B
7,In My Mind,Dynoro,53367,2019-01-11--2019-01-18,hu,0E9ZjEAyAwOXZ7wJC0PD33
8,"thank u, next",Ariana Grande,47148,2019-01-11--2019-01-18,hu,2rPE9A1vEgShuZxxzR2tZH
9,Lost in the Fire,Gesaffelstein,46244,2019-01-11--2019-01-18,hu,7wFybC8jBH3zE139OpCtpG
10,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,45034,2019-01-11--2019-01-18,hu,27rdGxbavYJeBphck5MZAF
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,44028,2019-01-11--2019-01-18,hu,4w8niZpiMy6qz1mntFA5uM
12,Dancing With A Stranger (with Normani),Sam Smith,43949,2019-01-11--2019-01-18,hu,6Qs4SXO9dwPj5GKvVOv8Ki
13,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,43917,2019-01-11--2019-01-18,hu,5JEx7HbmvHQQswJCsoo9rA
14,Nem Tudja Senki,Follow The Flow,42036,2019-01-11--2019-01-18,hu,0XlgY6Jrh51dY2Bfepj9hK
15,Meztelen,Majka,41772,2019-01-11--2019-01-18,hu,2dsbdPTyFRLJzJsgv8RISq
16,Happier,Marshmello,41338,2019-01-11--2019-01-18,hu,2dpaYNEQHiRxtZbfNsse99
17,Anyám Mondta,Follow The Flow,39537,2019-01-11--2019-01-18,hu,2G4Ke0bTohNdJk0RhpPX7h
18,Maradok Távol,Follow The Flow,38899,2019-01-11--2019-01-18,hu,6rp8bq0lhkIosumUPlTFfB
19,when the party's over,Billie Eilish,38801,2019-01-11--2019-01-18,hu,14JzyD6FlBD5z0wV5P07YI
20,Solo (feat. Demi Lovato),Clean Bandit,38645,2019-01-11--2019-01-18,hu,3NuK5xMlSlB6K2Qp16zf3h
21,Youngblood,5 Seconds of Summer,34354,2019-01-11--2019-01-18,hu,2iUXsYOEPhVqEBwsqP70rE
22,Better Now,Post Malone,34112,2019-01-11--2019-01-18,hu,7dt6x5M1jzdTEt8oCbisTK
23,Natural,Imagine Dragons,34078,2019-01-11--2019-01-18,hu,2FY7b99s15jUprqC0M5NCT
24,Bohemian Rhapsody - Remastered 2011,Queen,33759,2019-01-11--2019-01-18,hu,7tFiyTwD0nx5a1eklYtX2J
25,Hope,The Chainsmokers,33704,2019-01-11--2019-01-18,hu,4BiiOzZCrXEzHRLYcYFiD5
26,Eastside (with Halsey & Khalid),benny blanco,33652,2019-01-11--2019-01-18,hu,7FGq80cy8juXBCD2nrqdWU
27,Say My Name,David Guetta,33624,2019-01-11--2019-01-18,hu,0YammaEkYSeo9vQYZ1OwS6
28,Füttyös,Majka,33560,2019-01-11--2019-01-18,hu,6bsERSsjVL4Cpt0e2t77Vx
29,Going Bad (feat. Drake),Meek Mill,33481,2019-01-11--2019-01-18,hu,2IRZnDFmlqMuOrYOLnZZyc
30,Rise,Jonas Blue,32984,2019-01-11--2019-01-18,hu,3KLygy1YWhmrQx0GRs7IOx
31,Promises (with Sam Smith),Calvin Harris,32643,2019-01-11--2019-01-18,hu,5N5k9nd479b1xpDZ4usjrg
32,Look Back at It,A Boogie Wit da Hoodie,32275,2019-01-11--2019-01-18,hu,3Ol2xnObFdKV9pmRD2t9x8
33,ZEZE (feat. Travis Scott & Offset),Kodak Black,32046,2019-01-11--2019-01-18,hu,0FZ4Dmg8jJJAPJnvBIzD9z
34,Megöl,Misshmusic,31677,2019-01-11--2019-01-18,hu,4VHWDEnJOWXHqgBhQcgcPW
35,Saturday Nights,Khalid,30396,2019-01-11--2019-01-18,hu,5kfNriitmkNE8mUbZ7gbq8
36,Giant (with Rag'n'Bone Man),Calvin Harris,29979,2019-01-11--2019-01-18,hu,5itOtNx0WxtJmi1TQ3RuRd
37,SICKO MODE,Travis Scott,29462,2019-01-11--2019-01-18,hu,2xLMifQCjDGFmkHkpNLD9h
38,rockstar (feat. 21 Savage),Post Malone,29399,2019-01-11--2019-01-18,hu,0e7ipj03S05BNilyu5bRzt
39,REMEDY,Alesso,29113,2019-01-11--2019-01-18,hu,6jreFSOTUAViWjKyzOC4Kg
40,Let You Love Me,Rita Ora,29091,2019-01-11--2019-01-18,hu,5Fla3zyOCcIRqrDoKLU0DP
41,Girls Like You (feat. Cardi B),Maroon 5,28510,2019-01-11--2019-01-18,hu,7fa9MBXhVfQ8P8Df9OEbD8
42,Be Alright,Dean Lewis,27691,2019-01-11--2019-01-18,hu,3EPXxR3ImUwfayaurPi3cm
43,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,27611,2019-01-11--2019-01-18,hu,2LskIZrCeLxRvCiGP8gxlh
44,Kiss and Make Up,Dua Lipa,27500,2019-01-11--2019-01-18,hu,13hvHEstJ4sNbzdroPrPI3
45,Bad Liar,Imagine Dragons,27133,2019-01-11--2019-01-18,hu,2RSHsoi04658QL5xgQVov3
46,lovely,Billie Eilish,26842,2019-01-11--2019-01-18,hu,1NJcg626wLln4pGHpiV7mf
47,Believer,Imagine Dragons,26684,2019-01-11--2019-01-18,hu,0pqnGHJpmpxLKifKRmU6WP
48,Pesetas,Rilès,26285,2019-01-11--2019-01-18,hu,0Ei1aBiIELwXmUcIZDETOi
49,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,26155,2019-01-11--2019-01-18,hu,1KVczjazCcCCgM3gXXUl47
50,Another One Bites The Dust - Remastered 2011,Queen,25455,2019-01-11--2019-01-18,hu,5vdp5UmvTsnMEMESIF2Ym7
51,Posztolj,USNK,25243,2019-01-11--2019-01-18,hu,5LRnTgBR4JTYvzv0oum9yB
52,Nevermind,Dennis Lloyd,23863,2019-01-11--2019-01-18,hu,63SevszngYpZOwf63o61K4
