Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,4752650,2019-01-11--2019-01-18,mx,5iwz1NiezX7WWjnCgY5TH4
2,Adan y Eva,Paulo Londra,3508947,2019-01-11--2019-01-18,mx,6FyRXC8tJUh863JCkyWqtk
3,MIA (feat. Drake),Bad Bunny,2631034,2019-01-11--2019-01-18,mx,116H0KvKr2Zl4RPuVBruDO
4,Desconocidos,Mau y Ricky,2556096,2019-01-11--2019-01-18,mx,0s5DNDV6LAKn2u2Ufa3VjQ
5,Ella Quiere Beber - Remix,Anuel AA,2547292,2019-01-11--2019-01-18,mx,2cYnZNzFRFK0H7vSNxPsUq
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2429055,2019-01-11--2019-01-18,mx,4w8niZpiMy6qz1mntFA5uM
7,Baby Girl (feat. Lalo Ebratt),Mario Bautista,2202753,2019-01-11--2019-01-18,mx,6o8ogTrSX8H0F66Pdz3Tsc
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1880770,2019-01-11--2019-01-18,mx,3KkXRkHbMCARz0aVfEt68P
9,No Te Contaron Mal,Christian Nodal,1759642,2019-01-11--2019-01-18,mx,1LO951RWD10l9Vys0NrFty
10,Amigos Con Derechos,Reik,1712531,2019-01-11--2019-01-18,mx,2zDj4WjbNDmrRL6Z4YjjCA
11,A Través Del Vaso,Grupo Arranke,1675528,2019-01-11--2019-01-18,mx,0oCSitNlzsQfuIapF9tXRQ
12,Sola,Manuel Turizo,1572340,2019-01-11--2019-01-18,mx,675w3ACw5xZR3ODhUJlEVN
13,Cuando Te Besé,Becky G,1556835,2019-01-11--2019-01-18,mx,2XXMDz7SPZ4mSFN1PXfHUy
14,Te Vi,Piso 21,1546153,2019-01-11--2019-01-18,mx,059bcIhyc2SBwm6sw2AZzd
15,Vaina Loca,Ozuna,1531892,2019-01-11--2019-01-18,mx,48zFZh27QU5qsrBjn4C2FA
16,Ya No Tiene Novio,Sebastian Yatra,1487531,2019-01-11--2019-01-18,mx,7uQmJ1jgNzBpATSoWKSPFu
17,Adictiva,Daddy Yankee,1479307,2019-01-11--2019-01-18,mx,6MJUCumnQsQEKbCy28tbCP
18,"thank u, next",Ariana Grande,1477793,2019-01-11--2019-01-18,mx,2rPE9A1vEgShuZxxzR2tZH
19,Imposible,Luis Fonsi,1427233,2019-01-11--2019-01-18,mx,3ao3OVxHlb3C08vAaApUlm
20,Puntos Suspensivos,Piso 21,1404520,2019-01-11--2019-01-18,mx,04cd1MHVq1D8v1nuTZoCdv
21,In My Mind,Dynoro,1401327,2019-01-11--2019-01-18,mx,0E9ZjEAyAwOXZ7wJC0PD33
22,Bubalu,Becky G,1389769,2019-01-11--2019-01-18,mx,7dNwJbsT0sg1le5kVugGJb
23,BEBE,6ix9ine,1335807,2019-01-11--2019-01-18,mx,4KkUjFkcQvGvWekl8RATDn
24,Rucón,Aleman,1324896,2019-01-11--2019-01-18,mx,6TDtGJSk3MDTnM6nTDu5Zu
25,Reggaeton,J Balvin,1316172,2019-01-11--2019-01-18,mx,2D3z17LBMJ2HEHeBFFjTLi
26,Solo de Mi,Bad Bunny,1260888,2019-01-11--2019-01-18,mx,4uP3pUP18ennmz0tb3GphR
27,Ponle,Rvssian,1252544,2019-01-11--2019-01-18,mx,28O1p0bQXH2F6Qn8jBZZR4
28,Happier,Marshmello,1240903,2019-01-11--2019-01-18,mx,2dpaYNEQHiRxtZbfNsse99
