Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,121584,2019-01-11--2019-01-18,pa,5iwz1NiezX7WWjnCgY5TH4
2,Lollipop,Boza,104634,2019-01-11--2019-01-18,pa,4AFdUHHDslEOgQOzGjIJwJ
3,Adan y Eva,Paulo Londra,95281,2019-01-11--2019-01-18,pa,6FyRXC8tJUh863JCkyWqtk
4,MIA (feat. Drake),Bad Bunny,87000,2019-01-11--2019-01-18,pa,116H0KvKr2Zl4RPuVBruDO
5,Ella Quiere Beber - Remix,Anuel AA,80198,2019-01-11--2019-01-18,pa,2cYnZNzFRFK0H7vSNxPsUq
6,Adictiva,Daddy Yankee,76830,2019-01-11--2019-01-18,pa,6MJUCumnQsQEKbCy28tbCP
7,Solo de Mi,Bad Bunny,73307,2019-01-11--2019-01-18,pa,4uP3pUP18ennmz0tb3GphR
8,Amanece,Anuel AA,72928,2019-01-11--2019-01-18,pa,1LiN0Z98FkR1t0m8KmLcAH
9,Me Gustaría,Justin Quiles,72762,2019-01-11--2019-01-18,pa,2EH0nzeRDSiYpjqBfHnX9r
10,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,71487,2019-01-11--2019-01-18,pa,4w8niZpiMy6qz1mntFA5uM
11,Bubalu,Becky G,68474,2019-01-11--2019-01-18,pa,7dNwJbsT0sg1le5kVugGJb
12,Desconocidos,Mau y Ricky,65513,2019-01-11--2019-01-18,pa,0s5DNDV6LAKn2u2Ufa3VjQ
13,Secreto,Anuel AA,61470,2019-01-11--2019-01-18,pa,5W83ErFkO3aKAIS1WMi6u0
14,Baila Baila Baila,Ozuna,60329,2019-01-11--2019-01-18,pa,7uH27oIt4a6cIFCA8ZPcyG
15,Culpables,KAROL G,58915,2019-01-11--2019-01-18,pa,6q8Lb50EtqNeeJXXe8mMAH
16,Vaina Loca,Ozuna,57330,2019-01-11--2019-01-18,pa,48zFZh27QU5qsrBjn4C2FA
17,Créeme,KAROL G,53883,2019-01-11--2019-01-18,pa,1mT47pKLXUwPYGwB91GcNz
18,Imposible,Luis Fonsi,53675,2019-01-11--2019-01-18,pa,3ao3OVxHlb3C08vAaApUlm
19,Ibiza,Ozuna,51113,2019-01-11--2019-01-18,pa,1h9P5WJwyvK8OB7O2YiXgp
20,NI BIEN NI MAL,Bad Bunny,49999,2019-01-11--2019-01-18,pa,278kSqsZIiYp8p3QjYAqa8
