Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,1019621,2019-01-11--2019-01-18,pe,5iwz1NiezX7WWjnCgY5TH4
2,Adan y Eva,Paulo Londra,947773,2019-01-11--2019-01-18,pe,6FyRXC8tJUh863JCkyWqtk
3,Desconocidos,Mau y Ricky,809935,2019-01-11--2019-01-18,pe,0s5DNDV6LAKn2u2Ufa3VjQ
4,Ella Quiere Beber - Remix,Anuel AA,720469,2019-01-11--2019-01-18,pe,2cYnZNzFRFK0H7vSNxPsUq
5,Amanece,Anuel AA,706689,2019-01-11--2019-01-18,pe,1LiN0Z98FkR1t0m8KmLcAH
6,MIA (feat. Drake),Bad Bunny,689249,2019-01-11--2019-01-18,pe,116H0KvKr2Zl4RPuVBruDO
7,Adictiva,Daddy Yankee,655404,2019-01-11--2019-01-18,pe,6MJUCumnQsQEKbCy28tbCP
8,Bubalu,Becky G,622848,2019-01-11--2019-01-18,pe,7dNwJbsT0sg1le5kVugGJb
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,580807,2019-01-11--2019-01-18,pe,4w8niZpiMy6qz1mntFA5uM
10,Cuando Te Besé,Becky G,564421,2019-01-11--2019-01-18,pe,2XXMDz7SPZ4mSFN1PXfHUy
11,Créeme,KAROL G,563405,2019-01-11--2019-01-18,pe,1mT47pKLXUwPYGwB91GcNz
12,Reggaeton,J Balvin,525530,2019-01-11--2019-01-18,pe,2D3z17LBMJ2HEHeBFFjTLi
13,Te Vi,Piso 21,523634,2019-01-11--2019-01-18,pe,059bcIhyc2SBwm6sw2AZzd
14,Imposible,Luis Fonsi,497651,2019-01-11--2019-01-18,pe,3ao3OVxHlb3C08vAaApUlm
15,Culpables,KAROL G,491093,2019-01-11--2019-01-18,pe,6q8Lb50EtqNeeJXXe8mMAH
16,Amigos Con Derechos,Reik,453671,2019-01-11--2019-01-18,pe,2zDj4WjbNDmrRL6Z4YjjCA
17,Vaina Loca,Ozuna,451229,2019-01-11--2019-01-18,pe,48zFZh27QU5qsrBjn4C2FA
18,Ya No Tiene Novio,Sebastian Yatra,450375,2019-01-11--2019-01-18,pe,7uQmJ1jgNzBpATSoWKSPFu
19,Adiós Amor,Daniela Darcourt,389747,2019-01-11--2019-01-18,pe,2ozv99MuHIaE4DZIzAr59q
20,Mala Mía,Maluma,363049,2019-01-11--2019-01-18,pe,62o8KoI44JfN7aYxgTnPvh
21,Asesina - Remix,Brytiago,362820,2019-01-11--2019-01-18,pe,59PYgzOiOjGDzjDT5N5oOX
22,Puntos Suspensivos,Piso 21,343100,2019-01-11--2019-01-18,pe,04cd1MHVq1D8v1nuTZoCdv
23,Solo de Mi,Bad Bunny,330463,2019-01-11--2019-01-18,pe,4uP3pUP18ennmz0tb3GphR
24,PPP,Kevin Roldan,315649,2019-01-11--2019-01-18,pe,1DcxnVNFAyVl2sDQ646pXS
25,BEBE,6ix9ine,310543,2019-01-11--2019-01-18,pe,4KkUjFkcQvGvWekl8RATDn
26,Por Perro,Sebastian Yatra,298922,2019-01-11--2019-01-18,pe,2alIsNw1mqEShbWyO1HXZZ
27,No Es Justo,J Balvin,295489,2019-01-11--2019-01-18,pe,5qFeMRz4TvetPmzjre9Dq7
28,Hipócrita,Anuel AA,292277,2019-01-11--2019-01-18,pe,6XBjCetHKdO5L9cwMDVffw
29,Secreto,Anuel AA,283819,2019-01-11--2019-01-18,pe,5W83ErFkO3aKAIS1WMi6u0
30,Ibiza,Ozuna,283231,2019-01-11--2019-01-18,pe,1h9P5WJwyvK8OB7O2YiXgp
31,Te Boté - Remix,Nio Garcia,282960,2019-01-11--2019-01-18,pe,3V8UKqhEK5zBkBb6d6ub8i
32,Quiere Beber,Anuel AA,274531,2019-01-11--2019-01-18,pe,3rPAD722s5FFNnwjC91t7Z
33,Sola,Manuel Turizo,274064,2019-01-11--2019-01-18,pe,675w3ACw5xZR3ODhUJlEVN
34,La player (Bandolera),Zion & Lennox,240330,2019-01-11--2019-01-18,pe,0VKkyBKCXyR99navhVRqcP
35,Sin Pijama,Becky G,234107,2019-01-11--2019-01-18,pe,2ijef6ni2amuunRoKTlgww
36,Duro y Suave,Leslie Grace,234035,2019-01-11--2019-01-18,pe,31M5m42C3EGlbydf9XB5to
37,Déjalo,Nacho,232107,2019-01-11--2019-01-18,pe,4VTTpwcAxVSQNzEZLi75d0
38,Chica Paranormal,Paulo Londra,231139,2019-01-11--2019-01-18,pe,7zAGi1cps7yYhAajGXlFTH
39,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,228291,2019-01-11--2019-01-18,pe,1j6xOGusnyXq3l6IryKF3G
