Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,291153,2020-01-10--2020-01-17,bo,7k4t7uLgtOxPwTpFmtJNTY
2,Dance Monkey,Tones And I,143994,2020-01-10--2020-01-17,bo,1rgnBhdG2JDFTbYkYRZAku
3,Sigues Con El,Dímelo Flow,120862,2020-01-10--2020-01-17,bo,7sQKy5vlPQllr0k9IjYJv3
4,Fantasias,Rauw Alejandro,118369,2020-01-10--2020-01-17,bo,6mAN61JH0dzyZpWslS11jy
5,Hola - Remix,Dalex,100245,2020-01-10--2020-01-17,bo,5stPVcRqb4qixbafP9e8lt
6,Pa' Olvidarme De Ella,Piso 21,100040,2020-01-10--2020-01-17,bo,1cVlW9WQiGlFdWUXFdFZGh
7,Vete,Bad Bunny,99344,2020-01-10--2020-01-17,bo,5DxXgozhkPLgrbKFY91w0c
8,RITMO (Bad Boys For Life),Black Eyed Peas,94190,2020-01-10--2020-01-17,bo,6cy3ki60hLwimwIje7tALf
9,China,Anuel AA,88882,2020-01-10--2020-01-17,bo,2ksOAxtIxY8yElEWw8RhgK
10,LA CANCIÓN,J Balvin,80503,2020-01-10--2020-01-17,bo,0fea68AdmYNygeTGI4RC18
11,Whine Up,Nicky Jam,78383,2020-01-10--2020-01-17,bo,2pWOMNQJW3g2zmGjP0Vkb0
12,No Me Conoce - Remix,Jhay Cortez,69873,2020-01-10--2020-01-17,bo,4R8BJggjosTswLxtkw8V7P
13,Callaita,Bad Bunny,64786,2020-01-10--2020-01-17,bo,2TH65lNHgvLxCKXM3apjxI
14,Bellaquita - Remix,Dalex,63841,2020-01-10--2020-01-17,bo,1Xnn1TPyr5h0hpRAT4B4EA
15,Adicto (with Anuel AA & Ozuna),Tainy,61678,2020-01-10--2020-01-17,bo,3jbT1Y5MoPwEIpZndDDwVq
16,Morado,J Balvin,61539,2020-01-10--2020-01-17,bo,3mQ6SLdxxaL52Yte7KF2Ks
17,Si Te Vas,Sech,60416,2020-01-10--2020-01-17,bo,6Y4PDQv4XjYjHLeLmvyOt0
18,Detente,Mike Bahía,58433,2020-01-10--2020-01-17,bo,0x1k6gSTSxaLxe0F2IThaX
19,Tutu,Camilo,57493,2020-01-10--2020-01-17,bo,1nocRtwyNPVtGcIJqfgdzZ
20,Que Tire Pa Lante,Daddy Yankee,56920,2020-01-10--2020-01-17,bo,6RyaV7owmVU6fzEPE17sF1
21,La Difícil,Camilo,55937,2020-01-10--2020-01-17,bo,0PaNKfwdqHjmW7hVEQ0lbu
22,Señorita,Shawn Mendes,54972,2020-01-10--2020-01-17,bo,6v3KW9xbzN5yKLt9YKDYA2
23,Muévelo,Nicky Jam,54520,2020-01-10--2020-01-17,bo,4VgYtXCVJ7IbWAZ5ryfvEQ
24,Soltera - Remix,Lunay,54371,2020-01-10--2020-01-17,bo,4t9a07PAghtQMRAIP9FQ7Z
25,Indeciso,Reik,54233,2020-01-10--2020-01-17,bo,59s0s39NFWScuHDbHytI14
26,Yummy,Justin Bieber,53274,2020-01-10--2020-01-17,bo,41L3O37CECZt3N7ziG2z7l
27,Aventura,Lunay,51981,2020-01-10--2020-01-17,bo,37zdqI4r1gswIzczSBkRon
28,11 PM,Maluma,51785,2020-01-10--2020-01-17,bo,7KbF6AdprOXEEHlsq11Z6d
29,Desconocidos,Mau y Ricky,50397,2020-01-10--2020-01-17,bo,56f5qnyAlZdlz8wrUDA50h
30,Blanco,J Balvin,49999,2020-01-10--2020-01-17,bo,2rc7BkzO8qepMFAxHtOrXc
31,Quizas,Rich Music LTD,49534,2020-01-10--2020-01-17,bo,5Id5B3dxJZhPcV9GzgYZZe
32,Pa Mí - Remix,Dalex,48559,2020-01-10--2020-01-17,bo,7g8YaUQABMal0zWe7a2ijz
33,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,45981,2020-01-10--2020-01-17,bo,1ndyl3wJCFs872XZ3ztPk6
34,Te Vi,Piso 21,45737,2020-01-10--2020-01-17,bo,059bcIhyc2SBwm6sw2AZzd
35,QUE PRETENDES,J Balvin,44090,2020-01-10--2020-01-17,bo,25ZAibhr3bdlMCLmubZDVt
36,Perreo en La Luna,Rich Music LTD,44072,2020-01-10--2020-01-17,bo,0RDgqtvOHLwcI6yz9bjsZV
37,Otro Trago - Remix,Sech,42433,2020-01-10--2020-01-17,bo,4bTZeO72FwMa6wKOiqoynL
38,La Playa - Remix,Myke Towers,41032,2020-01-10--2020-01-17,bo,70zg99pT51vB4wlMS7e4q7
39,Con Altura,ROSALÍA,40360,2020-01-10--2020-01-17,bo,2qG5sZ7Si6sdK74qLxedYM
40,Que Mas Pues - Remix,Sech,40248,2020-01-10--2020-01-17,bo,7fODjB7BrQTGqh0hogW6XD
41,Qué Pena,Maluma,40175,2020-01-10--2020-01-17,bo,5099x34vBakWpGkHourFxP
42,Don't Start Now,Dua Lipa,39747,2020-01-10--2020-01-17,bo,6WrI0LAC5M1Rw2MnX2ZvEg
