position,track name,artist,streams,region,date,spotify_id
1,Dance Monkey,Tones And I,377470,2020-01-17--2020-01-24,ch,1rgnBhdG2JDFTbYkYRZAku
2,Kein Wort,Juju,338694,2020-01-17--2020-01-24,ch,1hoLUVBx0ixX3kn0EX0P5n
3,Godzilla (feat. Juice WRLD),Eminem,306960,2020-01-17--2020-01-24,ch,7FIWs0pqAYbP91WWM0vlTQ
4,The Box,Roddy Ricch,295999,2020-01-17--2020-01-24,ch,0nbXyq5TXYPCO7pr3N8S4I
5,Big Drip,Ufo361,273015,2020-01-17--2020-01-24,ch,4qOesAYiMiMFiZrn2wfkl6
6,Life Is Good (feat. Drake),Future,254075,2020-01-17--2020-01-24,ch,5yY9lUy8nbvjM1Uyo1Uqoc
7,Blinding Lights,The Weeknd,249326,2020-01-17--2020-01-24,ch,0sf12qNH5qcw8qpgymFOqD
8,Blanche,Maes,223827,2020-01-17--2020-01-24,ch,5GyyPRvEwdI4wJSUbzxHQv
9,Roller,Apache 207,201648,2020-01-17--2020-01-24,ch,6hw1Sy9wZ8UCxYGdpKrU6M
10,Falling,Trevor Daniel,184246,2020-01-17--2020-01-24,ch,4TnjEaWOeW0eKTKIEvJyCa
11,Yummy,Justin Bieber,177472,2020-01-17--2020-01-24,ch,41L3O37CECZt3N7ziG2z7l
12,ROXANNE,Arizona Zervas,177206,2020-01-17--2020-01-24,ch,696DnlkuDOXcMAnKlTgXXK
13,Dybala,Maes,169604,2020-01-17--2020-01-24,ch,4Nfak8iMF4kQfQ6Pa8Z79m
14,Memories,Maroon 5,165413,2020-01-17--2020-01-24,ch,2b8fOow8UzyDFAE27YhOZM
15,Ride It,Regard,162948,2020-01-17--2020-01-24,ch,2tnVG71enUj33Ic2nFN6kZ
16,Darkness,Eminem,161942,2020-01-17--2020-01-24,ch,5SiZJoLXp3WOl3J4C8IK0d
17,Don't Start Now,Dua Lipa,161007,2020-01-17--2020-01-24,ch,6WrI0LAC5M1Rw2MnX2ZvEg
18,Distant,Maes,157672,2020-01-17--2020-01-24,ch,1Sb7QJRawbARgpMqyYNMkT
19,everything i wanted,Billie Eilish,156618,2020-01-17--2020-01-24,ch,3ZCTVFBt2Brf31RLEnCkWJ
20,Someone You Loved,Lewis Capaldi,149881,2020-01-17--2020-01-24,ch,7qEHsqek33rTcFNT9PFqLf
21,RITMO (Bad Boys For Life),Black Eyed Peas,147990,2020-01-17--2020-01-24,ch,6cy3ki60hLwimwIje7tALf
22,Ayy Macarena,Tyga,144712,2020-01-17--2020-01-24,ch,6LcauUZjF1eXQrgqMUecHX
23,Dans l'espace (feat. Heuss l'EnfoirÃ©),Gambi,141307,2020-01-17--2020-01-24,ch,2KAkkba3PaYFegfmYpUITv
24,"You Gonâ€™ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,139228,2020-01-17--2020-01-24,ch,0GQ5bFTVFFKpwNPc7KwQnB
