Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,454476,2020-01-10--2020-01-17,cr,7k4t7uLgtOxPwTpFmtJNTY
2,Dance Monkey,Tones And I,265114,2020-01-10--2020-01-17,cr,1rgnBhdG2JDFTbYkYRZAku
3,Fantasias,Rauw Alejandro,215907,2020-01-10--2020-01-17,cr,6mAN61JH0dzyZpWslS11jy
4,Sigues Con El,Dímelo Flow,185193,2020-01-10--2020-01-17,cr,7sQKy5vlPQllr0k9IjYJv3
5,RITMO (Bad Boys For Life),Black Eyed Peas,176818,2020-01-10--2020-01-17,cr,6cy3ki60hLwimwIje7tALf
6,Vete,Bad Bunny,167764,2020-01-10--2020-01-17,cr,5DxXgozhkPLgrbKFY91w0c
7,China,Anuel AA,155828,2020-01-10--2020-01-17,cr,2ksOAxtIxY8yElEWw8RhgK
8,Hola - Remix,Dalex,140812,2020-01-10--2020-01-17,cr,5stPVcRqb4qixbafP9e8lt
9,Pa' Olvidarme De Ella,Piso 21,139295,2020-01-10--2020-01-17,cr,1cVlW9WQiGlFdWUXFdFZGh
10,LA CANCIÓN,J Balvin,137572,2020-01-10--2020-01-17,cr,0fea68AdmYNygeTGI4RC18
11,Que Tire Pa Lante,Daddy Yankee,135779,2020-01-10--2020-01-17,cr,6RyaV7owmVU6fzEPE17sF1
12,Whine Up,Nicky Jam,134848,2020-01-10--2020-01-17,cr,2pWOMNQJW3g2zmGjP0Vkb0
13,No Me Conoce - Remix,Jhay Cortez,125618,2020-01-10--2020-01-17,cr,4R8BJggjosTswLxtkw8V7P
14,Si Te Vas,Sech,124187,2020-01-10--2020-01-17,cr,6Y4PDQv4XjYjHLeLmvyOt0
15,Bellaquita,Dalex,118716,2020-01-10--2020-01-17,cr,1tpbAGsGpZee5jDHMcLrUJ
16,Callaita,Bad Bunny,118255,2020-01-10--2020-01-17,cr,2TH65lNHgvLxCKXM3apjxI
17,Adicto (with Anuel AA & Ozuna),Tainy,109966,2020-01-10--2020-01-17,cr,3jbT1Y5MoPwEIpZndDDwVq
18,Quizas,Rich Music LTD,108194,2020-01-10--2020-01-17,cr,5Id5B3dxJZhPcV9GzgYZZe
19,Morado,J Balvin,104523,2020-01-10--2020-01-17,cr,3mQ6SLdxxaL52Yte7KF2Ks
20,Yummy,Justin Bieber,103114,2020-01-10--2020-01-17,cr,41L3O37CECZt3N7ziG2z7l
21,Blanco,J Balvin,102578,2020-01-10--2020-01-17,cr,2rc7BkzO8qepMFAxHtOrXc
22,Indeciso,Reik,96406,2020-01-10--2020-01-17,cr,59s0s39NFWScuHDbHytI14
23,Bellaquita - Remix,Dalex,95537,2020-01-10--2020-01-17,cr,1Xnn1TPyr5h0hpRAT4B4EA
24,Loco,Beéle,95160,2020-01-10--2020-01-17,cr,2J9B63FawlTaPdg4eH5X03
25,Tutu,Camilo,90714,2020-01-10--2020-01-17,cr,1nocRtwyNPVtGcIJqfgdzZ
26,Pa Mí - Remix,Dalex,90024,2020-01-10--2020-01-17,cr,7g8YaUQABMal0zWe7a2ijz
27,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,89809,2020-01-10--2020-01-17,cr,1ndyl3wJCFs872XZ3ztPk6
28,Soltera - Remix,Lunay,86852,2020-01-10--2020-01-17,cr,4t9a07PAghtQMRAIP9FQ7Z
