Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,603976,2020-01-10--2020-01-17,ec,7k4t7uLgtOxPwTpFmtJNTY
2,Dance Monkey,Tones And I,337407,2020-01-10--2020-01-17,ec,1rgnBhdG2JDFTbYkYRZAku
3,Sigues Con El,Dímelo Flow,328424,2020-01-10--2020-01-17,ec,7sQKy5vlPQllr0k9IjYJv3
4,Fantasias,Rauw Alejandro,271078,2020-01-10--2020-01-17,ec,6mAN61JH0dzyZpWslS11jy
5,Vete,Bad Bunny,235809,2020-01-10--2020-01-17,ec,5DxXgozhkPLgrbKFY91w0c
6,Hola - Remix,Dalex,233443,2020-01-10--2020-01-17,ec,5stPVcRqb4qixbafP9e8lt
7,RITMO (Bad Boys For Life),Black Eyed Peas,210546,2020-01-10--2020-01-17,ec,6cy3ki60hLwimwIje7tALf
8,Morado,J Balvin,205578,2020-01-10--2020-01-17,ec,3mQ6SLdxxaL52Yte7KF2Ks
9,Blanco,J Balvin,187226,2020-01-10--2020-01-17,ec,2rc7BkzO8qepMFAxHtOrXc
10,Detente,Mike Bahía,186382,2020-01-10--2020-01-17,ec,0x1k6gSTSxaLxe0F2IThaX
11,China,Anuel AA,185778,2020-01-10--2020-01-17,ec,2ksOAxtIxY8yElEWw8RhgK
12,No Me Conoce - Remix,Jhay Cortez,172418,2020-01-10--2020-01-17,ec,4R8BJggjosTswLxtkw8V7P
13,LA CANCIÓN,J Balvin,171973,2020-01-10--2020-01-17,ec,0fea68AdmYNygeTGI4RC18
14,Whine Up,Nicky Jam,168842,2020-01-10--2020-01-17,ec,2pWOMNQJW3g2zmGjP0Vkb0
15,Callaita,Bad Bunny,157164,2020-01-10--2020-01-17,ec,2TH65lNHgvLxCKXM3apjxI
16,Bellaquita - Remix,Dalex,144702,2020-01-10--2020-01-17,ec,1Xnn1TPyr5h0hpRAT4B4EA
17,Muévelo,Nicky Jam,144330,2020-01-10--2020-01-17,ec,4VgYtXCVJ7IbWAZ5ryfvEQ
18,Indeciso,Reik,142394,2020-01-10--2020-01-17,ec,59s0s39NFWScuHDbHytI14
19,Adicto (with Anuel AA & Ozuna),Tainy,141404,2020-01-10--2020-01-17,ec,3jbT1Y5MoPwEIpZndDDwVq
20,Infeliz,Arcangel,141374,2020-01-10--2020-01-17,ec,4z6wo6PJG4Fve45OXK6D9m
21,Quizas,Rich Music LTD,136915,2020-01-10--2020-01-17,ec,5Id5B3dxJZhPcV9GzgYZZe
22,Si Te Vas,Sech,128770,2020-01-10--2020-01-17,ec,6Y4PDQv4XjYjHLeLmvyOt0
23,QUE PRETENDES,J Balvin,128112,2020-01-10--2020-01-17,ec,25ZAibhr3bdlMCLmubZDVt
24,Que Tire Pa Lante,Daddy Yankee,127631,2020-01-10--2020-01-17,ec,6RyaV7owmVU6fzEPE17sF1
25,La Difícil,Camilo,124736,2020-01-10--2020-01-17,ec,0PaNKfwdqHjmW7hVEQ0lbu
26,Tutu,Camilo,120475,2020-01-10--2020-01-17,ec,1nocRtwyNPVtGcIJqfgdzZ
27,Aventura,Lunay,119469,2020-01-10--2020-01-17,ec,37zdqI4r1gswIzczSBkRon
28,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,117934,2020-01-10--2020-01-17,ec,1ndyl3wJCFs872XZ3ztPk6
29,Perreo en La Luna,Rich Music LTD,112022,2020-01-10--2020-01-17,ec,0RDgqtvOHLwcI6yz9bjsZV
30,Soltera - Remix,Lunay,110381,2020-01-10--2020-01-17,ec,4t9a07PAghtQMRAIP9FQ7Z
31,Yummy,Justin Bieber,109028,2020-01-10--2020-01-17,ec,41L3O37CECZt3N7ziG2z7l
32,Pa' Olvidarme De Ella,Piso 21,104464,2020-01-10--2020-01-17,ec,1cVlW9WQiGlFdWUXFdFZGh
33,Don't Start Now,Dua Lipa,101813,2020-01-10--2020-01-17,ec,6WrI0LAC5M1Rw2MnX2ZvEg
34,"Yo x Ti, Tu x Mi",ROSALÍA,101314,2020-01-10--2020-01-17,ec,7BlBVFwvbWvcwNcUarQmjk
35,Desconocidos,Mau y Ricky,99010,2020-01-10--2020-01-17,ec,56f5qnyAlZdlz8wrUDA50h
36,Señorita,Shawn Mendes,98668,2020-01-10--2020-01-17,ec,6v3KW9xbzN5yKLt9YKDYA2
37,11 PM,Maluma,97410,2020-01-10--2020-01-17,ec,7KbF6AdprOXEEHlsq11Z6d
38,Una Vida Para Recordar,Piso 21,93930,2020-01-10--2020-01-17,ec,7pxL0DzPpCjjcdfQccvnus
39,Pa Mí - Remix,Dalex,93402,2020-01-10--2020-01-17,ec,7g8YaUQABMal0zWe7a2ijz
40,La Playa - Remix,Myke Towers,93262,2020-01-10--2020-01-17,ec,70zg99pT51vB4wlMS7e4q7
41,Qué Pena,Maluma,90795,2020-01-10--2020-01-17,ec,5099x34vBakWpGkHourFxP
42,Con Altura,ROSALÍA,89957,2020-01-10--2020-01-17,ec,2qG5sZ7Si6sdK74qLxedYM
43,Destino,Greeicy,89684,2020-01-10--2020-01-17,ec,041Kcvnw8nOdq8xiRibPTG
44,Si Se Da - Remix,Myke Towers,87587,2020-01-10--2020-01-17,ec,6K5BsR04ijf3FHNzjbaagD
45,Te Vi,Piso 21,87271,2020-01-10--2020-01-17,ec,059bcIhyc2SBwm6sw2AZzd
46,Loco,Beéle,86937,2020-01-10--2020-01-17,ec,2J9B63FawlTaPdg4eH5X03
47,Otro Trago,Sech,86580,2020-01-10--2020-01-17,ec,1Ej96GIBCTvgH7tNX1r3qr
48,Piensan,Haze,85250,2020-01-10--2020-01-17,ec,0i9oiUkWOgvtnjkr0fa3XN
49,Que Mas Pues - Remix,Sech,82837,2020-01-10--2020-01-17,ec,7fODjB7BrQTGqh0hogW6XD
50,Otro Trago - Remix,Sech,82034,2020-01-10--2020-01-17,ec,4bTZeO72FwMa6wKOiqoynL
51,Tal Vez,Paulo Londra,78397,2020-01-10--2020-01-17,ec,5jW3rF4URMdK7tO2xjS5EI
52,Bellaquita,Dalex,75372,2020-01-10--2020-01-17,ec,1tpbAGsGpZee5jDHMcLrUJ
53,Me Gusta,Shakira,73273,2020-01-10--2020-01-17,ec,5Xhqh4lwJPtMUTsdBztN1a
54,Cuerpo en Venta,Noriel,72224,2020-01-10--2020-01-17,ec,2B94bbI1a4LyBpK1439oP7
55,Un Año,Sebastian Yatra,72018,2020-01-10--2020-01-17,ec,2vrpcQNg6itmgVZWsNjWe0
56,Cuaderno,Dalex,68320,2020-01-10--2020-01-17,ec,7anSoGdgtmJTAPZBzcPhO6
57,La Forma en Que Me Miras,Super Yei,68186,2020-01-10--2020-01-17,ec,6t94PGXYAuo9GbJEnMpPcW
58,Adan y Eva,Paulo Londra,67513,2020-01-10--2020-01-17,ec,132ALUzVLmqYB4UsBj5qD6
59,No Te Vayas,Camilo,66561,2020-01-10--2020-01-17,ec,4k9byIhs9ppbYWE22waJMB
60,Fantasía,Ozuna,66266,2020-01-10--2020-01-17,ec,40rXWke6SnXiGkSmaT8ZUr
61,Fresa,TINI,66037,2020-01-10--2020-01-17,ec,4BCPItsB94KDLuERZT3aNM
62,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",DJ Snake,65862,2020-01-10--2020-01-17,ec,5QXQy0f2q8wJNpPwJtjifx
63,Bonita,Juanes,65362,2020-01-10--2020-01-17,ec,3ewwb5s3WHYqEdkBnwKlTS
64,Que Calor (with J Balvin & El Alfa),Major Lazer,65006,2020-01-10--2020-01-17,ec,1G2CAJeP7rCwOZjlSJ0Zw3
65,Alguien Me Gusta,Andy Rivera,64070,2020-01-10--2020-01-17,ec,4iFTIshL0xDCw8JJUl5AJ3
66,Verte Ir,DJ Luian,63803,2020-01-10--2020-01-17,ec,4lzxJ4jCuFDXXGkE1LmpKR
67,Blinding Lights,The Weeknd,62837,2020-01-10--2020-01-17,ec,0sf12qNH5qcw8qpgymFOqD
68,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,62485,2020-01-10--2020-01-17,ec,684EjRHwNsZQ9hCQxL4NYL
69,Te Quemaste,Manuel Turizo,61569,2020-01-10--2020-01-17,ec,4fj7e6Tc48Bmomwyz2Z2XC
70,La Boca,Mau y Ricky,60835,2020-01-10--2020-01-17,ec,0UQwlF2pRkr1lMN6kNNUj3
71,bad guy,Billie Eilish,60174,2020-01-10--2020-01-17,ec,2Fxmhks0bxGSBdJ92vM42m
72,Calma - Remix,Pedro Capó,57663,2020-01-10--2020-01-17,ec,5iwz1NiezX7WWjnCgY5TH4
73,Tra Tra Tra Remix - Remix,Ghetto Kids,57662,2020-01-10--2020-01-17,ec,4YqCBC4FwzGXuhixt5cgmm
74,La Boca - Remix,Mau y Ricky,56453,2020-01-10--2020-01-17,ec,2EEmzqzM70CybVspgM7YRT
75,Tu Sicaria,Ms Nina,56074,2020-01-10--2020-01-17,ec,6fatMybX8VmHUpaxVcXzrz
76,Con Calma,Daddy Yankee,55953,2020-01-10--2020-01-17,ec,5w9c2J52mkdntKOmRLeM2m
77,Atrévete,Nicky Jam,55893,2020-01-10--2020-01-17,ec,26Qhn2T88XqVinXQpmSarj
78,Coronao Now,El Alfa,55868,2020-01-10--2020-01-17,ec,7FbKipScVxkjQxQXwTd0gL
79,Memories,Maroon 5,55687,2020-01-10--2020-01-17,ec,2b8fOow8UzyDFAE27YhOZM
80,Te Robaré,Nicky Jam,55583,2020-01-10--2020-01-17,ec,4PJ3umtW1aWdfh5EITHc6T
81,UN PESO,J Balvin,55106,2020-01-10--2020-01-17,ec,7hynhxDoDpgMIV12JuVtNa
82,La Playa,Myke Towers,54991,2020-01-10--2020-01-17,ec,0jeS8PyyIRAG0A3t5DtL71
83,Créeme,KAROL G,54860,2020-01-10--2020-01-17,ec,4EKZsrsCKyqr64FBHLc0DU
84,Uniforme,Rich Music LTD,54560,2020-01-10--2020-01-17,ec,0wMs7DPFOnToNAoecvAFQc
85,HP,Maluma,54113,2020-01-10--2020-01-17,ec,1LIqNVhaIgxXUt2eVoIQJ3
86,Oye,TINI,53512,2020-01-10--2020-01-17,ec,09nSCeCs6eYfAIJVfye1CE
87,Ella Quiere Beber - Remix,Anuel AA,53027,2020-01-10--2020-01-17,ec,3f5lA8nnc4YYF1qf78WpHw
88,Boomshakalaka,Dimitri Vegas & Like Mike,53016,2020-01-10--2020-01-17,ec,4yb5Z9dwnKhO9gC0AZQYDe
89,BOTA FUEGO,Mau y Ricky,51986,2020-01-10--2020-01-17,ec,6Y6YC93R1r0CISm5iC4j27
90,Esta Noche,Mike Bahía,51809,2020-01-10--2020-01-17,ec,4vhkI8x68EaGQR3Kn7Pwhc
91,La Lá,Mike Bahía,51773,2020-01-10--2020-01-17,ec,1MYMEtHi6fmmGiDFLrBiY3
92,Falling,Trevor Daniel,51674,2020-01-10--2020-01-17,ec,4TnjEaWOeW0eKTKIEvJyCa
93,Fuentes de Ortiz,Ed Maverick,51239,2020-01-10--2020-01-17,ec,0akyEssGRVHstqCSWXusJL
94,Secreto,Anuel AA,51048,2020-01-10--2020-01-17,ec,5W83ErFkO3aKAIS1WMi6u0
95,Ya No Tiene Novio,Sebastian Yatra,50426,2020-01-10--2020-01-17,ec,7uQmJ1jgNzBpATSoWKSPFu
96,Cuando Nadie Ve,Morat,49979,2020-01-10--2020-01-17,ec,71iAechwVKGu26pahzFL0k
97,Lose You To Love Me,Selena Gomez,49894,2020-01-10--2020-01-17,ec,4l0Mvzj72xxOpRrp6h8nHi
98,Rompelo,DJ Pedro Fuentes,49768,2020-01-10--2020-01-17,ec,6k2evQXcf7n9Lbc7V5XkOX
99,Recuerdo,TINI,49513,2020-01-10--2020-01-17,ec,3DjInVTE03icrWsq2UZV9n
100,ROXANNE,Arizona Zervas,49231,2020-01-10--2020-01-17,ec,696DnlkuDOXcMAnKlTgXXK
101,Ride It,Regard,49175,2020-01-10--2020-01-17,ec,2tnVG71enUj33Ic2nFN6kZ
102,No Se Me Quita (feat. Ricky Martin),Maluma,49078,2020-01-10--2020-01-17,ec,1GBLO0NFODuL31A5fgw0uR
103,Oye Pablo,Danna Paola,48968,2020-01-10--2020-01-17,ec,4wJFExEZZo62tmwTM9ENDR
104,Rare,Selena Gomez,48823,2020-01-10--2020-01-17,ec,7HMmFQsKsljwTw8bS7lu19
105,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,48777,2020-01-10--2020-01-17,ec,6WkJ2OK163XXS2oARUC9JM
106,Puntos Suspensivos,Piso 21,48695,2020-01-10--2020-01-17,ec,04cd1MHVq1D8v1nuTZoCdv
107,Amanece,Anuel AA,48665,2020-01-10--2020-01-17,ec,1LiN0Z98FkR1t0m8KmLcAH
108,Cristina,Sebastian Yatra,48407,2020-01-10--2020-01-17,ec,703iVQrfbQsXt7Uzgy1h8k
109,Mala Fama,Danna Paola,48198,2020-01-10--2020-01-17,ec,2LVWDR1oEthhLIOtT4hHih
110,Minifalda,Greeicy,47722,2020-01-10--2020-01-17,ec,4cccqGxzMZXzBrdNUKjnIl
111,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,47665,2020-01-10--2020-01-17,ec,6osaMSJh9NguagEDQcZaKx
112,Cristina (feat. Shelow Shaq),Maffio,47309,2020-01-10--2020-01-17,ec,2egI1hFZDAYrkCgtepoore
113,La Mejor Versión de Mi - Remix,Natti Natasha,46856,2020-01-10--2020-01-17,ec,2dy3TKVDEbIeWxeIb8JWqZ
114,Si Se Da,Myke Towers,46136,2020-01-10--2020-01-17,ec,5KbBGUpIZd6gVFUU8tqYiQ
115,Fantasias - Unplugged,Rauw Alejandro,45749,2020-01-10--2020-01-17,ec,6qqd7DGn2VXzxsR4k3Ycun
116,Besos En Guerra,Morat,45745,2020-01-10--2020-01-17,ec,1mlGScrDQqHqmhdIqE8MmA
117,Me Rehúso,Danny Ocean,45390,2020-01-10--2020-01-17,ec,6ifUES3keWjwXgae8pXI3o
118,Circles,Post Malone,45275,2020-01-10--2020-01-17,ec,21jGcNKet2qwijlDFuPiPb
119,Voy Por Ti,Cali Y El Dandee,45240,2020-01-10--2020-01-17,ec,2sRhe52xJklfzRIe0K6puw
120,Aleluya,Reik,45214,2020-01-10--2020-01-17,ec,23CsjGOYDQiJpX44BSn9TM
121,Enamórate De Alguien Más,Morat,45035,2020-01-10--2020-01-17,ec,1fXKStjVOTmBEwjAnFSNkc
122,Déjate Querer,Lalo Ebratt,44638,2020-01-10--2020-01-17,ec,3mN2DtljBhnrIpc3Nu2pJ8
123,Música,DJ Luian,43877,2020-01-10--2020-01-17,ec,4xvTPuwHaXoDM3p0QcY7bH
124,La Cama,Lunay,43597,2020-01-10--2020-01-17,ec,0OoqRZXnSrgIUAha3iLKG1
125,Runaway,Sebastian Yatra,43565,2020-01-10--2020-01-17,ec,7BuSE9uTIw931wtZYzvZcQ
126,MIA (feat. Drake),Bad Bunny,43070,2020-01-10--2020-01-17,ec,116H0KvKr2Zl4RPuVBruDO
127,La Mujer Perfecta,KURT,43022,2020-01-10--2020-01-17,ec,5XR1WyZ0uOSHRNhP85QxT4
128,Si Supieras,Daddy Yankee,42934,2020-01-10--2020-01-17,ec,7MRU4vOkywuhZ9kbFiPuiu
129,Velitas,Darell,42466,2020-01-10--2020-01-17,ec,7q3NthaBqFI6s0WnAlnIvq
130,Serenata,Mike Bahía,42428,2020-01-10--2020-01-17,ec,11ufNpNUBDwTGlU8sdWZaP
131,Amigos Con Derechos,Reik,42337,2020-01-10--2020-01-17,ec,4yVO0wOhXsZC1RuPgHP524
132,Aullando,Wisin & Yandel,42199,2020-01-10--2020-01-17,ec,7BuHdm4lQqcyG3qTwdkxus
133,Jangueo,Alex Rose,41866,2020-01-10--2020-01-17,ec,5m3jpKkgkfoMcym1qjToFg
134,Cuando Te Besé,Becky G,41852,2020-01-10--2020-01-17,ec,74wEiOpnvCe1tCTWKGSYta
135,everything i wanted,Billie Eilish,41851,2020-01-10--2020-01-17,ec,3ZCTVFBt2Brf31RLEnCkWJ
136,Gan-Ga - Remix,Bryant Myers,41803,2020-01-10--2020-01-17,ec,27qRmG3zOWPvMYUkpPdQ1g
137,Caraluna,Bacilos,41535,2020-01-10--2020-01-17,ec,7DhYjNLksXZhbRQeheAums
138,Mi Error - Remix,Eladio Carrion,41146,2020-01-10--2020-01-17,ec,0lbhKycRyqkOMKZ6thzfU4
139,Bajo El Agua,Manuel Medrano,41031,2020-01-10--2020-01-17,ec,5QSYWruQQ7kBCHScI4xJ9g
140,Believer,Imagine Dragons,40931,2020-01-10--2020-01-17,ec,0pqnGHJpmpxLKifKRmU6WP
141,Procura,ChiChi Peralta,40451,2020-01-10--2020-01-17,ec,2q9udNV9NK0BL3q9p6TLxf
142,No Hay Nadie Más,Sebastian Yatra,40243,2020-01-10--2020-01-17,ec,3IPJg1sdqLj12kFIndaonN
143,Solita,Sech,40172,2020-01-10--2020-01-17,ec,0tJCo71s7HT9Mu5Z4juuLw
144,Baila Baila Baila - Remix,Ozuna,40168,2020-01-10--2020-01-17,ec,7mWFF4gPADjTQjC97CgFVt
145,Mami,Piso 21,40076,2020-01-10--2020-01-17,ec,3bDD7GGvIzAZeHz2TOYD3A
146,Amantes,Greeicy,39868,2020-01-10--2020-01-17,ec,3IyPnNX142pvWx6D5CiimD
147,Baila Conmigo (feat. Kelly Ruiz),Dayvi,39079,2020-01-10--2020-01-17,ec,4Clmg1g8n2yBYG13Z1oSdG
148,Lamento Boliviano,Los Enanitos Verdes,39021,2020-01-10--2020-01-17,ec,6Pur3hWy6Nzc27ilmsp5HA
149,¿Qué Ha Pasao'?,Abraham Mateo,38942,2020-01-10--2020-01-17,ec,2zkVH2daHyjS51g7PRJFDn
150,Chicharrón,Guaynaa,38879,2020-01-10--2020-01-17,ec,5UVa8Qqb9L1dVxl3jKQ5J1
151,El Efecto,Rauw Alejandro,38862,2020-01-10--2020-01-17,ec,4SJHHpKhcuXwDsCsPqshXj
152,Ni Gucci Ni Prada,Kenny Man,38724,2020-01-10--2020-01-17,ec,32lexhcz93AinKK0qLTZaZ
153,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,38631,2020-01-10--2020-01-17,ec,1j6xOGusnyXq3l6IryKF3G
154,Dulce Pecado,Jessi Uribe,38306,2020-01-10--2020-01-17,ec,1dcPvuDlIyEZSCtYXtZlMm
155,Buttercup,Jack Stauber,38258,2020-01-10--2020-01-17,ec,2mlGPkAx4kwF8Df0GlScsC
156,Shape of You,Ed Sheeran,38240,2020-01-10--2020-01-17,ec,7qiZfU4dY1lWllzX7mPBI3
157,105 F Remix,KEVVO,38159,2020-01-10--2020-01-17,ec,1aUGxXCz9QimNkKeiJtzZ7
158,Swing,Danny Ocean,38147,2020-01-10--2020-01-17,ec,4DbhxwlkhTbCTqlZptxmI6
159,B11 (feat. Myke Towers),Rvssian,37908,2020-01-10--2020-01-17,ec,4o1DxRjMCHDwBiOKv88rOl
160,Sin Tabú,Nakary,37687,2020-01-10--2020-01-17,ec,1v7nYRutdes6drkUv14anj
161,Nunca Es Suficiente,Los Ángeles Azules,36666,2020-01-10--2020-01-17,ec,63USmok1OioBzKuWGW9wAg
162,+,Aitana,36358,2020-01-10--2020-01-17,ec,5Cbo7oz78gqkzV3EAM63VA
163,Ocean,KAROL G,36264,2020-01-10--2020-01-17,ec,6qoIFQfdmaQF9A1gb67tR7
164,"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez) - Remix",Mau y Ricky,36077,2020-01-10--2020-01-17,ec,4MxYiw28F30NGOaTZ1ySqd
165,Esclavo de Tus Besos,Manuel Turizo,35959,2020-01-10--2020-01-17,ec,0WpwK09agFbwEUaNrGnXoe
166,Rebota - Remix,Guaynaa,35854,2020-01-10--2020-01-17,ec,3dWpRjCmaHbroNahuSeX11
167,7 rings,Ariana Grande,35818,2020-01-10--2020-01-17,ec,6ocbgoVGwYJhOv1GgI9NsF
168,I Don't Care (with Justin Bieber),Ed Sheeran,35707,2020-01-10--2020-01-17,ec,0hVXuCcriWRGvwMV1r5Yn9
169,Si Estuviésemos Juntos,Bad Bunny,35181,2020-01-10--2020-01-17,ec,35wvL50xvKpCHEJPxLOLPI
170,Ayy Macarena,Tyga,35135,2020-01-10--2020-01-17,ec,6LcauUZjF1eXQrgqMUecHX
171,Mírame - Remix,Nio Garcia,35132,2020-01-10--2020-01-17,ec,53uKGbcMjEc2gIWbfmvpdS
172,Rasta Barbie (Remix),Gigolo Y La Exce,35099,2020-01-10--2020-01-17,ec,64kNRze29YqCFzFEpQCaHQ
173,CANGURO,WOS,34910,2020-01-10--2020-01-17,ec,2UAWYufVaO3EnUUNzl0ppO
174,Presiento,Morat,34862,2020-01-10--2020-01-17,ec,2V4hc5gplg7EXlrRUvD4rp
175,Me Dediqué a Perderte,Alejandro Fernández,34819,2020-01-10--2020-01-17,ec,4NUt1fcnO9aQAELBgXq3Kr
176,Lost on You,LP,34637,2020-01-10--2020-01-17,ec,3SqvR3HYLlCTYzbDXJ52OC
