Position,Track Name,Artist,Streams,date,region,spotify_id
1,Ne reviens pas,Gradur,3408229,2020-01-10--2020-01-17,fr,4TnFANpjVwVKWzkxNzIyFH
2,Moulaga,Heuss L'enfoiré,2724831,2020-01-10--2020-01-17,fr,5BfCoUcWNXcpyJfjXRIeyC
3,Dance Monkey,Tones And I,2078799,2020-01-10--2020-01-17,fr,1rgnBhdG2JDFTbYkYRZAku
4,Distant,Maes,2067053,2020-01-10--2020-01-17,fr,2iuNKcIOuHb9VIplN7NDoa
5,Blinding Lights,The Weeknd,2061638,2020-01-10--2020-01-17,fr,0sf12qNH5qcw8qpgymFOqD
6,MD (feat. Niska),4Keus,1563809,2020-01-10--2020-01-17,fr,7HnZCmNXgva6N3kZiK0NTn
7,40%,Aya Nakamura,1539942,2020-01-10--2020-01-17,fr,47LFcy7prvEY5D08d26zOo
8,POPOPOP,Gambi,1410234,2020-01-10--2020-01-17,fr,18HNGxDOcshRU2Hdu8tMOM
9,ROXANNE,Arizona Zervas,1342751,2020-01-10--2020-01-17,fr,696DnlkuDOXcMAnKlTgXXK
10,Loin de moi,Naza,1319672,2020-01-10--2020-01-17,fr,30kxl4FnaEFS2qZkec3Zak
11,Oui ou non,Angèle,1281526,2020-01-10--2020-01-17,fr,7rBP4bLjMLNkix1nGHjheP
12,93% [Tijuana],GLK,1223167,2020-01-10--2020-01-17,fr,45mzuuUWaRRLwIDifDferf
13,Woin Woin,Larry,1206561,2020-01-10--2020-01-17,fr,5Oh8sPyFYM4gAR3KmmDH7I
14,Côte Ouest,47ter,1200120,2020-01-10--2020-01-17,fr,4ZuuPLV4qYiznagLAFPHcW
15,Roses - Imanbek Remix,SAINt JHN,1176371,2020-01-10--2020-01-17,fr,24Yi9hE78yPEbZ4kxyoXAI
16,God Bless (feat. Damso),Hamza,1089352,2020-01-10--2020-01-17,fr,2oT2g4vkjRaFOcUtdOf9eg
17,Jamais,Mister V,1082419,2020-01-10--2020-01-17,fr,2MCAs3ttHSuDm1RHL0rqTF
18,Ride It,Regard,1026282,2020-01-10--2020-01-17,fr,2tnVG71enUj33Ic2nFN6kZ
19,La vie qu'on mène,Ninho,1022987,2020-01-10--2020-01-17,fr,0Jh6iWjna1wk5le0Ahn7No
20,RITMO (Bad Boys For Life),Black Eyed Peas,1013137,2020-01-10--2020-01-17,fr,6cy3ki60hLwimwIje7tALf
21,Falling,Trevor Daniel,998887,2020-01-10--2020-01-17,fr,4TnjEaWOeW0eKTKIEvJyCa
22,Avant toi,Vitaa,995861,2020-01-10--2020-01-17,fr,4iNPp0BZ4lBu7bipdWLcWk
23,Memories,Maroon 5,968922,2020-01-10--2020-01-17,fr,2b8fOow8UzyDFAE27YhOZM
24,Yummy,Justin Bieber,963093,2020-01-10--2020-01-17,fr,41L3O37CECZt3N7ziG2z7l
25,HÉ OH,Gambi,941482,2020-01-10--2020-01-17,fr,1bWafkUCOp6luXRs1cm3w9
26,Bâtiment,Niska,931800,2020-01-10--2020-01-17,fr,7FF6HRsQlc0CtfAbLmrEGX
27,Street,Maes,927860,2020-01-10--2020-01-17,fr,0MtMUDO6tzHq1ux9rwSJhl
28,Don't Start Now,Dua Lipa,875740,2020-01-10--2020-01-17,fr,6WrI0LAC5M1Rw2MnX2ZvEg
29,Baianá,Bakermat,873375,2020-01-10--2020-01-17,fr,430efk5Jc5wGay4EWP4snS
30,Trampoline (with ZAYN),SHAED,836792,2020-01-10--2020-01-17,fr,2ez6qvOTHKeI3ss80NGqnI
31,Mayday (feat. Ninho),SCH,834502,2020-01-10--2020-01-17,fr,1SVuEeerYIwjCRsF5MGzX3
32,Dans l'univers,Nekfeu,797845,2020-01-10--2020-01-17,fr,2PYXOG6GdxF9sUIH2NfOAD
33,Que Calor (with J Balvin & El Alfa),Major Lazer,784134,2020-01-10--2020-01-17,fr,1G2CAJeP7rCwOZjlSJ0Zw3
34,The Box,Roddy Ricch,763903,2020-01-10--2020-01-17,fr,0nbXyq5TXYPCO7pr3N8S4I
35,Maman ne le sait pas (feat. Niska),Ninho,753960,2020-01-10--2020-01-17,fr,5c2HadbVTsMKjja4gohEFI
36,Señorita,Shawn Mendes,745348,2020-01-10--2020-01-17,fr,6v3KW9xbzN5yKLt9YKDYA2
37,Un peu de haine,PLK,731652,2020-01-10--2020-01-17,fr,5yYfCoMrhcuxMP9CAmA2rU
38,Life Is Good (feat. Drake),Future,715915,2020-01-10--2020-01-17,fr,5yY9lUy8nbvjM1Uyo1Uqoc
