Position,Track Name,Artist,Streams,date,region,spotify_id
1,The Box,Roddy Ricch,68084,2020-01-10--2020-01-17,is,0nbXyq5TXYPCO7pr3N8S4I
2,Blinding Lights,The Weeknd,64835,2020-01-10--2020-01-17,is,0sf12qNH5qcw8qpgymFOqD
3,Life Is Good (feat. Drake),Future,51357,2020-01-10--2020-01-17,is,5yY9lUy8nbvjM1Uyo1Uqoc
4,Yummy,Justin Bieber,38041,2020-01-10--2020-01-17,is,41L3O37CECZt3N7ziG2z7l
5,Dance Monkey,Tones And I,36915,2020-01-10--2020-01-17,is,1rgnBhdG2JDFTbYkYRZAku
6,everything i wanted,Billie Eilish,33964,2020-01-10--2020-01-17,is,3ZCTVFBt2Brf31RLEnCkWJ
7,ROXANNE,Arizona Zervas,30902,2020-01-10--2020-01-17,is,696DnlkuDOXcMAnKlTgXXK
8,Malbik,Emmsjé Gauti,30553,2020-01-10--2020-01-17,is,4EFrKYAOrrT0SC655kD5Ef
9,Falling,Trevor Daniel,28500,2020-01-10--2020-01-17,is,4TnjEaWOeW0eKTKIEvJyCa
10,Don't Start Now,Dua Lipa,28042,2020-01-10--2020-01-17,is,6WrI0LAC5M1Rw2MnX2ZvEg
11,Suicidal,YNW Melly,25591,2020-01-10--2020-01-17,is,1iSqfoUFnQwV0QW1EfUit8
12,Circles,Post Malone,24368,2020-01-10--2020-01-17,is,21jGcNKet2qwijlDFuPiPb
13,Futsal Shuffle 2020,Lil Uzi Vert,24176,2020-01-10--2020-01-17,is,2Ec33AVlkTTq8BHFgBTdQs
14,bad guy,Billie Eilish,23476,2020-01-10--2020-01-17,is,2Fxmhks0bxGSBdJ92vM42m
15,No Idea,Don Toliver,20867,2020-01-10--2020-01-17,is,3VyjsVV24RmBIbWJAeUJNu
16,Enginn eins og þú,Auður,19838,2020-01-10--2020-01-17,is,3bzP8lZJWmuhpdnfDP1rTq
17,Adore You,Harry Styles,19589,2020-01-10--2020-01-17,is,3jjujdWJ72nww5eGnfs2E7
18,Ride It,Regard,19551,2020-01-10--2020-01-17,is,2tnVG71enUj33Ic2nFN6kZ
19,My Oh My (feat. DaBaby),Camila Cabello,19407,2020-01-10--2020-01-17,is,3yOlyBJuViE2YSGn3nVE1K
20,Geimvera,JóiPé,18796,2020-01-10--2020-01-17,is,5vGgc4vq2kDVGigZPA4zA1
21,Watermelon Sugar,Harry Styles,18656,2020-01-10--2020-01-17,is,6UelLqGlWMcVH1E5c4H7lY
22,HIGHEST IN THE ROOM,Travis Scott,18490,2020-01-10--2020-01-17,is,3eekarcy7kvN4yt5ZFzltW
23,BOP,DaBaby,18036,2020-01-10--2020-01-17,is,6Ozh9Ok6h4Oi1wUSLtBseN
24,Lose You To Love Me,Selena Gomez,17049,2020-01-10--2020-01-17,is,4l0Mvzj72xxOpRrp6h8nHi
25,Dicks,Ingi Bauer,16773,2020-01-10--2020-01-17,is,5jtgmZRPmm6QnJxegPoour
26,OUT WEST (feat. Young Thug),JACKBOYS,16698,2020-01-10--2020-01-17,is,6gi6y1xwmVszDWkUqab1qw
27,Roses - Imanbek Remix,SAINt JHN,16436,2020-01-10--2020-01-17,is,24Yi9hE78yPEbZ4kxyoXAI
28,Bandit (with YoungBoy Never Broke Again),Juice WRLD,16346,2020-01-10--2020-01-17,is,6Gg1gjgKi2AK4e0qzsR7sd
29,Hingað þangað,Aron Can,15973,2020-01-10--2020-01-17,is,33F25Y3sEbyrpFsgD249St
30,Rare,Selena Gomez,15851,2020-01-10--2020-01-17,is,7HMmFQsKsljwTw8bS7lu19
31,Say So,Doja Cat,15800,2020-01-10--2020-01-17,is,3Dv1eDb0MEgF93GpLXlucZ
32,Heartless,The Weeknd,15460,2020-01-10--2020-01-17,is,57vxBYXtHMk6H1aD29V7PU
33,Trampoline (with ZAYN),SHAED,15402,2020-01-10--2020-01-17,is,2ez6qvOTHKeI3ss80NGqnI
34,Someone You Loved,Lewis Capaldi,15110,2020-01-10--2020-01-17,is,7qEHsqek33rTcFNT9PFqLf
35,Memories,Maroon 5,14845,2020-01-10--2020-01-17,is,2b8fOow8UzyDFAE27YhOZM
36,Vitleysan Eins,Herra Hnetusmjör,14492,2020-01-10--2020-01-17,is,3QiMUXWwFJvfOWztQfdpln
37,VIBEZ,DaBaby,13979,2020-01-10--2020-01-17,is,0fySG6A6qLE8IvDpayb5bM
38,Had Enough (feat. Quavo & Offset),Don Toliver,13865,2020-01-10--2020-01-17,is,2jrAaawDRCn1JjeouxAyDN
39,when the party's over,Billie Eilish,13860,2020-01-10--2020-01-17,is,43zdsphuZLzwA9k4DJhU0I
40,Shallow,Lady Gaga,13842,2020-01-10--2020-01-17,is,2VxeLyX666F8uXCJ0dZF8B
41,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,13641,2020-01-10--2020-01-17,is,2FvD20Z8aoWIePi7PoN8sG
