Position,Track Name,Artist,Streams,date,region,spotify_id
1,Haugenstua,Herman Flesvig,1230467,2020-01-10--2020-01-17,no,0GFOW30WB6SsPoeOlZdDPl
2,Blinding Lights,The Weeknd,1182508,2020-01-10--2020-01-17,no,0sf12qNH5qcw8qpgymFOqD
3,Satsebrakka 2020,Herman Flesvig,812107,2020-01-10--2020-01-17,no,04JGX3bLp5D3l32i5GELPu
4,The Box,Roddy Ricch,773756,2020-01-10--2020-01-17,no,0nbXyq5TXYPCO7pr3N8S4I
5,Dance Monkey,Tones And I,684394,2020-01-10--2020-01-17,no,1rgnBhdG2JDFTbYkYRZAku
6,"Alone, Pt. II",Alan Walker,606452,2020-01-10--2020-01-17,no,0bMbDctzMmTyK2j74j3nF3
7,Yummy,Justin Bieber,597794,2020-01-10--2020-01-17,no,41L3O37CECZt3N7ziG2z7l
8,everything i wanted,Billie Eilish,549019,2020-01-10--2020-01-17,no,3ZCTVFBt2Brf31RLEnCkWJ
9,Life Is Good (feat. Drake),Future,529839,2020-01-10--2020-01-17,no,5yY9lUy8nbvjM1Uyo1Uqoc
10,Falling,Trevor Daniel,523398,2020-01-10--2020-01-17,no,4TnjEaWOeW0eKTKIEvJyCa
11,Jævlig,TIX,520988,2020-01-10--2020-01-17,no,2Pckb69I4iMmL24jZ2KO4D
12,Roses - Imanbek Remix,SAINt JHN,507110,2020-01-10--2020-01-17,no,24Yi9hE78yPEbZ4kxyoXAI
13,Don't Start Now,Dua Lipa,500655,2020-01-10--2020-01-17,no,6WrI0LAC5M1Rw2MnX2ZvEg
14,Salt,Ava Max,498852,2020-01-10--2020-01-17,no,7vgv8KZBSo0TPzyIWG9yzV
15,ROXANNE,Arizona Zervas,485150,2020-01-10--2020-01-17,no,696DnlkuDOXcMAnKlTgXXK
16,Someone You Loved,Lewis Capaldi,456253,2020-01-10--2020-01-17,no,7qEHsqek33rTcFNT9PFqLf
17,Memories,Maroon 5,452711,2020-01-10--2020-01-17,no,2b8fOow8UzyDFAE27YhOZM
18,DANCE,CLMD,437365,2020-01-10--2020-01-17,no,6TfeXwJihJRuBW3mFpib6J
19,If the World Was Ending - feat. Julia Michaels,JP Saxe,437103,2020-01-10--2020-01-17,no,2kJwzbxV2ppxnQoYw4GLBZ
20,Kiss Somebody,Julie Bergan,418323,2020-01-10--2020-01-17,no,17XU1PTSv4OfcBUE8rNYWm
21,Knockout,Tungevaag,389311,2020-01-10--2020-01-17,no,1YFwmEAnSUx9ZAgWT39i1L
22,Years,Astrid S,387258,2020-01-10--2020-01-17,no,5WEAZtjEufELtaxqYcqCJg
23,Lose You To Love Me,Selena Gomez,380810,2020-01-10--2020-01-17,no,4l0Mvzj72xxOpRrp6h8nHi
24,Before You Go,Lewis Capaldi,367031,2020-01-10--2020-01-17,no,2gMXnyrvIjhVBUZwvLZDMP
25,Circles,Post Malone,342034,2020-01-10--2020-01-17,no,21jGcNKet2qwijlDFuPiPb
26,Rare,Selena Gomez,341952,2020-01-10--2020-01-17,no,7HMmFQsKsljwTw8bS7lu19
27,Hvem Er Hun,Arif,315641,2020-01-10--2020-01-17,no,2zTXGnJsTwSp1TKcs5g6Xb
28,My Oh My (feat. DaBaby),Camila Cabello,310648,2020-01-10--2020-01-17,no,3yOlyBJuViE2YSGn3nVE1K
29,Bruises,Lewis Capaldi,309013,2020-01-10--2020-01-17,no,4Of7rzpRpV1mWRbhp5rAqG
30,Trampoline (with ZAYN),SHAED,305597,2020-01-10--2020-01-17,no,2ez6qvOTHKeI3ss80NGqnI
31,July,Noah Cyrus,304752,2020-01-10--2020-01-17,no,5a6pdCHlWS2ekOOQ70QnAr
32,hot girl bummer,blackbear,301870,2020-01-10--2020-01-17,no,7aiClxsDWFRQ0Kzk5KI5ku
33,Some Say,Nea,298582,2020-01-10--2020-01-17,no,4poybupy26pTWPr9zY1i7h
34,Suicidal,YNW Melly,297117,2020-01-10--2020-01-17,no,1iSqfoUFnQwV0QW1EfUit8
35,bad guy,Billie Eilish,293891,2020-01-10--2020-01-17,no,2Fxmhks0bxGSBdJ92vM42m
36,Den dama er gal,Morgan Sulele,272701,2020-01-10--2020-01-17,no,3oZcf8FGUrOpSAUYAXzmya
37,HIGHEST IN THE ROOM,Travis Scott,270151,2020-01-10--2020-01-17,no,3eekarcy7kvN4yt5ZFzltW
38,Family,The Chainsmokers,269919,2020-01-10--2020-01-17,no,3TKpJrY9q49Mj1JOsM9zGL
39,Señorita,Shawn Mendes,266462,2020-01-10--2020-01-17,no,6v3KW9xbzN5yKLt9YKDYA2
40,No Idea,Don Toliver,261712,2020-01-10--2020-01-17,no,3VyjsVV24RmBIbWJAeUJNu
41,Shallow,Lady Gaga,255400,2020-01-10--2020-01-17,no,2VxeLyX666F8uXCJ0dZF8B
42,Adore You,Harry Styles,254282,2020-01-10--2020-01-17,no,3jjujdWJ72nww5eGnfs2E7
43,Play,K-391,253492,2020-01-10--2020-01-17,no,4jp4Z02kzzg8gK0NmDGgml
44,Valhalla,Ringnes-Ronny,240313,2020-01-10--2020-01-17,no,1icRHA6kFSipRbZREQPaA0
45,Eleven,Khalid,239258,2020-01-10--2020-01-17,no,1ToprX3cpBiXoAe5eNSk74
46,HALLO,Isah,225690,2020-01-10--2020-01-17,no,1WjLQsbfei4kk9OaVxtfIB
