Position,Track Name,Artist,Streams,date,region,spotify_id
1,Patointeligencja,Mata,747517,2020-01-10--2020-01-17,pl,6F3zAaf1DY7akff9JQ8pMb
2,VOGUE,Bedoes,553439,2020-01-10--2020-01-17,pl,0XthAWvbDoOunjDceV6Jq2
3,Anioły i Demony,Tymek,547166,2020-01-10--2020-01-17,pl,1DXaXsT69EUS1aarFfBxMw
4,Dance Monkey,Tones And I,532179,2020-01-10--2020-01-17,pl,1rgnBhdG2JDFTbYkYRZAku
5,Noc Polarna,Szpaku,511990,2020-01-10--2020-01-17,pl,2W6iqyl0jSI48ByWAEl1vr
6,Jesteś ładniejsza niż na zdjęciach (na zawsze),Bedoes,490818,2020-01-10--2020-01-17,pl,55sNf76dIok3ddZtFiNaaf
7,Blinding Lights,The Weeknd,479897,2020-01-10--2020-01-17,pl,0sf12qNH5qcw8qpgymFOqD
8,Don't Start Now,Dua Lipa,445680,2020-01-10--2020-01-17,pl,6WrI0LAC5M1Rw2MnX2ZvEg
9,Brzydkie Rzeczy,Bedoes,438311,2020-01-10--2020-01-17,pl,6STE4z6PBDVmCsIHejY66L
10,Opowieści z Doliny Smoków,Bedoes,414306,2020-01-10--2020-01-17,pl,0biUEKHyKAPBDLcrjCUFsu
11,1998 (mam to we krwi),Bedoes,409660,2020-01-10--2020-01-17,pl,2dvxMlIfGY90Wvw8OSgZoF
12,Rare,Selena Gomez,395777,2020-01-10--2020-01-17,pl,7HMmFQsKsljwTw8bS7lu19
13,Rainman,Tymek,386458,2020-01-10--2020-01-17,pl,7GMszPpwzW9Yehj9Ox2QLD
14,Język ciała,Tymek,382440,2020-01-10--2020-01-17,pl,3rM7bxaGhahPf0bhRBlrXM
15,Roses - Imanbek Remix,SAINt JHN,377525,2020-01-10--2020-01-17,pl,24Yi9hE78yPEbZ4kxyoXAI
16,Falling,Trevor Daniel,375607,2020-01-10--2020-01-17,pl,4TnjEaWOeW0eKTKIEvJyCa
17,Floyd Mayweather,Żabson,360922,2020-01-10--2020-01-17,pl,5wOAQXIydVWJNatT6nKwhz
18,Ona By Tak Chciała,Ronnie Ferrari,355898,2020-01-10--2020-01-17,pl,4ocfGuRDytBDjTeJLDIDjL
19,Wschód (lubię zapierdalać),Bedoes,349147,2020-01-10--2020-01-17,pl,7BF6s1W1W9filnjQkNYasL
20,Poza kontrolą,Tymek,345984,2020-01-10--2020-01-17,pl,72sOrgrynSH73z4E41Ed0i
21,Yummy,Justin Bieber,328121,2020-01-10--2020-01-17,pl,41L3O37CECZt3N7ziG2z7l
22,Kochaj Mnie,Szpaku,327622,2020-01-10--2020-01-17,pl,04VF7AgF5f5LR4TBAvGqB7
23,Lose You To Love Me,Selena Gomez,323727,2020-01-10--2020-01-17,pl,4l0Mvzj72xxOpRrp6h8nHi
24,Circles,Post Malone,323575,2020-01-10--2020-01-17,pl,21jGcNKet2qwijlDFuPiPb
25,W PIĄTKI LEŻĘ W WANNIE,Taco Hemingway,319465,2020-01-10--2020-01-17,pl,4bpShq8coki3AlMsXuFCDa
26,hot coffee,schafter,319193,2020-01-10--2020-01-17,pl,4pzRQIRRHXYsAryBKXALCF
27,@ (trailer),chillwagon,316536,2020-01-10--2020-01-17,pl,4fsZcOEWUxFyDe1ENTbvLM
28,NICKI,Trill Pem,316050,2020-01-10--2020-01-17,pl,248wm0QJjthcaWCCXoXfDf
29,everything i wanted,Billie Eilish,315844,2020-01-10--2020-01-17,pl,3ZCTVFBt2Brf31RLEnCkWJ
30,Będzie Lepiej,Miyo,313640,2020-01-10--2020-01-17,pl,30OnKqCINi9fRJyQTEZeDz
31,Ramię W Ramię,Viki Gabor,295591,2020-01-10--2020-01-17,pl,02RqhFaAYzWScfVzKfTZ7L
32,Adore You,Harry Styles,293526,2020-01-10--2020-01-17,pl,3jjujdWJ72nww5eGnfs2E7
33,Mogę Dziś Umierać,White 2115,291969,2020-01-10--2020-01-17,pl,38r67NnLgSMEGhilk9QhF4
34,bad guy,Billie Eilish,286823,2020-01-10--2020-01-17,pl,2Fxmhks0bxGSBdJ92vM42m
35,Surfer,be vis,286781,2020-01-10--2020-01-17,pl,5vBtQYXPl3doQwnlFHwknb
36,Magenta (prod. Auer),Pezet,283291,2020-01-10--2020-01-17,pl,07Agqdd4SD83JRgN19OjdW
37,ROXANNE,Arizona Zervas,277910,2020-01-10--2020-01-17,pl,696DnlkuDOXcMAnKlTgXXK
38,Memories,Maroon 5,273628,2020-01-10--2020-01-17,pl,2b8fOow8UzyDFAE27YhOZM
39,bigos,schafter,273618,2020-01-10--2020-01-17,pl,0oHlNCYyl8BkJalwiYEglU
40,Biblioteka Trap,Mata,273010,2020-01-10--2020-01-17,pl,6qO9lB5HScamYEOddv0Km0
41,Superhero - Junior Eurovision 2019 / Poland,Viki Gabor,270159,2020-01-10--2020-01-17,pl,2ZE0aaMYGinDylqEYeHYW2
42,Señorita,Shawn Mendes,268640,2020-01-10--2020-01-17,pl,6v3KW9xbzN5yKLt9YKDYA2
43,jolka (trailer),chillwagon,268176,2020-01-10--2020-01-17,pl,5Zc1iY6yaGrNIgSzCgca8H
44,Schodki,Mata,267970,2020-01-10--2020-01-17,pl,5hbjEop5ZACSF37JmcsQQU
45,Chłopaki nie płaczą,Bedoes,260607,2020-01-10--2020-01-17,pl,4glBRF3uJCf3bTG4hhIhpn
46,The Box,Roddy Ricch,258088,2020-01-10--2020-01-17,pl,0nbXyq5TXYPCO7pr3N8S4I
47,Mata Montana,Mata,253252,2020-01-10--2020-01-17,pl,7ILNaXjTXNJAksRhMhvthz
48,Wybory,Jan-Rapowanie,248653,2020-01-10--2020-01-17,pl,3KeWngnWN1REq9d26ZanKj
49,Lose Control,MEDUZA,247349,2020-01-10--2020-01-17,pl,7CHi4DtfK4heMlQaudCuHK
50,My Oh My (feat. DaBaby),Camila Cabello,246722,2020-01-10--2020-01-17,pl,3yOlyBJuViE2YSGn3nVE1K
51,Gubię kroki,White 2115,242178,2020-01-10--2020-01-17,pl,6TxtJ6Nan6vyZu1m8tl3Ch
52,FPS,Bedoes,239523,2020-01-10--2020-01-17,pl,3kWxHkGNqsToeOpCHZvkwk
53,LECI NOWY FUTURE,Taco Hemingway,238117,2020-01-10--2020-01-17,pl,4DVPJXPqKLIon9BHklap1w
54,Ride It,Regard,237525,2020-01-10--2020-01-17,pl,2tnVG71enUj33Ic2nFN6kZ
55,Bestia,Young Igi,236836,2020-01-10--2020-01-17,pl,5b9RQx9CLZRZcO1W8PvmcB
56,Najnowszy Klip,Dawid Podsiadło,235525,2020-01-10--2020-01-17,pl,35UvOH0tRlSCdtWtaXuiWh
57,Jungle Boyz,Malik Montana,227020,2020-01-10--2020-01-17,pl,6FGAHJzXBS7SKtIlMUEbR3
58,Outside,Kartky,224510,2020-01-10--2020-01-17,pl,4SDdeq8HUaKPUGiE4WMASH
59,Trofea,Dawid Podsiadło,219410,2020-01-10--2020-01-17,pl,3pe05XBTPu2wpWwkVPzuUX
60,Bali,Gedz,218483,2020-01-10--2020-01-17,pl,376XxQrHsYD4TYYwPr6a5Z
61,You should be sad,Halsey,218039,2020-01-10--2020-01-17,pl,2usxQITOSDqvkYiI0oIwao
62,California,White 2115,216216,2020-01-10--2020-01-17,pl,2nFaT0t36H6UX3wN3Vxvjm
63,Watermelon Sugar,Harry Styles,215881,2020-01-10--2020-01-17,pl,6UelLqGlWMcVH1E5c4H7lY
64,Ptak,Deemz,211576,2020-01-10--2020-01-17,pl,1mMCe8c6iNVLu6fzJl2tIi
65,Justin Bieber,Oki,206193,2020-01-10--2020-01-17,pl,3xLWwOVRM6QS1XjHP51HHR
66,Someone You Loved,Lewis Capaldi,204375,2020-01-10--2020-01-17,pl,7qEHsqek33rTcFNT9PFqLf
67,Some Say,Nea,201479,2020-01-10--2020-01-17,pl,4poybupy26pTWPr9zY1i7h
68,Dance Again,Selena Gomez,194246,2020-01-10--2020-01-17,pl,5sK3o66yupTNIK6gWgzGjf
69,Look At Her Now,Selena Gomez,192812,2020-01-10--2020-01-17,pl,7eOkHIcaoUhngxxypM5Ajr
70,Robie Yeah,Malik Montana,190912,2020-01-10--2020-01-17,pl,0F6O41VJlau8IO4rQhXjNW
71,Dzieci Burzy,BORCREW,190326,2020-01-10--2020-01-17,pl,159bOLbmVsLb2RkGSQETic
72,Good News,Mac Miller,189548,2020-01-10--2020-01-17,pl,3ClBKQkKoaUQ6UOhe2xlJK
73,Dementor,Filipek,189500,2020-01-10--2020-01-17,pl,4SIVAJIeJN2KrcL6x5auUH
74,Rajaner,Kizo,186610,2020-01-10--2020-01-17,pl,6P7JZyL9y8GVp4e1aZJme0
75,hot girl bummer,blackbear,186015,2020-01-10--2020-01-17,pl,7aiClxsDWFRQ0Kzk5KI5ku
