Position,Track Name,Artist,Streams,date,region,spotify_id
1,EH BABA,Murda,1400865,2020-01-10--2020-01-17,tr,04NvehUCryReE1VOUOI767
2,Kazılı Kuyum,Yüzyüzeyken Konuşuruz,1298173,2020-01-10--2020-01-17,tr,5DJEXxOutnFD5GEUVk88yE
3,AYA,Murda,1056486,2020-01-10--2020-01-17,tr,4IJEw3fDvS6XF4sDc3bvjK
4,Dolunay,Enes Batur,981550,2020-01-10--2020-01-17,tr,0Ca4p7aZRXKdGvLuqezTwC
5,Dance Monkey,Tones And I,977970,2020-01-10--2020-01-17,tr,1rgnBhdG2JDFTbYkYRZAku
6,Uslanmıyor Bu,Zeynep Bastık,962594,2020-01-10--2020-01-17,tr,24BvlSG2Y36Heg1dwLwHtu
7,Wir sind Kral,Ufo361,938643,2020-01-10--2020-01-17,tr,2KlbLTnQ5Wch2oOelW0Y2k
8,Nalan,Emir Can İğrek,907085,2020-01-10--2020-01-17,tr,1LNUxWJifZNEPpd273N2le
9,Goal,Patron,892189,2020-01-10--2020-01-17,tr,4QVEEOx7TeTA0vQfeP8tgN
10,Arkadaş,Ben Fero,865614,2020-01-10--2020-01-17,tr,6bBnnrknLbDoOCUdKMkmnq
11,Beatcoin,Ceza,798331,2020-01-10--2020-01-17,tr,5sSKQKLzKqOKxbgUyGlk2w
12,Bütün Istanbul Biliyo,İkiye On Kala,766140,2020-01-10--2020-01-17,tr,0V0bWil6rS8w4Xbn6eGwCQ
13,Eskimiş Senelere,Aspova,725412,2020-01-10--2020-01-17,tr,5XR0fbf6IAizysmuSQDoUX
14,Benjamins 3,Rozz Kalliope,716372,2020-01-10--2020-01-17,tr,3F1vlhA0ISnqXJMOXUZP7V
15,Toz Taneleri,Sagopa Kajmer,675483,2020-01-10--2020-01-17,tr,36ulbeGLdspdIYSFKXIlmN
16,LOLO,Ezhel,656375,2020-01-10--2020-01-17,tr,7hGc0ggqVVOndzHLIS4Kag
17,Yemin Olsun,Ufo361,654078,2020-01-10--2020-01-17,tr,1BzTI6CkluzAJsXFRkXTaR
18,Güzel Kızlar Patron Dinler,Patron,598869,2020-01-10--2020-01-17,tr,2qpwx9xOkCqzOMVnOkZ2X8
19,Mod,Mustafa Sandal,570552,2020-01-10--2020-01-17,tr,0xNW1WrxJP3USOL2r0gqHE
20,Gelemem,Grogi,569429,2020-01-10--2020-01-17,tr,6sMKnGxbHEloI6usl0FLdh
21,Falling,Trevor Daniel,565588,2020-01-10--2020-01-17,tr,4TnjEaWOeW0eKTKIEvJyCa
22,Böyle Sever,Kahraman Deniz,545970,2020-01-10--2020-01-17,tr,7hU3H2id2pBVawD7e3zd8N
23,Neresi?,BEGE,519765,2020-01-10--2020-01-17,tr,5m42G9KcZupRGXyBj2dPzV
24,Ay Tenli Kadın,Ufuk Beydemir,482034,2020-01-10--2020-01-17,tr,5CaKpl8JB1FMCbsgh0sgO8
25,YKKE,Ufo361,464480,2020-01-10--2020-01-17,tr,4tT9mBO8n3pEuCeUDnzE4s
26,Mekanın Sahibi,Norm Ender,462302,2020-01-10--2020-01-17,tr,3loy88Lp5qoTHhL8GhRfVZ
27,Señorita,Shawn Mendes,458516,2020-01-10--2020-01-17,tr,6v3KW9xbzN5yKLt9YKDYA2
28,Ayy Macarena,Tyga,455751,2020-01-10--2020-01-17,tr,6LcauUZjF1eXQrgqMUecHX
29,Ölsem Yeridir,Yüzyüzeyken Konuşuruz,453712,2020-01-10--2020-01-17,tr,7zn6VQuPR6aCLPRcZAA89R
30,Silahım Yok,Emir Can İğrek,443075,2020-01-10--2020-01-17,tr,768WdBNQJQiDzbMjTZx5aZ
31,Bırakman Doğru Mu,Anıl Piyancı,438238,2020-01-10--2020-01-17,tr,5pdsGdTeqH6MHqJeKkpwX3
32,Dinle Beni Bi',Yüzyüzeyken Konuşuruz,437862,2020-01-10--2020-01-17,tr,11PO9iu6PtpgL1JK4QNUEJ
33,İki Hece,Berkay,437514,2020-01-10--2020-01-17,tr,4nWVlBWgG018k57NMeT9An
34,Daha İyi,Hande Ünsal,419858,2020-01-10--2020-01-17,tr,4pqintftlokZCfmrA67rRj
35,bad guy,Billie Eilish,415630,2020-01-10--2020-01-17,tr,2Fxmhks0bxGSBdJ92vM42m
36,Felaket,Ezhel,411947,2020-01-10--2020-01-17,tr,59l0CeaA4LLngf30waUXWB
37,Zombi,Adamlar,411464,2020-01-10--2020-01-17,tr,73Ec1iE2MDm6Y16Tq2Rz8O
38,Bedel,Mustafa Ceceli,405227,2020-01-10--2020-01-17,tr,6R3YNDKSDdXh4s8sKewqCD
39,Uzak Gelecek,Kahraman Deniz,399540,2020-01-10--2020-01-17,tr,75h4Bilr9NatfonTWxEQXB
40,Ela,Reynmen,397043,2020-01-10--2020-01-17,tr,2VUTPdW21gPVVTEmvdSwos
41,Yok Yok,Feride Hilal Akın,396607,2020-01-10--2020-01-17,tr,2CjjjGKJA1ybc5wjCyJYjm
42,everything i wanted,Billie Eilish,396229,2020-01-10--2020-01-17,tr,3ZCTVFBt2Brf31RLEnCkWJ
43,Lalala,Y2K,387271,2020-01-10--2020-01-17,tr,51Fjme0JiitpyXKuyQiCDo
44,Naim - Cep Herkülü Naim Süleymanoğlu Orjinal Film Müziği,Eypio,386212,2020-01-10--2020-01-17,tr,0OSROf38sIH5vvq33dTTtp
45,Defoluyorum,Emir Can İğrek,385345,2020-01-10--2020-01-17,tr,2fvT2Y3xXxjNLxZgV4Si9t
46,Şaraplar ve Kadınlar,Mert Şenel,378805,2020-01-10--2020-01-17,tr,2kQTQ4x3tG1BcBA4nFp6qf
47,Vazgeçtim İnan,Sagopa Kajmer,364023,2020-01-10--2020-01-17,tr,3AcW8pLpwabvsvAJSJMqbw
48,Neyim Var Ki (feat. Sagopa K),Ceza,357023,2020-01-10--2020-01-17,tr,09XOVDSIbBxBf6Kr1vGnHf
49,Manzaralar,Patron,351743,2020-01-10--2020-01-17,tr,7CyKxThAhId8fyIauqLHyU
50,Yeniden,BEGE,339733,2020-01-10--2020-01-17,tr,7iQYp6Fp3xFFatU20GZtLe
