position,track name,artist,streams,region,date,spotify_id
1,The Box,Roddy Ricch,24118640,2020-01-17--2020-01-24,us,0nbXyq5TXYPCO7pr3N8S4I
2,Godzilla (feat. Juice WRLD),Eminem,15885437,2020-01-17--2020-01-24,us,7FIWs0pqAYbP91WWM0vlTQ
3,Life Is Good (feat. Drake),Future,15018838,2020-01-17--2020-01-24,us,5yY9lUy8nbvjM1Uyo1Uqoc
4,Good News,Mac Miller,11115754,2020-01-17--2020-01-24,us,1DWZUa5Mzf2BwzpHtgbHPY
5,ROXANNE,Arizona Zervas,9144336,2020-01-17--2020-01-24,us,696DnlkuDOXcMAnKlTgXXK
6,Blue World,Mac Miller,7899988,2020-01-17--2020-01-24,us,2hwOoMtWPtTSSn6WHV7Vp5
7,BOP,DaBaby,7819132,2020-01-17--2020-01-24,us,6Ozh9Ok6h4Oi1wUSLtBseN
8,Suicidal,YNW Melly,7452633,2020-01-17--2020-01-24,us,1iSqfoUFnQwV0QW1EfUit8
9,Circles,Post Malone,7232553,2020-01-17--2020-01-24,us,21jGcNKet2qwijlDFuPiPb
10,Falling,Trevor Daniel,7209521,2020-01-17--2020-01-24,us,4TnjEaWOeW0eKTKIEvJyCa
11,Circles,Mac Miller,7124530,2020-01-17--2020-01-24,us,4jXl6VtkFFKIt3ycUQc5LT
12,You should be sad,Halsey,7024529,2020-01-17--2020-01-24,us,7lidXGPXPYLNThITAOTlkK
13,Dance Monkey,Tones And I,6565240,2020-01-17--2020-01-24,us,1rgnBhdG2JDFTbYkYRZAku
14,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6400242,2020-01-17--2020-01-24,us,6Gg1gjgKi2AK4e0qzsR7sd
15,Blinding Lights,The Weeknd,6375572,2020-01-17--2020-01-24,us,0sf12qNH5qcw8qpgymFOqD
16,I Can See,Mac Miller,6356883,2020-01-17--2020-01-24,us,3R8CyhJfVjvgIROd5RSGhQ
17,Yummy,Justin Bieber,6290246,2020-01-17--2020-01-24,us,41L3O37CECZt3N7ziG2z7l
18,Ballin' (with Roddy Ricch),Mustard,6252784,2020-01-17--2020-01-24,us,3QzAOrNlsabgbMwlZt7TAY
19,Futsal Shuffle 2020,Lil Uzi Vert,6219042,2020-01-17--2020-01-24,us,2Ec33AVlkTTq8BHFgBTdQs
20,Unaccommodating (feat. Young M.A),Eminem,5944768,2020-01-17--2020-01-24,us,0q2vG0UVuy6ajjcpkQHdZM
