Track Name,spotify_id,Artist,Streams
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,53290933
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,46620942
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,42107086
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,41037834
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,34546244
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,34322362
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,32338404
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,31097358
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,30272045
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,29283394
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,29199589
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,28490428
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,28101189
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,27929403
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,26637113
Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Rombai,26554392
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,24484129
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,23862558
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,23855903
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,22887463
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,22618039
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,22431038
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,22235114
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,21710616
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,20650504
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,20461705
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,20043620
Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Dame 5,19175379
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,19119518
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,19111865
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,18935579
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,18489756
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,18137591
Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I,Charly Black,17749435
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,17244054
Amor para un Rato,47EEKhimMiDtUfYNR5Ii58,Olvidate!,16937817
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,15937862
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,15853985
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,15765761
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,15621431
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,15234388
Criminal,2SmgFAhQkQCQPyBiBxR6Te,Natti Natasha,15114980
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,14587866
El Farsante,5EId1m4DNwTf3at31w8bPJ,Ozuna,14423838
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,14366018
Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Shakira,14245615
Una y Otra Vez,3VSt7R9LHTomKGP1RhkvuT,Rombai,13955619
Tu Foto,0Szp49tpFasIjX04Mcsydp,Ozuna,13832886
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,13553651
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,13340435
