Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,87950347.0
Hear Me Now,1a5Yu5L18qNxVhXx38njON,Alok,72929834.0
Fazer Falta,6pSYjx66rlqRmGGTHhnjCo,Mc Livinho,61115787.0
Raspão (feat. Simone & Simaria) - Ao Vivo,6gquljDBW7rE6mCBzmTRxo,Henrique & Diego,59808272.0
Te Assumi Pro Brasil - Ao Vivo,2d3TbSkAscvT3QRQalq6uT,Matheus & Kauan,58347945.0
Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),0u8aj0c4IxeVSLTUuuq9V5,Nego do Borel,55294277.0
Regime Fechado - Ao Vivo,6UZJOc2HBrTp9DYfir9N8n,Simone & Simaria,52550078.0
Deixe Me Ir - Acústico,2srL4DYBekshpbprS6H0mO,1Kilo,51337633.0
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,50700212.0
Vai Embrazando,1zhfU6YXa2pXUAQdG1NvBZ,Mc Zaac,50453234.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,49708176.0
Sua cara (feat. Anitta & Pabllo Vittar),3ibRxEv4KkcU9e259eyNJA,Major Lazer,48605991.0
Never Let Me Go,06ZpMjkNdIDKVf3mK29UiC,Alok,48536113.0
Acordando o Prédio,40bK2uosUmAS92c17n98xd,Luan Santana,48481813.0
Loka,257tme6AhneIKAqVF1HTH4,Simone & Simaria,47458098.0
Paradinha,05rJdH2MRLJ3sQoEUO78qs,Anitta,45945692.0
O Grave Bater,1bUazU9SSOh02AdlOPeTvm,MC Kevinho,45061722.0
Bum Bum Tam Tam,7KBfjlQ85Fqs2MCCvXSW0c,MC Fioti,44912067.0
Sorte Que Cê Beija Bem - Ao Vivo,4YV827A7aWVswtyt0eWoWM,Maiara & Maraisa,44667057.0
Paredes - Ao Vivo,2GfxgssRHvY1azHtaRqKoK,Jorge & Mateus,44447147.0
Ninguém É de Ferro,1e315r3zQjsng2z952ePQ1,Wesley Safadão,41336493.0
Cara Bacana,4BjPsq3MXBNo4Qxg40igEr,MC G15,40743008.0
Ar-Condicionado No 15 - Ao Vivo,5ac0YTpOaDX9wEYYyGCglL,Wesley Safadão,39240238.0
E Essa Boca Aí? - Ao Vivo,6vve9WKW5I7fQzkU8dNsUE,Bruninho & Davi,39218734.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,39153694.0
Encaixa,7yYOMPwpV5CsK0cxoAZT6B,MC Kevinho,38854886.0
Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo,5SnQDj5REQVvAdSlhqkEcE,Henrique & Diego,38518542.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,37949963.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,37593529.0
Vidinha de Balada - Ao Vivo,2g2ZjM1GjY9Lf2Ff0L94Ul,Henrique & Juliano,37214026.0
De Quem É a Culpa? - Ao Vivo,4YhPcVIxIAJrLhFVPGbJkE,Marília Mendonça,36122096.0
Como Faz Com Ela - Ao Vivo,2Gvn46nwyQhUnQiFhlP7WX,Marília Mendonça,35883633.0
Trevo (Tu),6bgQIw80xWC3MPZX4kVYGw,ANAVITÓRIA,33607507.0
Esqueci Como Namora (feat. Maiara & Maraisa),6zZw7RPIs3IxDghP4UvWcY,Nego do Borel,32152120.0
Corpo Sensual (feat. Mateus Carrilho),4kkQGhScJDzNIIGavQE9SN,Pabllo Vittar,31406765.0
Decide Aí - Na Praia / Ao Vivo,0jIitZeIQRTaZgFQf2WpGK,Matheus & Kauan,31395647.0
K.O.,5zSiXA70xM4kuSt6qim6jl,Pabllo Vittar,31163032.0
Meu Coração Deu PT - Ao Vivo,6zCqeUUqLb2CapBmVwAHll,Wesley Safadão,30907705.0
Pra Sempre Com Você - Ao Vivo,2KGv51jgAz8OTjNPyRryfq,Jorge & Mateus,30877618.0
Se o Amor Tiver Lugar,4sFVdIwmVj2y87qqOWwSU3,Jorge & Mateus,30866710.0
Vidinha de Balada - Ao Vivo,4FHw39Ke6pVt5tNKvLr4r3,Henrique & Juliano,30840077.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,30790622.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,30518234.0
Amante Não Tem Lar - Ao Vivo,6P8v1a8jyfwG5kc7Si1kUp,Marília Mendonça,30406122.0
Eu Sei de Cor - Ao Vivo | Acústico,45wqPwIH4A5cr2IyyD4WKf,Marília Mendonça,30281225.0
Agora Vai Sentar,0pDaqgIForVNO4jrtTxcWT,MC's Jhowzinho & Kadinho,30200887.0
Medida Certa,44mr3ypWNHa0inr3heiOb2,Jorge & Mateus,30114666.0
Rabetão,2evRcqkyzWqaD9DJtP2oaU,MC Lan,29975002.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,29074727.0
Medo Bobo - Ao Vivo,2CW04trIoYMbroZWDzPAjs,Maiara & Maraisa,28980669.0
