Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,9099949.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,5618473.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,4262035.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,4043985.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,3714220.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,3707774.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,3547583.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,3446026.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,3378993.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,3352052.0
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,3327139.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,3284112.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,3193309.0
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,3133030.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,3131708.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,3037965.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,2992011.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,2976171.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,2975023.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,2929118.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,2927917.0
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,2872433.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,2868540.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,2865968.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,2842816.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,2812586.0
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,2808240.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,2796497.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,2758311.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,2715383.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,2561194.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,2550435.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,2518930.0
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,2486969.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,2459683.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,2426644.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2393184.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,2376402.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,2366547.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,2288507.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,2196298.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,2150023.0
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,2138425.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,2135261.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,2082404.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,2075812.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,2068187.0
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,2032485.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,1967673.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,1928160.0
