Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,7258152
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,6463075
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,6294007
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,4204727
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,4052402
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,3992308
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,3704075
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,3651752
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,3487442
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,3465603
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,3139938
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,2895434
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,2851327
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,2772905
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,2713976
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,2679992
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,2666748
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,2646108
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,2640331
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,2537129
Chillax (feat. Ky-Mani Marley),1lxswgIpzV6HhENRvkflES,Farruko,2528536
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2430763
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,2406611
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,2392162
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,2326894
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,2302890
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,2300553
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,2227667
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,2196575
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,2157123
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,2129207
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,2116923
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,2048927
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,2028526
Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,2023449
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,1968248
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,1933741
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,1931702
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,1898311
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1892351
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,1886101
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,1870867
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,1869939
Photograph,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,1838658
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1819574
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1806244
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,1801571
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,1738385
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,1736935
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,1690500
