Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,4177242
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2390971
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,2283680
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,2263572
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,1919292
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,1874163
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,1710251
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1673854
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,1652100
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,1614381
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,1603544
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,1591207
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1583250
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,1542728
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,1452387
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,1435936
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,1367945
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,1365009
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,1341118
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1303889
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,1261044
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,1223047
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1201044
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1194796
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,1168581
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,1138584
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,1127610
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,1117135
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,1113038
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,1101730
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,1093359
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1084489
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,1084444
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,1075010
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,1051380
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,1037828
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1026184
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,1019592
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,1016862
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1008401
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,1003220
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,1002650
Whatever It Takes,4IWAyPf1KMq7JCyGeCjTeH,Imagine Dragons,954787
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,947035
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,939653
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,931281
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,913583
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,886886
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,866869
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,847183
