Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,23336797
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,20607698
Rica (feat. Kesi & Sivas),69oJmQ3NnWHQriYQ4L8dKa,Gilli,12662923
Habibi Aiwa,1UUj1iScVn6wOXiBSyBhLn,Gilli,12485338
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,11944685
De Snakker,7c6DueTr5BfxnF4RvtEccH,NODE,11209793
Mamacita (feat. Benny Jamz),5OSH98PlarYwozcSR7lY19,KESI,11199788
Jeg Har En Pige,3cJ0Fyr8C8blcaAZTYRLMN,Skinz,11125525
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,10587124
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,10397136
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,9775601
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,9484646
Deja vu,4MV2H0Jeh08sv5L5IU7fGn,Scarlet Pleasure,9373877
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,9111777
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,9030677
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,8741888
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,8709622
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,8539793
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,8430096
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,8373476
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,8302568
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,8146837
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,8110030
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,8080857
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,7991140
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,7929796
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,7876410
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,7779820
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,7662125
Limbo,6Kc6w3BTFqDTGgB2vasbek,Scarlet Pleasure,7562664
La Varrio (El Barrio),10mqz0d6uiVNYa1ng4QlWl,Gilli,7534160
"Skejsen (feat. Benny Jamz, Gilli & MellemFingaMuzik)",4hI5PS8GWCftS1AUgNlJV1,Molo,7371223
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,7355131
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,7346982
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,7242900
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,7218816
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,7184053
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,7096816
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,7081730
Helwa,7uXAWHUWb9XiR7tXoLw4uD,Gilli,7034267
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,6979037
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,6838497
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,6820497
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,6755807
God Dag,4Jg4Qp4byYVpJ5m5NpiLa9,KESI,6730986
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,6694329
"Bølgen (feat. Benny Jamz, Gilli & MellemFingaMuzik)",7c5Ny3skYBWh5ByNpaUcZZ,Molo,6677816
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,6663042
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6640624
Friends (with BloodPop®),7nZmah2llfvLDiUjm0kiyz,Justin Bieber,6634192
