Track Name,spotify_id,Artist,Streams
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,2257636
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,2249316
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2205547
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2001136
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1820310
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1819316
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1818843
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1553359
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1550450
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,1514202
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,1484171
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,1382605
Caile (feat. Zion & De La Ghetto),626rYyBfeAeleh1F5t4B70,Revol,1296775
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1282147
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,1266763
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1248906
Pa Ti,17nOaHsTn06jxuU9NpHuFU,Bad Bunny,1189736
No Te Hagas,5hKjEpYrJIJs6uPl7zw6Y6,Jory Boy,1189612
Bebe (feat. Anuel AA),6SIrNxmmdbv1KUbFBu1PaN,Ozuna,1179530
Me Mata,2wgDAPgBhFA7pnIbm0YOhP,Bad Bunny,1147830
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,1137349
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1104835
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1095581
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1078854
El Farsante,5EId1m4DNwTf3at31w8bPJ,Ozuna,1057061
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1053972
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),6NSMQFKgjpQb0KkjMDYIK0,Arcangel,999390
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,930476
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,926488
Imitadora,6r46lnXFbE9fr2d3KNaGbe,Romeo Santos,922576
Un Ratito Mas,21lnmphofXWWeSSx0PEMjc,Bryant Myers,919490
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,915730
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,905051
Diabla - Official Remix,2OxUtaKYeahAGNaBiahXtR,Farruko,894443
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,879135
Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,Ozuna,875822
Tu Foto,0Szp49tpFasIjX04Mcsydp,Ozuna,873386
Privado,11zRKpjEZwmcBBBGzB4pMn,Rvssian,871146
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,865804
La Última Vez,4J1e3hbf0e5YUZjkxyJWD3,Anuel AA,863953
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,856124
Tu No Metes Cabra,10nQ3Pj0o1XotcikgJPVKD,Bad Bunny,852759
Chillax (feat. Ky-Mani Marley),1lxswgIpzV6HhENRvkflES,Farruko,833122
Vuelve,0lJCqIx5BhZtf6QtYI2fbv,Daddy Yankee,833060
Ahora Me Llama,61HHDBLqF3AmSvLfHKNGd2,KAROL G,826518
Ayer,1cnkBW0kaDEFnKHOdJTOoh,Amenazzy,813148
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,812731
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,809117
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,807985
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,803132
