Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,5986339
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,5706587
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,5196498
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,4591698
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,3927847
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,3690272
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,3615998
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,3553833
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,3196598
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,3185029
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,3136085
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,3129085
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,3003421
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,2950148
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,2844462
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,2807534
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,2709972
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,2684533
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,2658500
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,2571229
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,2544672
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,2440516
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,2416534
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,2301747
Vivo Pensando En Ti (feat. Maluma),0H7cz1bR7w9PulJL7Na774,Felipe Peláez,2274213
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,2270139
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,2184670
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,2171388
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,2155442
Besame,7Ckhk1XW5NV2k4jpqtQNlz,Valentino,2064488
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,2018958
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,2018875
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,1998847
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,1996965
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,1985380
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,1982254
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1973866
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,1936125
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,1916071
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1857101
Sé Que Te Duele,5vZfgeDfNhlkKeJqjzSAmg,Alejandro Fernández,1812227
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1770632
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1723501
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,1715119
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,1688926
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,1644954
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,1635587
Chillax (feat. Ky-Mani Marley),1lxswgIpzV6HhENRvkflES,Farruko,1616927
Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Shakira,1531112
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,1500473
