Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,14653330
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,12087595
Antaudun,4waYSI6TTW0guhTJc4gWzq,Reino Nordin,11055210
Hula Hula,5WytJMdICvcrJF6JY0W4pl,Robin,8175573
Liikaa Sussa Kii,0MEuAbpzkCXjFu2ey5vKaD,Mikael Gabriel,8129902
Kylmii Väreitä,7MddwdpQ7sh3Pi1xHUSr4K,Evelina,8126569
Hulluuden Highway,1RPMDcIljymdp7dSgTfhls,Haloo Helsinki!,7888212
Rahan takii,4UDDfd77rlXmNjgW1NKhWq,Antti Tuisku,7735013
Karjala Takas,1PZNjZOmm3ZmaWkqvmJpaY,Portion Boys,7409610
Sitä säät mitä tilaat (feat. Ellinoora),5DTBkAANRc9K2B2uZ9aVCU,JVG,7294773
Älä jätä roikkuu,7m7vqt0dQ3HXHSzLPMlFg3,JVG,7068953
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,6754549
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6739098
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,6519998
Juna,5fB7KNzDNtTLWAa6D2zcBJ,Spekti,6449194
Hanuri (feat. Boyat),7CI9dousrqQ0uf4DSbaaEF,Antti Tuisku,6236608
Pettävällä Jäällä - Vain Elämää Kausi 6,2C7Yzl61H8BE3EbK2Qk1sM,Nikke Ankara,6218302
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,6186166
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6036445
Meidän biisi,3nSiEJPNSH86D7JTFsyyly,Arttu Wiskari,5889841
Riippumatto,5OFJyq8UpmRbU6fE3inXfg,Mikael Gabriel,5807476
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,5790927
Tanssi se ulos (feat. Ellinoora),1jFYy4KngiDNpG5yw6cOQA,Roope Salminen & Koirat,5786799
Mä En Kestä,4lLL9uT4lun5BKt3ouOhxO,Laura Voutilainen,5718221
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,5658502
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,5656339
Alone,0JiVRyTJcJnmlwCZ854K4p,Alan Walker,5573695
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,5543163
Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5524249
Tornado,3seNictp7GWitSNKlujwnY,Evelina,5489874
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,5468274
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,5452282
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,5452238
Filmi katkee (feat. Aste),2G6x5MCndBRioc5CiMSDMx,Aleksanteri Hakaniemi,5437332
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,5386688
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,5285587
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,5142974
Vielä kerran (feat. Tommi Läntinen),5fMQc6FZhqvt0gtR7l7jiy,Yksi Totuus,5137478
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,4956954
Kumiankka,64ccWAY1LFSlXoXsn9oNHO,Herrat,4929909
California Dreaming (feat. Snoop Dogg & Paul Rey),5DOP9l0x4NvCIsS1tOGrre,Arman Cekin,4904941
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,4903023
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,4860730
Mixet Tahdo,53nNxpVCDUwblGyAazoSS8,Mäkki,4813709
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,4776400
Keinu (Vain elämää kausi 7),5RLL3hPFVU3wfib1YijpvE,Jenni Vartiainen,4721975
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,4671939
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,4665669
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,4664274
Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],1g5ekWqRgWCxG2vX14EFzn,SANNI,4662165
