Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2096820
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1840764
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1763280
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1566792
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1382553
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1364947
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1297921
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1252451
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1218915
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,1211137
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,1022625
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1000764
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,999630
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,913565
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,897984
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,894144
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,850532
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,846376
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,830723
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,806098
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,795072
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,783106
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,773340
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,749068
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,733645
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,725018
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,720739
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,694849
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,692581
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,691595
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,684202
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,682653
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,682104
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,677899
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,647439
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,638403
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,638211
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,624539
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),6NSMQFKgjpQb0KkjMDYIK0,Arcangel,601757
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,597645
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,593578
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,588674
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,587918
Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,Ozuna,585937
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,578901
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,578759
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,574107
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,573618
Caile (feat. Zion & De La Ghetto),626rYyBfeAeleh1F5t4B70,Revol,559881
No Te Hagas,5hKjEpYrJIJs6uPl7zw6Y6,Jory Boy,545951
