Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,3439352
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,1879662
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,1860944
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1741102
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1620242
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1618195
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,1514409
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,1423919
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,1339719
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1313404
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,1307998
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,1305726
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1279543
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,1267333
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,1240305
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,1234873
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,1213358
Tuesday,7abpmGpF7PGep2rDU68GBR,Burak Yeter,1207031
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,1197870
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,1141516
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,1098591
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,1093857
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,1065490
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1022805
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,1003781
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,992054
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,947976
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,939993
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,916812
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,904514
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,903079
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,865989
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,863267
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,859255
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,846189
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,845503
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,831336
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,820048
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,808332
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,792179
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,784830
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,763166
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,759211
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,753411
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,752626
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,750078
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,743034
Chained To The Rhythm,6520aj0B4FSKGVuKNsOCOi,Katy Perry,742219
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,713508
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,712662
