Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,684529
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,381378
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,353357
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,337166
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,295881
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,267889
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,261037
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,257100
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,256955
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,250305
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,249111
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,247206
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,246707
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,245740
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,245204
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,244213
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,241224
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,239933
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,237211
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,237109
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,236381
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,226697
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,222621
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,222247
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,219556
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,216407
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,215093
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,202930
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,199258
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,195630
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,187075
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,187019
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,185468
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,184649
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,182265
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,181993
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,179599
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,179498
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,177589
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,177188
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,175455
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,174272
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,166855
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,165406
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,164885
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,164837
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,161233
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,160848
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,159410
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,154484
