Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,799763.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,738011.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,725483.0
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,472726.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,445659.0
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,445156.0
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,435581.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,433756.0
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,422409.0
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,398980.0
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,386157.0
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,366067.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,349517.0
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,341366.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,327290.0
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,319380.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,313415.0
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,311368.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,285582.0
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,285489.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,282973.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,276767.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,271952.0
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,271560.0
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,270151.0
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,267168.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,266330.0
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,266142.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,259131.0
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,258594.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,257573.0
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,256372.0
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,252947.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,249010.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,248241.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,246005.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,244238.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,243186.0
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,243117.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,242198.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,240732.0
I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,Mike Posner,232883.0
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,232366.0
La Bicicleta,0sXvAOmXgjR2QUqLK1MltU,Carlos Vives,229711.0
No Lie,3cFsmM51N5zMAuu1nNY4Tw,Sean Paul,228503.0
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,223825.0
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,223322.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,222006.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,220985.0
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,220689.0
