Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,29030783.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,28176606.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,23272910.0
Fy Faen,6EcTjceNc3WhEqrWzXIFwA,Hkeem,19112855.0
Tuesday,7abpmGpF7PGep2rDU68GBR,Burak Yeter,16121146.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,15155359.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,14885250.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,14570718.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,14096230.0
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,13735676.0
One Night Stand,0mYH2p6u1gyi3k40xEOvUT,Vidar Villa,12537529.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,12521894.0
Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,12316177.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,12213777.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,12127594.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,12050354.0
First Time,2Gl0FzuLxflY6nPifJp5Dr,Kygo,11957313.0
Think Before I Talk,0Clb9aiXWa0dvVff5aN4VN,Astrid S,11729618.0
Håper du har plass,7FNyRafAkUgto3txPZhiO6,Cezinando,11386676.0
Such A Boy,7jHzO2EPJzt1JgHQ80aRu0,Astrid S,11302177.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,11277847.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,11272290.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,10965019.0
Alone,0JiVRyTJcJnmlwCZ854K4p,Alan Walker,10924822.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,10688618.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,10647138.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,10599870.0
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,10579089.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,10478213.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,10471588.0
Weak,3E2Zh20GDCR9B1EYjfXWyv,AJR,10463924.0
Skin,6y2Kaz9QI01XBKJ8mTb7Pf,Rag'n'Bone Man,10374745.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,10305185.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,10304749.0
Rich Love (with Seeb),7aF09WaavZAmAWuUeYxlYD,OneRepublic,10260308.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,10020121.0
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,9955513.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,9931737.0
Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,9799499.0
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,9779275.0
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,9754427.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,9750103.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,9715527.0
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,9486027.0
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,9230487.0
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,9126729.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,9116440.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,9076972.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,9060912.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,8792753.0
