Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,11771190.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,7872334.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,7744820.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,6194354.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,6018216.0
Location,152lZdxL1OR0ZMW6KquMif,Khalid,5846670.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,5840008.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,5839890.0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,5687791.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,5675076.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,5664272.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,5626290.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,5576485.0
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,5433777.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,5414097.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,5396081.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,5350031.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,5194599.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,5092030.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,5059846.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,4963320.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,4898816.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,4882580.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,4882524.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,4829263.0
Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,4765286.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,4758257.0
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,4737224.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,4552336.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,4545969.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,4515902.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,4444906.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,4437869.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,4415067.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,4259271.0
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,4164179.0
Green Light,0gbBzIqrECJOEPvQJIBFs5,Lorde,4091791.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,4070464.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,3984799.0
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,3916054.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,3866985.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,3848799.0
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,3707890.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,3693294.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,3671200.0
Options (feat. Stephen Marley),1B0DvDgNgvmccdfdEK4wB5,Pitbull,3631528.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,3575683.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,3515729.0
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,3508087.0
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,3489693.0
