Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,54471093.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,43866474.0
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,40523219.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,40006391.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,37242662.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,34283102.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,33103745.0
Malaya (Camp Sawi Original Motion Picture Soundtrack),6M21eWbEw74XDdoQsNIinq,Moira Dela Torre,30380857.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,27071548.0
Dahil Sa'Yo,4ai7c2BUjNpElhZdZDH7qF,Inigo Pascual,27052729.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,26152218.0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,25809890.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,24741862.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,24596529.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,23941595.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,23534155.0
Super Far,74ODGXs4byLTRdnKGM4s6E,LANY,23318952.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,23279374.0
Sila,2IMODbij0lZ5CuAjZi0IDE,SUD,23023565.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,22850122.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,22700321.0
Fresh Eyes,4nMlau89VAjmV7agkl7OY3,Andy Grammer,22487057.0
Tadhana,6NFKf8vBApSvtzkapYmnVR,Up Dharma Down,22124289.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,22067456.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,21787813.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,21224326.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,20618220.0
It's Gotta Be You,6cAKeFFYW2aClZSUyvqAEW,Isaiah Firebrace,20515204.0
Hiling,6xQs6y6CpDqK9VKCktApEL,Mark Carpio,20035737.0
Starving,1qOLh0tI7trd1zdDKxYZTe,Hailee Steinfeld,19801144.0
Why Can't It Be,0zFYa7NIpKhmom8zrZx7Ga,Kaye Cal,19526893.0
Pasensya Ka Na,0YyM8aEdbjGfLWPn6fdcn7,Silent Sanctuary,19097804.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,18830563.0
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,18813964.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,18769342.0
Hanggang Kailan,01YEqVPCm0vqRLA9w43bic,Michael Pangilinan,18262013.0
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,18035754.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,17365840.0
Touch,5Ua3GXyHwiSfpNTMjq6m2z,Little Mix,17265853.0
"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",46ixegtxjERQMCutmp09Sa,KZ Tandingan,16946336.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,16908810.0
Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y,Sam Smith,16548643.0
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,16431627.0
24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,16348511.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,15948228.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,15905179.0
Photograph,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,15712929.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,15377535.0
Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r,Maroon 5,15253878.0
All We Know,2rizacJSyD9S1IQUxUxnsK,The Chainsmokers,15199262.0
