Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1187409.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,686081.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,685989.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,666420.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,639650.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,500362.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,486860.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,471981.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,468272.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,466949.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,466321.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,466011.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,460473.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,449272.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,444742.0
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,442623.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,442148.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,416083.0
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,412203.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,411195.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,400107.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,391759.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,391159.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,390256.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,378952.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,378865.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,378556.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,369706.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,361801.0
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,361646.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,360616.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,359615.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,355807.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,347193.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,340905.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,340836.0
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,334667.0
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,323814.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,323641.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,316969.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,315599.0
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,313584.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,311887.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,307416.0
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,303989.0
Friends (with BloodPop®),7nZmah2llfvLDiUjm0kiyz,Justin Bieber,303307.0
Tuesday,7abpmGpF7PGep2rDU68GBR,Burak Yeter,302917.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,301928.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,298857.0
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,292568.0
