Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,1908760.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1628768.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1474335.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1288262.0
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1121652.0
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1118743.0
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1101428.0
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1065761.0
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,979534.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,974179.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,950352.0
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,936057.0
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,898191.0
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,857387.0
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,852081.0
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,831433.0
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,779342.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,759393.0
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,723705.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,699843.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,673597.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,673195.0
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,653397.0
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,653011.0
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,652830.0
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,612695.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,602362.0
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,591834.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,590076.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,575447.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,572386.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,567731.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,566887.0
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,565702.0
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,559233.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,555609.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,555423.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,536751.0
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,533677.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,522983.0
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,522554.0
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,504990.0
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,504383.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,503263.0
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,501569.0
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,494055.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,493501.0
In the Name of Love,04DwTuZ2VBdJCCC5TROn7L,Martin Garrix,488385.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,485235.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,474168.0
