Track Name,spotify_id,Artist,Streams
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,7310885.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,7299730.0
演員,6LunoYd3xpZ19sICOXS8Xd,Joker Xue,4784426.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,4133274.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,4105538.0
魚仔 - 電視劇<花甲男孩轉大人>主題曲,2sb6AZQLeoD3VgA4zglQB6,Crowd Lu,4069390.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,3788251.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,3687500.0
光年之外 (電影 《Passengers》 中國區主題曲),1bkvGbgK4HU8B7Ue4k7O7I,G.E.M.,3666078.0
飄向北方,5mS0BGxAAebA3amJg6LkVk,Namewee,3504100.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,3467204.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,3402238.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,3335666.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,3172281.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,3020706.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,2834001.0
"不曾回來過 - 電視劇""通靈少女""插曲",6QAn6Crff7sfcqC83fH7dd,李千那,2754473.0
你啊你啊 - 電視劇「用九柑仔店」插曲,4nyO1azSuhT5JrETvzEahs,Waa Wei,2719139.0
年輪說,51PYzHOuwTngW2whaPoYFW,Rainie Yang,2704188.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,2686543.0
後來的我們,0qepAQsUGIzofBj82iP17C,Mayday,2678558.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,2647364.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,2568396.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,2521466.0
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2gug6MRv4xQFYi9LA3PJCS,Eric Chou,2487202.0
不為誰而作的歌,0VqSdtXseb9khdZrnYVyM1,JJ Lin,2414097.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,2410437.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,2358181.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,2294627.0
Stay With Me,1HYzRuWjmS9LXCkdVHi25K,CHANYEOL,2289074.0
Faded,7gHs73wELdeycvS48JfIos,Alan Walker,2244140.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,2176826.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,2175124.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,2172039.0
帥到分手,2tG6FZtaX5NPWFA64d8DWz,NICKTHEREAL,2139484.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,2057021.0
謝謝妳愛我,2mjJn3jZaam3Z7qgtKMNrq,R-chord,1993552.0
家家酒,6cqG6uyhuGDqsRyBwFrzxJ,Jia Jia,1985323.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1967344.0
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,1967106.0
刚好遇见你,262Q20zX8BmAOIA6cFB2t9,Li Yugang,1959587.0
以後別做朋友,7zyYmIdjqqiX6kLryb7QBx,Eric Chou,1954532.0
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,1935327.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,1928387.0
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,1894368.0
We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,Charlie Puth,1877336.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,1875480.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1874848.0
讓我留在你身邊,07MNtfddtgCo6VrUm3O9dw,Eason Chan,1872598.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,1870994.0
