Track Name,spotify_id,Artist,Streams
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,3428318.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2808433.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2610908.0
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,2312236.0
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,2157353.0
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1995304.0
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1959360.0
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1945883.0
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1878009.0
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1849212.0
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1826071.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,1767766.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1762248.0
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,1756423.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1751501.0
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,1699672.0
Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Rombai,1684301.0
Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Dame 5,1676122.0
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1548637.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,1537400.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1522349.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1445467.0
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,1395031.0
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1377196.0
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,1369996.0
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,1343405.0
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,1343038.0
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,1333588.0
Amor para un Rato,47EEKhimMiDtUfYNR5Ii58,Olvidate!,1318555.0
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,1315340.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1289799.0
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,1284935.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,1179232.0
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,1164616.0
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,1137179.0
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,1132699.0
Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I,Charly Black,1096357.0
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,1085505.0
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,1083511.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,1071638.0
Carnavalintro,0tGAPnTFwRJA6FZgYZ0BAe,CHANO,1067676.0
Una y Otra Vez,3VSt7R9LHTomKGP1RhkvuT,Rombai,1054454.0
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,1054376.0
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,1033521.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1002187.0
Criminal,2SmgFAhQkQCQPyBiBxR6Te,Natti Natasha,995415.0
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,984391.0
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,972626.0
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,952185.0
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,898654.0
