Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,53290933,0.66,0.846,0.786
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,46620942,0.744,0.426,0.804
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,42107086,0.755,0.737,0.789
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,41037834,0.825,0.931,0.652
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,34546244,0.708,0.427,0.693
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,34322362,0.683,0.732,0.691
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,32338404,0.747,0.754,0.864
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,31097358,0.685,0.891,0.859
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,30272045,0.761,0.71,0.838
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,29283394,0.832,0.704,0.772
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,29199589,0.792,0.433,0.819
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,28490428,0.543,0.294,0.677
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,28101189,0.782,0.884,0.868
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,27929403,0.76,0.745,0.838
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,26637113,0.639,0.767,0.869
Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Rombai,26554392,0.588,0.937,0.682
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,24484129,0.852,0.907,0.773
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,23862558,0.743,0.871,0.855
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,23855903,0.684,0.647,0.823
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,22887463,0.889,0.922,0.853
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,22618039,0.776,0.661,0.669
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,22431038,0.739,0.693,0.821
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,22235114,0.774,0.388,0.611
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,21710616,0.694,0.813,0.815
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,20650504,0.791,0.71,0.866
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,20461705,0.685,0.786,0.731
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,20043620,0.772,0.694,0.909
Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Dame 5,19175379,0.771,0.433,0.906
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,19119518,0.761,0.619,0.82
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,19111865,0.663,0.533,0.92
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,18935579,0.788,0.86,0.477
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,18489756,0.761,0.813,0.829
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,18137591,0.508,0.555,0.687
Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I,Charly Black,17749435,0.723,0.701,0.889
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,17244054,0.771,0.817,0.835
Amor para un Rato,47EEKhimMiDtUfYNR5Ii58,Olvidate!,16937817,0.767,0.785,0.82
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,15937862,0.68,0.521,0.954
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,15853985,0.745,0.651,0.921
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,15765761,0.489,0.518,0.962
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,15621431,0.724,0.496,0.809
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,15234388,0.74,0.948,0.879
Criminal,2SmgFAhQkQCQPyBiBxR6Te,Natti Natasha,15114980,0.816,0.822,0.806
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,14587866,0.817,0.561,0.869
El Farsante,5EId1m4DNwTf3at31w8bPJ,Ozuna,14423838,0.735,0.323,0.703
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,14366018,0.688,0.695,0.859
Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Shakira,14245615,0.75,0.893,0.76
Una y Otra Vez,3VSt7R9LHTomKGP1RhkvuT,Rombai,13955619,0.685,0.892,0.799
Tu Foto,0Szp49tpFasIjX04Mcsydp,Ozuna,13832886,0.735,0.795,0.482
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,13553651,0.69,0.731,0.872
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,13340435,0.72,0.742,0.763
