Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,47374704.0,0.825,0.931,0.652
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,32217601.0,0.694,0.813,0.815
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,32008180.0,0.908,0.421,0.621
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,25749144.0,0.63,0.492,0.804
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,25258760.0,0.62,0.357,0.574
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,24788175.0,0.617,0.446,0.635
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,24188305.0,0.762,0.608,0.7
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,23828595.0,0.869,0.527,0.485
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,23805765.0,0.679,0.498,0.634
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,23691022.0,0.461,0.471,0.834
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,23112363.0,0.6,0.298,0.81
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,23052638.0,0.624,0.781,0.876
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,22695218.0,0.774,0.777,0.626
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,22546450.0,0.798,0.394,0.539
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,22366634.0,0.857,0.966,0.8
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,22124693.0,0.768,0.418,0.517
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,22062580.0,0.707,0.457,0.629
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,21950416.0,0.726,0.733,0.769
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,21703692.0,0.577,0.119,0.522
Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,21536718.0,0.745,0.607,0.356
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,21149481.0,0.671,0.632,0.672
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,20821848.0,0.752,0.419,0.505
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,20638238.0,0.67,0.717,0.838
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,20634342.0,0.853,0.86,0.56
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,20539879.0,0.64,0.515,0.533
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,20509236.0,0.609,0.811,0.668
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,20455476.0,0.599,0.168,0.448
Location,152lZdxL1OR0ZMW6KquMif,Khalid,20052866.0,0.736,0.326,0.449
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,19819785.0,0.703,0.733,0.868
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,19776254.0,0.809,0.364,0.463
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,19569772.0,0.735,0.0862,0.451
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,19468056.0,0.52,0.286,0.761
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,19071360.0,0.893,0.872,0.745
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,17913834.0,0.696,0.782,0.817
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,17253371.0,0.736,0.511,0.795
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,17239403.0,0.741,0.595,0.667
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,17089688.0,0.358,0.494,0.557
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,16964091.0,0.653,0.219,0.658
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,16836644.0,0.683,0.426,0.427
