Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2493920.0,0.744,0.426,0.804
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1974495.0,0.66,0.846,0.786
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1759062.0,0.825,0.931,0.652
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1710887.0,0.755,0.737,0.789
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1397460.0,0.832,0.704,0.772
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,1356879.0,0.683,0.732,0.691
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,1342329.0,0.788,0.86,0.477
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1308437.0,0.747,0.754,0.864
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1219002.0,0.792,0.433,0.819
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1181481.0,0.543,0.294,0.677
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1175892.0,0.761,0.71,0.838
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,1116766.0,0.76,0.745,0.838
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1105043.0,0.889,0.922,0.853
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1080915.0,0.708,0.427,0.693
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1052867.0,0.639,0.767,0.869
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,986520.0,0.743,0.871,0.855
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,969827.0,0.724,0.496,0.809
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,947024.0,0.776,0.661,0.669
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,930394.0,0.782,0.884,0.868
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,927671.0,0.685,0.891,0.859
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,858126.0,0.852,0.907,0.773
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,857195.0,0.772,0.694,0.909
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,852976.0,0.684,0.647,0.823
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,837680.0,0.817,0.561,0.869
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,837340.0,0.508,0.555,0.687
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,835350.0,0.761,0.813,0.829
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,829688.0,0.745,0.651,0.921
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,815259.0,0.771,0.817,0.835
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,810189.0,0.685,0.786,0.731
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,789875.0,0.688,0.695,0.859
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,768763.0,0.791,0.71,0.866
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,760074.0,0.761,0.619,0.82
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,745020.0,0.694,0.813,0.815
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,735323.0,0.681,0.839,0.788
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,733785.0,0.69,0.731,0.872
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,720782.0,0.489,0.518,0.962
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,700283.0,0.663,0.533,0.92
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,691735.0,0.476,0.142,0.718
Besame,7Ckhk1XW5NV2k4jpqtQNlz,Valentino,671063.0,0.767,0.52,0.705
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,625413.0,0.739,0.693,0.821
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,618130.0,0.748,0.678,0.884
Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Shakira,611373.0,0.75,0.893,0.76
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,608452.0,0.724,0.835,0.84
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,597992.0,0.617,0.446,0.635
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,582200.0,0.68,0.521,0.954
Ando buscando (feat. Piso 21),7BwJtE8KSbCQKOCTIAY3jX,Carlos Baute,576900.0,0.712,0.658,0.841
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,576470.0,0.774,0.777,0.626
Loca (feat. Cali y El Dandee),05ZXXyeZFhZtA6DAP3Aw7x,Maite Perroni,574133.0,0.751,0.639,0.839
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,566244.0,0.696,0.782,0.817
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,564476.0,0.72,0.742,0.763
