Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,4177242,0.825,0.931,0.652
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2390971,0.617,0.446,0.635
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,2283680,0.779,0.708,0.787
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,2263572,0.6,0.298,0.81
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,1919292,0.64,0.515,0.533
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,1874163,0.624,0.781,0.876
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,1710251,0.707,0.457,0.629
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1673854,0.694,0.813,0.815
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,1652100,0.857,0.966,0.8
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,1614381,0.679,0.498,0.634
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,1603544,0.653,0.219,0.658
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,1591207,0.744,0.36,0.836
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1583250,0.66,0.846,0.786
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,1542728,0.735,0.0862,0.451
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,1452387,0.584,0.195,0.54
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,1435936,0.644,0.544,0.743
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,1367945,0.774,0.777,0.626
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,1365009,0.67,0.717,0.838
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,1341118,0.768,0.418,0.517
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1303889,0.762,0.608,0.7
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,1261044,0.461,0.471,0.834
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,1223047,0.611,0.13,0.644
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1201044,0.599,0.168,0.448
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1194796,0.72,0.742,0.763
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,1168581,0.739,0.547,0.792
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,1138584,0.548,0.557,0.65
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,1127610,0.869,0.527,0.485
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,1117135,0.703,0.733,0.868
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,1113038,0.893,0.872,0.745
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,1101730,0.855,0.962,0.624
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,1093359,0.62,0.357,0.574
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1084489,0.543,0.294,0.677
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,1084444,0.741,0.595,0.667
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,1075010,0.696,0.782,0.817
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,1051380,0.653,0.583,0.81
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,1037828,0.683,0.426,0.427
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1026184,0.908,0.421,0.621
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,1019592,0.258,0.0967,0.437
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,1016862,0.602,0.554,0.707
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1008401,0.52,0.286,0.761
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,1003220,0.752,0.419,0.505
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,1002650,0.609,0.811,0.668
Whatever It Takes,4IWAyPf1KMq7JCyGeCjTeH,Imagine Dragons,954787,0.675,0.537,0.649
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,947035,0.577,0.119,0.522
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,939653,0.358,0.494,0.557
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,931281,0.748,0.661,0.524
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,913583,0.801,0.754,0.795
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,886886,0.876,0.682,0.669
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,866869,0.63,0.492,0.804
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,847183,0.853,0.86,0.56
