Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,77545641,0.66,0.846,0.786
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,63059052,0.744,0.426,0.804
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,59746057,0.825,0.931,0.652
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,51194412,0.755,0.737,0.789
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,43862967,0.684,0.647,0.823
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,38635457,0.683,0.732,0.691
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,37890214,0.724,0.835,0.84
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,37823747,0.543,0.294,0.677
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,36429408,0.761,0.71,0.838
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,34872486,0.708,0.427,0.693
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,34832137,0.685,0.891,0.859
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,34178893,0.743,0.871,0.855
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,33779990,0.832,0.704,0.772
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,33743093,0.639,0.767,0.869
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,33646920,0.747,0.754,0.864
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,32886802,0.852,0.907,0.773
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,32485031,0.74,0.948,0.879
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,32470544,0.792,0.433,0.819
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,32437361,0.788,0.86,0.477
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,32393104,0.76,0.745,0.838
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,30838402,0.489,0.518,0.962
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,28620460,0.782,0.884,0.868
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,27622132,0.696,0.782,0.817
