Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,45225780,0.825,0.931,0.652
Θ. Macarena,2UZW9WOPXdxw9YMG1bebS8,Damso,29445701,0.777,0.245,0.549
Mwaka Moon,1vVZLmZq8gN8pPCEBLjPvD,Kalash,20616393,0.787,0.305,0.536
Ε. Signaler,03aduXwm6cTqO9bb4XFQ2b,Damso,20295618,0.647,0.949,0.7
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,19775817,0.66,0.846,0.786
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,18092799,0.833,0.281,0.434
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,17866157,0.67,0.717,0.838
Bené,00X2yv2vrtritPt2CZnUTZ,PNL,17410088,0.784,0.769,0.7
Be Mine,2KklXplRtxMsBYo474Es0w,Ofenbach,17268010,0.779,0.507,0.666
Salé,0uBu60Wd7yzm2sFrj2hSr6,Niska,17019614,0.763,0.331,0.604
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,16715345,0.726,0.733,0.769
Γ. Mosaïque solitaire,1E3zyoTHtJzsu5CjwIFIhY,Damso,16625548,0.562,0.426,0.595
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,16566828,0.694,0.813,0.815
Réseaux,2Pu2Kcm1cwFg4dDSdmFip4,Niska,16485291,0.801,0.347,0.625
Chocolat (feat. Awa Imani),4fwtP5khM1iEoa6BP1QQsX,Lartiste,16267442,0.729,0.75,0.679
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,15976960,0.64,0.515,0.533
Réseaux,2nY6MRHWpW0AGXMoGDJOjX,Niska,15804678,0.795,0.31,0.667
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,15675269,0.774,0.777,0.626
Onizuka,4GCIYE1x1TWJCChPkpy9by,PNL,15630683,0.688,0.359,0.569
Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,Petit Biscuit,15563680,0.783,0.236,0.467
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,15523187,0.779,0.708,0.787
N. J Respect R,75UFzgBCaVwJJ4IVIaatpe,Damso,14941277,0.747,0.311,0.434
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,14862234,0.773,0.585,0.819
Mobali,6xcXAVbDuVT1pCsa2rmDHY,Siboy,14586184,0.812,0.93,0.803
Ghetto,3VdDQkNCQKPAL4nZlFKWlN,Benash,14399077,0.715,0.569,0.703
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,14223206,0.893,0.872,0.745
Jusqu'au dernier gramme,2jBleFNl3YK8lyJc1OvxXt,PNL,13899719,0.762,0.39,0.6
