Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,121525728.0,0.825,0.931,0.652
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,83571410.0,0.694,0.813,0.815
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,77294848.0,0.461,0.471,0.834
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,68993250.0,0.624,0.781,0.876
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,57993957.0,0.762,0.608,0.7
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,57186765.0,0.707,0.457,0.629
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,53567118.0,0.671,0.632,0.672
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,51869818.0,0.599,0.168,0.448
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,50068562.0,0.617,0.446,0.635
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,48789316.0,0.876,0.682,0.669
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,48264851.0,0.726,0.733,0.769
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,46693231.0,0.609,0.811,0.668
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,46409499.0,0.744,0.36,0.836
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,46210343.0,0.696,0.782,0.817
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,45654631.0,0.809,0.364,0.463
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,44874481.0,0.768,0.418,0.517
Did You See,6DXEZzM4wBa3EOl0NCNSvz,J Hus,44272924.0,0.579,0.842,0.579
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,43956165.0,0.857,0.966,0.8
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,41942781.0,0.703,0.733,0.868
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,41905649.0,0.774,0.777,0.626
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,41680508.0,0.869,0.527,0.485
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,41133977.0,0.908,0.421,0.621
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,40133915.0,0.893,0.872,0.745
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,39180205.0,0.64,0.515,0.533
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,38995087.0,0.653,0.219,0.658
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,38747222.0,0.577,0.119,0.522
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,38450818.0,0.63,0.492,0.804
Touch,5Ua3GXyHwiSfpNTMjq6m2z,Little Mix,38091899.0,0.607,0.551,0.718
Big For Your Boots,3uMB82o0qa7erhiZBW9KQC,Stormzy,37849421.0,0.515,0.628,0.902
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,36608515.0,0.736,0.511,0.795
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,36494078.0,0.679,0.498,0.634
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,35621433.0,0.853,0.86,0.56
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,35559111.0,0.855,0.962,0.624
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,35176423.0,0.833,0.281,0.434
What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,Ed Sheeran,34417531.0,0.838,0.895,0.492
Happier,2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,34206738.0,0.522,0.236,0.385
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,34096765.0,0.72,0.742,0.763
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,33964813.0,0.602,0.554,0.707
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,33757341.0,0.584,0.195,0.54
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,33737273.0,0.358,0.494,0.557
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,33561873.0,0.67,0.717,0.838
Came Here for Love,3kGfazcbVvVkuZunzlLgTD,Sigala,33353789.0,0.708,0.72,0.868
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,32455333.0,0.735,0.0862,0.451
September Song,0FuTx2s3YH1ppmtiM6l0zI,JP Cooper,32033590.0,0.623,0.401,0.654
Places,6O85MfGECKBqAK2MgSbCaj,Martin Solveig,31153877.0,0.728,0.638,0.858
Bestie (feat. Yxng Bane),638s8Qi75q1pXjuH86fJX7,Yungen,31069788.0,0.497,0.585,0.59
