Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,4914110,0.825,0.931,0.652
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,3922020,0.617,0.446,0.635
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,3218118,0.694,0.813,0.815
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,2489471,0.774,0.777,0.626
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,2457986,0.653,0.219,0.658
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,2449461,0.748,0.661,0.524
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,2353257,0.679,0.498,0.634
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,2331579,0.735,0.0862,0.451
長相廝守,3VSFri2BxieCG7RtuxFMXr,ToNick,2259799,0.498,0.503,0.77
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,2230543,0.64,0.515,0.533
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,2163414,0.853,0.86,0.56
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,2127393,0.707,0.457,0.629
哪裡只得我共你,6oHNXUrt4s5JJIM1WoOwsZ,Dear Jane,2035614,0.176,0.284,0.831
We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,Charlie Puth,1920876,0.728,0.352,0.563
分手總約在雨天,4F58voptx3uo1bNiJ6i1P9,Charmaine Fong,1911159,0.626,0.204,0.465
經過一些秋與冬,4pw59ml6lY3WnP90tfyDGP,Dear Jane,1876832,0.458,0.352,0.755
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,1861046,0.584,0.195,0.54
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1824303,0.599,0.168,0.448
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,1801889,0.768,0.418,0.517
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,1777749,0.358,0.494,0.557
風箏,6NBREJ4ZZX9sOOMw2OO8Nv,Supper Moment,1754477,0.514,0.301,0.639
你是你本身的傳奇,5uMkdWf1H6JEcpcdnPOSZM,Charmaine Fong,1727898,0.663,0.427,0.42
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,1671593,0.857,0.966,0.8
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,1590293,0.869,0.527,0.485
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,1579904,0.624,0.781,0.876
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1559981,0.762,0.608,0.7
Faded,7gHs73wELdeycvS48JfIos,Alan Walker,1553220,0.589,0.166,0.651
告白氣球,1ivCIgrYZyE0BvItL4Z8lk,Jay Chou,1546501,0.59,0.448,0.572
演員,6LunoYd3xpZ19sICOXS8Xd,Joker Xue,1500829,0.53,0.186,0.432
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,1474824,0.779,0.708,0.787
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,1453686,0.548,0.557,0.65
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,1440311,0.461,0.471,0.834
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,1422163,0.6,0.298,0.81
"沒有你, 我甚麼都不是",1zlUxL11eVVjPSPSI7tIjQ,Jason Chan,1397490,0.626,0.252,0.392
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2gug6MRv4xQFYi9LA3PJCS,Eric Chou,1373729,0.439,0.535,0.477
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,1359362,0.609,0.811,0.668
百年不合,0euGAAHr3mQyhVKgq0mM5d,Pakho Chau,1358664,0.55,0.41,0.458
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,1344707,0.611,0.13,0.644
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1325077,0.72,0.742,0.763
Photograph,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,1321315,0.614,0.201,0.379
後來的我們,0qepAQsUGIzofBj82iP17C,Mayday,1305524,0.428,0.222,0.604
你瞞我瞞,1eId3TVzGrwv73YAWAVQMX,Jason Chan,1295712,0.65,0.403,0.425
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,1285246,0.683,0.645,0.53
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1282702,0.66,0.846,0.786
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,1267826,0.258,0.0967,0.437
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,1265282,0.703,0.733,0.868
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,1264629,0.741,0.595,0.667
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,1259075,0.62,0.357,0.574
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,1256562,0.683,0.426,0.427
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,1255871,0.773,0.497,0.68
