Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,21105019,0.825,0.931,0.652
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,16965002,0.617,0.446,0.635
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,14984971,0.694,0.813,0.815
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,14639662,0.774,0.777,0.626
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,13890693,0.853,0.86,0.56
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,13580523,0.599,0.168,0.448
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,13027886,0.707,0.457,0.629
Akad,5CwcXgsF9jcyqwkl5uxKnD,Payung Teduh,12862479,0.512,0.757,0.767
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,12486328,0.762,0.608,0.7
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,11714590,0.768,0.418,0.517
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,11566798,0.358,0.494,0.557
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,11231436,0.679,0.498,0.634
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,10955645,0.578,0.301,0.574
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,10515467,0.611,0.13,0.644
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,10275606,0.584,0.195,0.54
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,10262740,0.609,0.811,0.668
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,10237117,0.6,0.298,0.81
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,10234465,0.548,0.557,0.65
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,10106140,0.64,0.515,0.533
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,9927455,0.683,0.645,0.53
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,9743986,0.893,0.872,0.745
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,9475523,0.653,0.219,0.658
Cukup Tau,23V8GLR7IHBzc4ipiT5Zl2,Rizky Febian,9443802,0.653,0.519,0.229
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,9442256,0.869,0.527,0.485
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,9160593,0.739,0.547,0.792
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,8825221,0.258,0.0967,0.437
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,8385854,0.72,0.742,0.763
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,8372957,0.735,0.0862,0.451
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,8312924,0.748,0.661,0.524
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,8261336,0.741,0.595,0.667
Good Life (with G-Eazy & Kehlani),1Eck97uRMlprKOOJN9oO1E,G-Eazy,8256031,0.565,0.573,0.771
Untuk Perempuan Yang Sedang Di Pelukan,0urpBLpcm6DOGzs86rcKd8,Payung Teduh,8083121,0.477,0.463,0.493
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,8011921,0.857,0.966,0.8
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,7980247,0.703,0.733,0.868
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,7878494,0.52,0.286,0.761
Kasmaran,6rB2whUL8s2Kt3wIxsnCGf,Jaz,7695039,0.68,0.581,0.488
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,7144357,0.752,0.419,0.505
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,6938190,0.798,0.394,0.539
Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y,Sam Smith,6788285,0.653,0.54,0.378
By Your Side,1D3ODoXHBLpdxolZRHWV1j,Jonas Blue,6622747,0.696,0.644,0.743
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,6512360,0.644,0.544,0.743
Asal Kau Bahagia,41dswHw9sCLChDgXyVS4kC,Armada,6089050,0.497,0.278,0.53
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,5855237,0.715,0.327,0.802
Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,Machine Gun Kelly,5849753,0.697,0.305,0.691
How Long,32DGGj6KlNuBr6WaqRxpxi,Charlie Puth,5819035,0.849,0.779,0.581
All Good,3s8ik4CUIZXXGDBgD0EAZ5,Dipha Barus,5809396,0.802,0.532,0.749
Aku Tenang,7qiVdTMCRynOSQDNsqNyyV,Fourtwnty,5799998,0.458,0.165,0.149
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,5779934,0.773,0.497,0.68
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,5716967,0.655,0.272,0.666
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,5689598,0.652,0.279,0.855
