Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,10517071.0,0.825,0.931,0.652
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,8332804.0,0.694,0.813,0.815
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,6459318.0,0.461,0.471,0.834
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,6147842.0,0.624,0.781,0.876
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,5936041.0,0.762,0.608,0.7
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,5695538.0,0.707,0.457,0.629
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,5456532.0,0.744,0.36,0.836
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,5302662.0,0.64,0.515,0.533
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,5297183.0,0.617,0.446,0.635
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,5171894.0,0.876,0.682,0.669
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,4944188.0,0.857,0.966,0.8
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,4743431.0,0.703,0.733,0.868
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,4703874.0,0.599,0.168,0.448
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,4570384.0,0.768,0.418,0.517
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,4460349.0,0.908,0.421,0.621
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,4287929.0,0.774,0.777,0.626
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,4277166.0,0.726,0.733,0.769
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,4222382.0,0.696,0.782,0.817
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,4141015.0,0.869,0.527,0.485
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,4071554.0,0.679,0.498,0.634
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,3877896.0,0.67,0.717,0.838
