Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1678528,0.694,0.813,0.815
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1445119,0.825,0.931,0.652
Fullir Vasar,3UYdR145K9dnygSKJqUk2d,Aron Can,1335551,0.854,0.346,0.541
B.O.B.A.,6uP2DBITa982EzgIWSrlDY,JóiPé,1199201,0.837,0.711,0.605
Ég Vil Það,3BgrvYaXaaVuDxT9u0Rs1s,Chase Anthony,1022140,0.909,0.658,0.585
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1001409,0.908,0.421,0.621
Þetta má,4WiK8hgPt5QgwGdt9z7MrJ,Emmsjé Gauti,851035,0.812,0.841,0.745
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,833252,0.63,0.492,0.804
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,827816,0.833,0.281,0.434
Neinei,3mGRGwcZbu63oYmTzjCi1t,Attan,796885,0.869,0.566,0.437
O Shit,4QQQy4piBADsklMVcueNAH,JóiPé,755538,0.895,0.502,0.478
Time,3WR3mQ8SDjJgxbdOFrqfca,Sturla Atlas,729273,0.784,0.401,0.414
Joey Cypher,24nlSZHHUx0XAzo7WDzUTa,Joey Christ,724798,0.892,0.416,0.801
Vor í Vaglaskógi,2OdpZeTpnbqPqBrclk2pib,KALEO,704726,0.336,0.0756,0.345
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,668425,0.735,0.0862,0.451
Geri Ekki Neitt (feat. Unnsteinn),5N6Oj5rlYlOXkXYt89c3Gy,Aron Can,662275,0.791,0.427,0.479
Já ég veit,6XSYMtvkAuRdnQm0F7i3Bq,Birnir,639050,0.817,0.711,0.477
Sagan Af Okkur,4ranVZMGU28qHZS6DBBdHc,JóiPé,630465,0.853,0.402,0.347
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,628128,0.599,0.168,0.448
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,623081,0.707,0.457,0.629
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,623080,0.609,0.811,0.668
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,615217,0.809,0.364,0.463
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,608700,0.577,0.119,0.522
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,604273,0.726,0.733,0.769
Ár Eftir Ár,2phqKJP6uiVVUnXlOCuHSN,Herra Hnetusmjör,599006,0.822,0.443,0.569
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,596764,0.64,0.515,0.533
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,585601,0.774,0.777,0.626
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,582663,0.671,0.632,0.672
Bróðir,5ugWOBXogNqFeLGOkHffhd,Úlfur Úlfur,569806,0.718,0.492,0.769
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,557342,0.773,0.585,0.819
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,553816,0.548,0.557,0.65
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,Harry Styles,537751,0.516,0.222,0.595
