Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2794726,0.825,0.931,0.652
打上花火,7pcTLUekZJQnzDOUDuExVJ,DAOKO,1941938,0.635,0.261,0.667
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1645480,0.762,0.608,0.7
My Boo,2gasr6aemUqZIBBN05EO03,Shota Shimizu,1509029,0.719,0.693,0.718
Friends (with BloodPop®),7nZmah2llfvLDiUjm0kiyz,Justin Bieber,1487366,0.744,0.649,0.739
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,1481291,0.768,0.418,0.517
Wherever you are,0YAMQSmHk6BSUGTYpaoqTJ,ONE OK ROCK,1365047,0.379,0.288,0.69
恋音と雨空,46gSY0U7ZZCmd7EuJuo15N,AAA,1355725,0.625,0.533,0.86
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1305984,0.694,0.813,0.815
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,1284660,0.655,0.272,0.666
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,1269012,0.773,0.497,0.68
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,1268541,0.774,0.777,0.626
TT - Japanese ver.,0PAyiPTz8gL0udQnSasc5G,TWICE,1256917,0.699,0.331,0.856
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,1237476,0.679,0.498,0.634
WanteD! WanteD!,4m8ayeTlVnsYAtR42NhDqZ,Mrs. GREEN APPLE,1210218,0.548,0.625,0.789
DREAM,6PO8T4qt3FHfauSs98zO9j,Shota Shimizu,1187417,0.592,0.537,0.562
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,1178951,0.748,0.661,0.524
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1177694,0.617,0.446,0.635
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1148332,0.599,0.168,0.448
さよならの前に,7vwXjDrZT2mqiFynlEwwgG,AAA,1121486,0.545,0.525,0.853
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,1117178,0.258,0.0967,0.437
君が好き,5Bg0HkfaRYRx8A7tMrjT9Z,Shota Shimizu,1107525,0.573,0.535,0.575
RAIN,40cPkRjw5aLQIOjaqgUVnB,SEKAI NO OWARI,1102332,0.526,0.482,0.758
愛をこめて花束を,7CmWXD3w1xOO53AAO4LRVQ,Superfly,1080543,0.37,0.451,0.8
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,1073954,0.715,0.327,0.802
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1067145,0.52,0.286,0.761
ワタリドリ,0ve9Tpz8Yw0I4eXhWsy21o,[Alexandros],1054911,0.508,0.609,0.964
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,1046438,0.739,0.547,0.792
DNA,5SE57ljOIUJ1ybL9U6CuBH,BTS,1039501,0.598,0.687,0.775
How Long,32DGGj6KlNuBr6WaqRxpxi,Charlie Puth,1002807,0.849,0.779,0.581
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5AEtlRudpgdT5FtNiuly6Y,Hailee Steinfeld,989998,0.659,0.71,0.717
Sorry Not Sorry,3m660poUr1chesgkkjQM7P,Demi Lovato,988262,0.704,0.863,0.633
What Lovers Do (feat. SZA),3hBBKuWJfxlIlnd9QFoC8k,Maroon 5,934639,0.795,0.393,0.615
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,932836,0.857,0.966,0.8
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,931700,0.62,0.357,0.574
What Do You Mean?,3pzjHKrQSvXGHQ98dx18HI,Justin Bieber,923938,0.845,0.793,0.567
小さな恋のうた,7swIKcU4tFRk4iFJpi12Fg,MONGOL800,923247,0.403,0.549,0.87
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,920628,0.652,0.279,0.855
愛唄,7iXHLtPosbHvglVSJ4rxLq,GReeeeN,920098,0.505,0.425,0.791
One More Time,6q2cJXwzu89N8okT69L7KC,TWICE,916489,0.74,0.671,0.928
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,903161,0.548,0.557,0.65
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,881012,0.752,0.419,0.505
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,846543,0.855,0.962,0.624
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,840195,0.609,0.811,0.668
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,833114,0.577,0.119,0.522
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,832258,0.893,0.872,0.745
LIKEY,4Eb5cLWxKQUoUQaKUYSRgI,TWICE,810510,0.723,0.394,0.898
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,807466,0.707,0.457,0.629
Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,793255,0.677,0.419,0.497
LIFE,6IxWbmElUUj7AstEEzIgtl,AAA,792064,0.626,0.792,0.887
